	SRR1795409merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795411merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795413merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795415merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795417merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795419merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795421merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795423merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795425merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795427merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795429merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795431merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795433merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795435merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795437merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795439merged_dedupRemoved_cufflinks_counts_fpkm_counts
ENSG00000198964	5.13059	6.942239999999999	6.86849	5.15813	7.84209	7.354489999999998	8.40372	6.67713	4.04242	13.2611	4.14191	9.06532	11.1085	7.71388	5.49348	5.85116
ENSG00000204147	0.377954	1.1719700000000002	0.982594	0.723429	1.00714	0.809133	1.37698	0.8218770000000001	0.0	5.75068	11.6749	10.221	0.0	14.4955	0.0	0.0
ENSG00000148584	0.08689880000000001	0.0949264	0.148858	0.196559	0.0452079	0.145372	0.176973	0.182526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000185532	2.53255	3.2543900000000003	2.93847	2.03685	3.38175	2.8399400000000004	2.82995	2.73272	5.13755	8.2972	6.3167800000000005	7.37356	6.58834	5.22861	7.81952	6.5439300000000005
ENSG00000177613	13.4042	13.379	14.487	12.3924	18.6493	17.301	16.8998	13.5896	36.4359	46.6449	54.633	38.2638	52.0975	49.7436	27.052	27.7843
ENSG00000107984	0.31916100000000003	0.718538	0.187952	0.0995065	0.89902	0.309675	0.919398	0.432465	4.36685	0.0	13.4229	0.0	0.0	0.0	0.0	2.5283
ENSG00000165471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000150275	0.6713359999999999	0.376709	0.395431	0.0	0.540412	0.0	0.0	0.682103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000249860	0.0	0.0	0.0	0.0	0.0	0.0	0.22638200000000006	0.159974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000122952	30.0448	32.4555	36.9948	32.5503	50.5586	40.9307	39.4151	29.2482	53.9832	56.5854	59.5664	70.7734	41.8407	52.8269	63.2032	69.7225
ENSG00000151151	3.67336	3.96944	4.326230000000002	3.624730000000001	4.50304	5.13977	5.43781	4.4278	2.9243	2.36139	1.19851	3.14778	3.21436	4.4642	3.1792	5.41792
ENSG00000122873	13.2978	12.4672	16.1203	12.4933	16.5678	15.0448	15.6044	12.1382	12.1841	10.7611	6.24199	13.6617	8.37043	7.75005	18.2135	7.054310000000001
ENSG00000072401	5.77493	5.0513	7.2873100000000015	6.11082	9.79314	10.0733	9.06323	7.9649800000000015	16.9378	18.5214	5.78488	15.1935	7.75745	14.365	12.2761	16.3443
ENSG00000108064	17.7171	19.2723	20.8374	17.5603	26.1693	23.3326	20.2215	16.2852	39.9317	44.3369	32.7315	51.3412	39.0156	49.1059	42.6888	43.1563
ENSG00000122870	3.89158	3.86941	5.1490800000000005	3.92709	4.87173	4.87983	5.90857	5.55004	3.28915	8.632019999999999	12.1323	9.44137	7.2308	5.02117	8.58204	5.33214
ENSG00000165443	0.176707	0.218965	0.0586148	0.253289	0.17238699999999998	0.16430699999999998	0.375945	0.428057	0.0	0.0	0.0	1.84313	0.0	0.0	0.0	1.18964
ENSG00000148541	0.633811	1.0874700000000002	0.626552	0.465532	0.635343	0.786061	1.21733	0.6369239999999999	2.13044	0.0	0.0	1.91104	0.0	2.71024	1.1580700000000002	1.23347
ENSG00000165449	5.11271	3.68687	5.37167	3.76333	5.9794800000000015	5.61562	5.9363199999999985	5.53242	6.04252	4.06614	6.19122	12.6472	5.5349	0.0	7.66409	5.83078
ENSG00000227877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000108091	11.0431	10.9384	11.3036	11.3575	11.0498	11.2496	12.0206	10.6493	21.6451	14.9816	7.603789999999999	23.2992	7.9306800000000015	11.0143	16.1361	15.7545
ENSG00000151150	3.74565	3.97484	3.8999	3.7939	4.3104	4.12068	4.45098	4.56071	2.9733400000000003	4.50185	1.0155	4.4452300000000005	8.17066	3.78254	6.46502	4.5906400000000005
ENSG00000170312	35.3228	36.3465	42.7364	36.2961	52.684	45.7937	42.5954	33.514	265.478	261.832	319.769	254.499	204.193	299.058	293.025	283.944
ENSG00000072422	3.24568	3.75914	3.60619	2.98022	5.22406	3.8825	4.03014	4.6677800000000005	2.51528	5.07775	5.15435	3.00833	1.53598	0.0	3.64603	1.94171
ENSG00000196932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000183346	0.256327	0.384692	0.402534	0.213096	0.0	0.331606	0.656309	0.231548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000150347	3.69003	3.35889	3.80261	3.20726	4.18926	3.81536	4.1788	4.28594	9.92542	9.56315	11.0942	8.90328	12.3976	10.3309	5.88577	7.836239999999999
ENSG00000182010	5.78346	5.38476	5.58346	5.401	5.7941699999999985	5.8796300000000015	6.52095	5.63784	13.4681	9.78803	17.6635	12.5644	11.8432	13.7068	14.6421	12.4763
ENSG00000138311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000181915	10.5041	11.1636	11.2821	8.675980000000001	15.4781	12.9206	13.0044	12.0033	9.11404	15.3326	8.30074	12.7174	11.1312	12.8827	6.60565	5.86311
ENSG00000122877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000148572	7.300910000000001	7.59992	8.41399	5.58055	7.45533	8.7343	8.2921	7.23342	12.8896	6.50528	13.2068	3.85408	7.8712	10.9317	11.6776	7.46278
ENSG00000171988	6.43139	7.80077	4.42034	7.9775	6.04101	2.77037	6.14565	5.44455	14.5798	14.7166	29.8773	0.0	0.0	37.0956	15.8507	0.0
ENSG00000165476	7.0386	7.7000899999999985	9.51218	7.930439999999999	10.4731	9.04154	9.38975	8.14827	14.5598	14.6964	15.6285	12.4385	6.3508	8.820160000000003	7.53759	8.83119
ENSG00000183230	0.012094	0.0	0.0284867	0.0301891	0.0194655	0.0469458	0.034864	0.049165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198739	0.0609591	0.0	0.035897000000000005	0.038033300000000006	0.0	0.118309	0.029282599999999995	0.0206508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000108176	10.0224	8.99196	11.2071	8.69697	15.5202	13.4569	12.1759	10.1419	52.0428	21.0124	56.8784	37.3466	31.7805	35.3101	26.4036	36.1578
ENSG00000096717	12.1402	12.5737	14.9497	13.6458	15.6112	15.876	16.4473	12.9444	19.6062	30.5848	25.5674	27.1801	17.9591	11.3373	22.2841	21.671
ENSG00000148634	8.78407	8.754760000000001	9.11731	8.752930000000001	10.1206	10.6294	9.16756	8.82015	22.4949	26.1992	19.5026	21.7305	17.4351	33.0196	14.109000000000002	21.0387
ENSG00000138347	0.0230096	0.0259186	0.0	0.0	0.0	0.0	0.0	0.0311796	0.630112	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000179774	0.694086	0.11159	0.116786	0.370884	0.478812	0.384814	0.475957	0.671767	0.0	0.0	0.0	0.0	4.96954	0.0	2.94911	0.0
ENSG00000108187	3.50585	3.11028	3.4408800000000004	2.8494200000000003	2.82147	2.33663	3.52042	2.91511	5.81631	2.9354400000000003	0.0	2.60867	5.3276900000000005	0.0	6.3233	1.68375
ENSG00000096746	23.0868	24.9364	23.2217	24.0837	23.6195	28.2593	20.9438	17.0417	166.50099999999995	178.653	148.267	196.711	173.738	188.33900000000003	142.195	162.029
ENSG00000204130	9.60076	9.60149	7.072210000000001	8.31038	8.815760000000003	8.89739	9.13053	8.17558	17.0755	12.7132	27.6093	11.1876	21.8356	15.6469	20.5476	31.0856
ENSG00000138346	16.854	18.9472	18.1738	16.2563	21.6815	19.2291	19.2906	16.0467	35.4993	27.0927	26.6143	24.8535	23.793000000000006	46.262	37.6523	34.0882
ENSG00000122912	3.8238	3.3151	3.79606	3.17303	4.18895	3.70421	4.30883	3.79797	3.28956	2.76702	0.0	0.983599	0.0	0.0	1.1921	5.078869999999998
ENSG00000138336	7.97386	8.44897	8.30743	8.542689999999999	8.84028	8.29725	8.66672	7.792219999999999	5.34515	4.6245400000000005	10.171	6.16461	3.49722	7.771260000000002	4.98091	6.18942
ENSG00000060339	18.6008	19.7668	23.8671	19.8951	25.8028	24.4447	22.4715	17.4497	75.161	73.4449	75.3722	87.5036	83.4952	71.2037	60.8497	61.1081
ENSG00000165730	3.867480000000001	3.56779	4.2641800000000005	3.79867	4.43692	4.36505	4.30802	4.76673	9.01147	6.8220100000000015	4.616619999999998	4.04173	0.0	2.86599	2.44924	2.60871
ENSG00000107625	21.0968	22.656	24.9109	20.9731	31.1636	28.0665	26.8266	20.9441	44.537	52.4473	42.5908	45.2772	13.5985	15.1088	51.647	42.9764
ENSG00000165732	44.8365	47.7806	55.8495	48.6932	68.1871	58.5576	52.9553	39.1908	189.24	164.615	178.13299999999995	184.933	170.524	189.854	188.173	196.861
ENSG00000198954	6.27113	5.92267	6.31374	6.813960000000002	8.140189999999999	7.00121	7.335139999999999	6.33894	52.609	41.9231	85.1111	47.1913	35.508	28.1797	52.6794	48.0937
ENSG00000122862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.426752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000122958	12.0947	13.3851	13.3574	13.9414	16.9749	15.486	14.2315	12.1074	42.3938	41.635	30.5234	49.3336	50.3771	61.2195	32.3869	46.4364
ENSG00000156502	25.2048	25.6924	28.8353	21.8847	32.4375	30.8138	27.0879	23.2453	85.1022	73.6291	49.8266	79.0645	61.2487	54.1315	80.9551	63.3498
ENSG00000156510	0.0363284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000156515	22.9084	22.9735	25.8304	22.5368	31.6529	30.9482	29.0087	21.7815	95.4708	114.676	93.9075	90.7774	73.4584	89.8756	113.134	99.4954
ENSG00000075073	0.134714	0.15166500000000002	0.0793314	0.168027	0.0	0.174285	0.0646863	0.136905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000099282	5.75956	6.578310000000001	7.18261	5.598	9.54336	8.875539999999997	8.45791	7.2877399999999986	11.5881	4.67871	4.7493	4.1578800000000005	0.0	0.0	12.5982	0.0
ENSG00000122859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95528	0.0	0.0	0.0	0.0	0.0	0.0	3.42206
ENSG00000171224	8.812489999999997	7.268839999999999	10.7258	8.419030000000001	9.457	9.49907	9.44242	7.363180000000002	44.1724	44.5868	32.916	57.6341	29.4266	40.8684	52.3884	83.6991
ENSG00000197467	0.806347	0.5735239999999999	0.749744	0.476546	0.683087	0.878541	1.05995	1.20765	0.0	1.1728	2.38098	0.0	0.0	2.95622	0.0	4.03625
ENSG00000099284	32.0672	34.5764	36.9288	31.1962	43.5863	39.7346	38.1852	31.7196	62.4072	64.9612	83.9252	76.9731	35.7278	39.6958	76.3279	63.2314
ENSG00000042286	1.65851	2.16873	2.26839	2.20246	1.89449	1.73045	1.7985400000000002	1.88487	20.5032	23.652	15.0055	23.6465	8.04889	7.452339999999999	17.5138	11.8708
ENSG00000156521	5.58764	4.59783	5.31536	4.49061	5.01574	5.83897	6.14095	5.6421800000000015	10.295	11.8762	15.0691	13.1926	16.166	3.74197	9.59351	10.2181
ENSG00000079332	12.91	13.3572	15.7208	13.157	20.1441	17.8952	16.0264	12.6675	22.2089	19.9938	15.9903	13.9991	15.3948	19.8536	16.9666	25.0218
ENSG00000180817	63.3079	65.8841	73.8828	62.8739	95.5586	79.0446	69.2246	49.3313	231.512	112.04	201.465	153.619	104.579	161.38	206.87	165.25400000000005
ENSG00000148734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000172731	3.1705400000000004	4.29483	4.38353	3.72626	5.62091	5.76668	7.01795	5.26131	3.77385	1.26975	0.0	4.51361	0.0	9.60182	0.0	4.36993
ENSG00000148730	15.3865	14.7642	16.937	16.3121	18.4653	16.8421	16.4921	14.3297	9.34217	9.92613	8.0607	13.2317	8.10697	5.00408	7.48373	5.6935699999999985
ENSG00000156574	0.29340900000000003	0.16501	0.0	0.731243	0.23615100000000006	0.379523	0.422306	0.795098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000107719	6.86759	6.62086	7.5056	6.82673	8.66497	8.17034	8.19157	8.00474	4.78099	8.04306	3.26576	10.0068	10.2185	2.02738	12.128	4.61345
ENSG00000180644	0.0	0.0611983	0.06401130000000001	0.1356	0.0874803	0.0	0.05220219999999999	0.036822900000000006	0.0	0.0	0.0	0.0	0.0	0.0	1.61743	0.0
ENSG00000138316	0.0	0.0281587	0.029442000000000006	0.0935891	0.040236699999999986	0.0	0.0240186	0.0338751	0.684569	0.0	1.40283	0.0	0.0	0.0	0.0	0.0
ENSG00000166220	0.0	0.0	0.0	0.0	0.0	0.0	0.0880951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166224	11.1974	11.6349	11.7611	11.6923	14.0871	13.6898	13.4372	11.5967	30.6638	24.6349	34.6244	20.2085	16.0502	19.1065	29.935	23.913
ENSG00000166228	14.9779	12.5891	19.1276	13.5543	18.5268	20.5969	20.1183	13.9921	146.54	121.812	132.482	139.181	110.542	76.7619	107.771	149.72299999999996
ENSG00000107731	3.09079	2.92292	3.5053	3.42871	3.59286	2.96234	3.3730800000000003	4.0202	4.70249	2.637	4.28286	6.56167	5.74325	1.3294	7.38455	6.6553
ENSG00000198246	0.773511	0.31106100000000003	0.650724	0.4824640000000001	0.355722	0.5003770000000001	0.689871	0.711233	3.0247900000000003	4.57975	0.0	2.71329	0.0	3.848	3.28845	3.50256
ENSG00000107736	0.371097	0.431134	0.409734	0.766467	0.559958	0.465164	0.6351859999999999	0.66787	0.952865	1.28241	0.0	0.0	0.0	0.0	1.38123	0.36779
ENSG00000214688	0.0839254	0.03151	0.0329474	0.0364972	0.0	0.0	0.0806317	0.0947701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000107738	0.0564616	0.0	0.0664969	0.0	0.045438699999999985	0.0	0.0813684	0.0573817	0.0	0.0	0.0	0.0	0.0	0.0	0.8404219999999999	1.79028
ENSG00000197746	39.9982	42.691	44.8729	39.3643	54.0699	49.4785	43.7529	33.4325	264.98	280.577	327.399	260.995	271.275	244.56	302.199	270.736
ENSG00000122863	2.0774	2.15041	1.87353	1.7751099999999995	2.5001900000000004	2.13097	2.66142	2.24441	3.58779	6.20819	5.25154	3.67807	0.938967	5.21625	4.45774	1.18699
ENSG00000107742	0.27182199999999995	0.250512	0.203722	0.246699	0.159094	0.41565	0.403616	0.368337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
