	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
CEP57L1	297	236	439	615
CEP63	302	258	489	580
CEP68	448	356	581	843
CEP70	533	496	792	1104
CEP72	507	431	524	828
CEP76	388	379	522	759
CEP78	1823	1688	2568	3669
CEP83	1134	1059	1256	1930
CEP85	1266	1116	1860	2623
CEP85L	635	579	925	1375
CEP89	204	177	297	385
CEP95	1469	1312	1628	2417
CEP97	1096	991	1448	2098
CEPT1	706	564	1228	1671
CERCAM	440	423	530	769
CERK	786	693	1222	1792
CERKL	19	17	15	28
CERS2	1480	1198	2290	3305
CERS4	84	81	149	220
CERS5	402	302	411	703
CERS6	594	537	775	1208
CES2	455	415	601	907
CES3	161	159	235	315
CETN2	725	712	989	1317
CETN3	445	421	566	856
CFAP126	131	110	98	203
CFAP157	40	33	54	91
CFAP20	577	453	999	1431
CFAP221	20	14	23	45
CFAP298	429	393	758	1034
CFAP36	841	717	1371	1782
CFAP410	136	116	152	206
CFAP43	55	38	65	85
CFAP44	938	895	1030	1530
CFAP54	37	33	43	82
CFAP69	184	169	235	326
CFAP70	102	121	153	206
CFAP97	740	629	1243	1701
CFD	49	46	30	75
CFDP1	1091	1107	1652	2150
CFL1	5356	5391	7786	10825
CFL2	619	622	852	1208
CFLAR	258	222	253	379
CGGBP1	739	656	1151	1617
CGN	386	317	449	642
CGNL1	68	44	66	107
CGRRF1	189	184	354	494
CHAC2	410	410	530	812
CHAF1A	2570	2555	3306	4401
CHAF1B	1279	1123	1833	2490
CHAMP1	423	394	386	707
CHCHD1	381	352	498	697
CHCHD10	116	105	122	237
CHCHD2	1723	1473	2930	3994
CHCHD3	870	845	1188	1781
CHCHD4	317	275	455	627
CHCHD5	95	70	129	157
CHCHD6	280	261	361	556
CHCHD7	508	529	757	1096
CHD1	5547	5378	7915	10942
CHD1L	3570	3278	4603	6684
CHD2	2361	2202	2870	4232
CHD3	2545	2392	3217	4632
CHD4	1735	1726	2301	3058
CHD5	24	33	46	56
CHD6	2598	2400	3240	5001
CHD7	3450	2997	3611	5659
CHD8	5963	5245	6883	10753
CHD9	2765	2400	3446	5133
CHDH	289	268	444	666
CHEK1	1152	1001	1604	2413
CHEK2	785	740	1357	1817
CHERP	635	434	389	925
CHFR	266	207	261	413
CHGA	12	16	20	30
CHIC1	83	75	83	113
CHIC2	166	174	230	411
CHID1	760	719	1076	1610
CHKA	377	370	552	896
CHKB	312	293	391	603
CHM	530	501	760	1169
CHML	1413	1343	2063	2861
CHMP1A	478	472	691	842
CHMP1B	266	290	396	525
CHMP2A	523	521	710	971
CHMP2B	938	948	1605	2175
CHMP4A	66	60	61	87
CHMP4B	541	522	532	906
CHMP4C	41	39	55	84
CHMP5	999	1088	1383	1941
