	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
CERS6	642	810	281	445
CES2	39	74	16	19
CES3	70	106	34	55
CETN2	729	1032	377	553
CETN3	721	900	346	430
CFAP126	0	1	0	1
CFAP157	2	0	1	2
CFAP20	918	943	432	573
CFAP221	6	3	3	4
CFAP298	384	500	204	269
CFAP36	483	527	242	242
CFAP410	64	102	30	47
CFAP43	17	31	12	14
CFAP44	11	8	6	6
CFAP54	44	37	21	17
CFAP69	52	62	27	32
CFAP70	41	27	23	17
CFAP97	710	700	354	433
CFD	49	68	22	29
CFDP1	590	773	282	376
CFL1	5586	8179	2851	4187
CFL2	1414	1594	663	816
CFLAR	124	167	67	89
CGGBP1	547	632	203	299
CGN	162	181	76	121
CGNL1	140	132	71	86
CGRRF1	116	135	74	73
CHAC2	431	544	227	302
CHAF1A	1223	1603	608	849
CHAF1B	1332	1509	629	772
CHAMP1	1027	1241	501	665
CHCHD1	1053	1358	538	732
CHCHD10	1094	1257	503	623
CHCHD2	1709	2290	853	1225
CHCHD3	765	937	385	517
CHCHD4	255	332	104	151
CHCHD5	216	250	78	113
CHCHD6	217	292	92	127
CHCHD7	305	306	143	164
CHD1	2170	2456	1089	1277
CHD1L	967	1142	487	588
CHD2	315	443	150	198
CHD3	689	806	295	424
CHD4	1167	1296	548	713
CHD5	33	39	17	14
CHD6	558	784	327	401
CHD7	865	1000	412	548
CHD8	1955	2372	934	1246
CHD9	483	513	218	235
CHDH	176	239	95	148
CHEK1	789	914	419	457
CHEK2	948	900	471	526
CHERP	2267	3312	1251	1647
CHFR	212	256	95	139
CHGA	16	24	16	16
CHIC1	39	74	32	39
CHIC2	147	169	72	94
CHID1	788	938	364	507
CHKA	356	395	175	212
CHKB	43	59	21	28
CHM	359	479	170	202
CHML	415	432	183	228
CHMP1A	745	995	387	497
CHMP1B	482	630	222	332
CHMP2A	972	1276	434	596
CHMP2B	1012	1047	494	613
CHMP4A	12	24	6	9
CHMP4B	633	701	261	401
CHMP4C	193	184	76	97
CHMP5	1194	1288	537	665
CHMP6	138	153	66	90
CHMP7	506	556	204	282
CHN1	216	252	95	140
CHORDC1	306	507	189	229
CHP1	377	467	172	250
CHPF	465	709	221	345
CHPF2	219	360	131	167
CHPT1	760	803	339	426
CHRAC1	282	322	126	185
CHRDL1	0	1	0	0
CHRNA10	1	1	1	0
CHRNA3	8	11	4	6
CHRNA5	357	402	172	233
CHRNA7	38	25	14	23
CHRNB1	38	48	12	17
CHRNG	0	0	0	0
CHST10	187	236	73	104
CHST11	341	441	160	247
CHST12	182	241	89	127
CHST14	366	567	187	285
CHST15	108	103	33	59
CHST2	2	2	3	0
CHST3	90	106	45	57
CHST7	101	109	38	43
CHSY1	129	143	51	69
CHSY3	115	144	67	94
CHTF18	292	409	173	220
CHTF8	181	235	100	134
CHTOP	1329	1869	757	1024
CHUK	682	896	332	445
CHURC1	340	401	147	213
CIAO1	1208	1387	473	686
CIAO2A	366	368	112	173
CIAO2B	767	858	329	485
CIAO3	275	364	151	170
CIAPIN1	648	825	293	479
CIB1	568	667	213	304
CIB2	32	31	10	18
CIC	272	366	128	185
CIDEB	1	1	0	0
CILP2	157	244	85	110
CINP	582	718	284	379
CIP2A	1471	1528	677	783
CIPC	156	176	60	98
CIR1	335	409	133	226
CIRBP	537	839	329	422
CISD1	401	576	221	299
CISD2	710	826	324	454
CISD3	178	213	75	112
CIT	1164	1366	588	779
CITED1	8	16	3	5
CITED2	492	684	263	351
CIZ1	1068	1393	561	757
CKAP2	4971	5751	2835	3311
CKAP2L	524	638	302	383
CKAP4	1681	2361	879	1177
CKAP5	7665	8699	3836	4674
CKB	26464	33969	11890	17576
CKLF	122	172	80	96
CKMT1A	21	38	16	21
