	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
CUL4A	1056	1252	540	647
CUL4B	2559	2629	1152	1377
CUL5	875	872	420	461
CUL7	616	818	335	436
CUL9	201	209	93	101
CUTA	1321	1811	600	882
CUTC	452	504	202	249
CUX1	652	814	334	436
CUX2	45	53	27	42
CWC15	922	1042	503	579
CWC22	713	857	330	424
CWC25	133	188	76	104
CWC27	591	674	297	365
CWF19L1	1403	1559	669	862
CWF19L2	330	414	165	195
CXADR	310	414	175	214
CXCL16	279	291	114	184
CXCR4	107	135	50	40
CXCR6	0	0	0	0
CXXC1	480	774	255	362
CXXC5	55	82	30	30
CXorf38	179	177	82	128
CXorf40A	20	10	1	6
CXorf40B	41	34	23	22
CXorf56	288	520	185	238
CYB561	62	82	32	33
CYB561A3	83	136	54	64
CYB561D1	26	41	10	20
CYB561D2	172	221	69	126
CYB5A	462	615	254	360
CYB5B	1237	1422	585	799
CYB5D1	97	150	54	76
CYB5D2	132	191	82	93
CYB5R1	281	364	140	168
CYB5R3	2574	3127	1001	1636
CYB5R4	502	503	205	256
CYB5RL	22	34	10	7
CYBA	1510	2190	698	984
CYBC1	128	210	82	100
CYBRD1	80	94	34	45
CYC1	2369	2878	1010	1488
CYCS	1078	1146	515	705
CYFIP1	2424	3015	1192	1574
CYFIP2	2093	2597	1065	1368
CYHR1	169	189	78	124
CYLD	273	300	118	173
CYP1B1	21	22	11	10
CYP20A1	248	335	128	180
CYP26A1	72	55	20	36
CYP26B1	31	14	14	15
CYP27B1	18	9	5	3
CYP27C1	7	14	5	5
CYP2D6	0	2	1	0
CYP2E1	1	0	0	0
CYP2J2	106	124	39	60
CYP2R1	56	66	20	40
CYP2U1	131	153	66	67
CYP39A1	40	44	24	20
CYP3A5	15	26	10	14
CYP4V2	51	44	32	30
CYP51A1	919	1025	381	490
CYREN	291	354	129	170
CYSTM1	572	636	256	370
CYTH1	177	208	69	101
CYTH2	186	248	77	136
CYTH3	122	139	66	89
CZIB	389	485	189	249
D2HGDH	231	374	133	173
DAAM1	264	269	132	168
DAAM2	202	212	81	101
DAB2	299	326	116	150
DAB2IP	193	262	87	149
DACH1	298	468	178	198
DACH2	12	12	9	7
DACT1	93	119	41	58
DAD1	1581	2012	680	1045
DAG1	997	1340	547	737
DAGLA	73	123	56	90
DAGLB	321	382	128	170
DALRD3	204	217	53	122
DAP	296	434	146	208
DAP3	1851	2106	799	1180
DAPK1	369	418	175	228
DAPK3	633	824	300	397
DARS	3122	3098	1352	1774
DARS2	2745	3012	1349	1618
DAXX	637	755	250	386
DAZAP1	2517	3197	1209	1816
DAZAP2	1370	1601	599	911
DBF4	167	171	81	97
DBF4B	147	168	52	69
DBI	1148	1184	493	677
DBN1	1881	2372	857	1176
DBNDD1	89	91	40	43
DBNDD2	517	717	235	341
DBNL	1447	1946	646	962
DBP	53	53	16	25
DBR1	675	763	321	424
DBT	626	676	274	341
DCAF1	1212	1566	630	857
DCAF10	311	423	143	198
DCAF11	147	203	74	89
DCAF12	555	650	224	307
DCAF13	1779	2144	851	1125
DCAF15	648	832	359	531
DCAF16	443	456	181	243
DCAF17	183	225	104	110
DCAF4	236	246	126	143
DCAF4L1	7	3	0	0
DCAF5	359	483	179	264
DCAF6	606	720	286	399
DCAF7	1846	2369	922	1213
DCAKD	607	683	268	345
DCBLD1	176	204	82	104
DCBLD2	303	388	174	210
DCDC2	234	262	117	169
DCDC2B	1	1	0	0
DCHS1	26	26	11	13
DCK	631	738	359	399
DCLK1	316	378	149	147
DCLK2	87	99	41	68
DCLRE1A	379	391	178	187
DCLRE1B	264	307	133	125
DCLRE1C	137	153	76	77
DCP1A	479	574	229	286
DCP1B	285	342	147	150
DCP2	732	895	351	426
DCPS	279	353	153	199
DCTD	528	625	265	324
DCTN1	2314	2870	1078	1479
DCTN2	2900	3301	1351	1881
DCTN3	1305	1513	640	838
DCTN4	1840	2316	930	1273
DCTN5	591	701	244	350
DCTN6	899	930	408	579
DCTPP1	1360	1569	664	844
DCUN1D1	443	456	185	244
DCUN1D2	31	73	28	34
DCUN1D3	23	42	7	13
DCUN1D4	346	447	182	236
DCUN1D5	1249	1286	603	645
DCXR	1170	1680	555	837
DDA1	461	574	248	312
DDAH1	1185	1326	567	700
DDAH2	73	96	38	55
DDB1	9041	11284	4525	6003
DDB2	244	368	172	236
DDHD1	327	354	146	186
DDHD2	490	505	208	248
DDI2	671	831	340	382
DDIAS	239	231	129	139
DDIT3	34	49	14	28
DDIT4	347	509	154	222
DDIT4L	21	34	23	14
DDN	69	88	37	45
DDOST	5081	5774	2205	2890
DDR1	252	299	109	149
DDR2	525	536	233	324
DDRGK1	913	1360	439	712
DDTL	16	15	2	10
DDX1	4772	5664	2322	2905
DDX10	768	887	381	501
DDX11	205	277	101	114
DDX17	7572	9463	3465	4778
DDX18	1585	2045	858	1011
DDX19A	116	134	58	86
DDX19B	100	97	45	56
DDX20	1564	1978	866	1037
DDX21	9051	10448	4757	5943
DDX23	1478	1867	713	912
DDX24	5336	6930	2593	3545
DDX27	1986	2550	915	1315
DDX28	493	631	273	354
DDX31	696	848	337	452
DDX39A	3001	3972	1522	2170
DDX39B	7676	10209	3876	5296
DDX3X	6670	8126	3649	4726
DDX41	588	833	287	392
DDX42	2239	2636	1114	1440
DDX46	4687	5274	2266	2737
DDX47	1926	2216	898	1168
DDX49	908	1220	481	636
DDX5	12560	16190	7178	9074
DDX50	1098	1108	434	599
DDX51	389	555	204	299
DDX52	1491	1634	758	924
DDX54	1908	2546	909	1278
DDX55	505	614	275	317
DDX56	3533	4609	1725	2412
DDX58	77	84	34	49
DDX59	319	361	152	195
DDX6	2120	2762	1227	1513
DDX60	108	102	39	45
DEAF1	199	236	95	116
DECR1	137	131	51	69
DECR2	85	83	32	41
DEDD	255	285	119	183
DEDD2	178	235	96	107
DEF6	9	10	1	4
DEF8	292	414	123	221
DEGS1	2908	3817	1551	2017
DEK	5686	6226	2722	3480
DELE1	469	548	202	287
DENND1A	248	310	105	178
DENND1B	67	101	43	57
DENND2A	10	12	6	9
DENND2C	148	142	63	100
DENND3	161	146	62	84
DENND4A	629	699	266	368
DENND4B	212	272	99	158
DENND4C	733	802	371	453
DENND5A	175	206	90	104
DENND5B	556	630	282	331
DENND6A	384	479	194	243
DENR	1129	1258	581	613
DEPDC1	715	751	387	433
DEPDC1B	567	605	251	333
DEPDC4	63	61	38	37
DEPDC5	76	69	28	39
DEPDC7	316	311	148	192
DEPP1	10	9	5	5
DEPTOR	43	30	12	20
DERA	652	630	264	336
DERL1	678	903	325	458
DERL2	458	646	266	345
DERL3	168	201	85	88
DERPC	518	657	258	312
DESI1	607	760	272	372
DESI2	302	353	130	184
DEXI	2	10	6	3
DFFA	1360	1464	571	733
DFFB	221	293	98	142
DGAT1	176	231	82	112
DGAT2	17	15	4	7
DGCR2	379	576	186	305
DGCR6	13	12	1	9
DGCR6L	117	163	54	87
DGCR8	258	389	160	175
DGKA	78	65	28	37
DGKD	274	285	112	146
DGKE	300	408	129	206
DGKH	379	507	188	266
DGKQ	33	47	10	27
DGKZ	61	82	39	51
DGLUCY	172	212	81	93
DGUOK	611	749	270	368
DHCR24	3246	4974	1668	2444
DHCR7	1411	1909	709	944
DHDDS	365	384	168	217
DHFR	4	8	4	4
DHFR2	24	29	10	10
DHODH	164	188	89	124
DHPS	640	806	298	424
DHRS1	170	205	85	99
DHRS11	109	130	65	84
DHRS12	28	28	17	19
DHRS13	120	182	55	77
DHRS3	221	290	90	132
DHRS4	81	134	42	72
DHRS7	626	794	312	399
DHRS7B	288	378	156	191
DHRSX	148	207	84	104
DHTKD1	882	1006	426	524
DHX15	5406	7383	2977	3710
DHX16	1635	2097	765	1054
DHX29	983	1101	487	623
DHX30	2291	3147	1169	1730
DHX32	510	641	215	313
DHX33	1121	1306	557	751
DHX34	354	500	197	233
DHX35	248	252	115	164
DHX36	2060	2458	1069	1297
DHX37	987	1421	497	714
DHX38	942	1218	442	610
DHX40	1152	1363	563	693
DHX57	1011	1191	466	674
DHX8	1828	2204	903	1202
DHX9	8603	11330	4670	5950
DIAPH1	1330	1772	754	1104
DIAPH2	319	368	143	160
DIAPH3	770	928	356	473
DICER1	1292	1412	591	696
DIDO1	1138	1341	504	692
DIMT1	543	631	267	315
DIP2A	345	403	136	221
DIP2B	1144	1389	524	662
DIP2C	323	400	163	215
DIPK1A	245	279	105	150
DIPK1B	256	419	121	225
DIPK2A	266	343	129	151
DIRAS1	139	159	64	103
DIS3	2060	2267	1023	1276
DIS3L	523	679	264	315
DIS3L2	247	263	84	123
DISC1	34	45	11	17
DISP1	71	81	40	49
DIXDC1	162	188	54	84
DKC1	2445	3251	1349	1724
DLAT	1734	2220	814	1148
DLC1	425	513	170	257
DLD	6593	7751	3111	3988
DLEC1	0	0	0	0
DLG1	611	669	278	396
DLG3	393	376	194	225
DLG4	15	7	9	6
DLG5	474	646	224	308
DLGAP4	226	224	112	107
DLGAP5	2516	2636	1238	1408
DLK2	30	71	16	37
DLL1	68	103	39	43
DLL3	217	247	72	128
DLST	1503	1679	718	894
DLX1	109	127	55	66
DLX2	868	1258	519	723
DMAC1	414	543	183	272
DMAC2	423	657	234	304
DMAC2L	287	346	133	184
DMAP1	661	948	352	479
DMBX1	26	24	12	11
DMC1	30	19	11	11
DMD	282	307	131	160
DMKN	1455	1373	594	775
DMPK	26	18	5	17
DMTF1	230	248	114	141
DMTN	55	64	19	33
DMWD	169	235	77	130
DMXL1	1477	1551	664	835
DMXL2	855	967	423	489
DNA2	1175	1255	597	696
DNAAF2	432	463	185	246
DNAAF3	17	38	8	16
DNAAF4	154	154	75	68
DNAAF5	1940	2714	1000	1335
DNAH1	31	12	13	4
DNAH10	2	4	2	1
DNAH11	82	54	34	41
DNAH14	618	683	289	329
DNAH17	10	6	5	3
DNAH6	46	29	13	16
DNAH7	32	27	19	16
DNAJA1	3453	4788	1934	2418
DNAJA2	2256	2835	1207	1488
DNAJA3	1203	1477	553	738
DNAJA4	0	0	0	0
DNAJB1	1013	1433	438	629
DNAJB11	744	937	331	489
DNAJB12	684	793	305	437
DNAJB14	171	231	80	110
DNAJB2	196	250	83	125
DNAJB4	127	128	49	54
DNAJB5	58	69	19	24
DNAJB6	281	432	131	212
DNAJB7	10	9	3	3
DNAJB9	156	190	91	122
DNAJC1	669	788	369	454
DNAJC10	680	723	311	397
DNAJC11	1209	1700	588	819
DNAJC12	467	474	206	233
DNAJC13	905	983	488	500
DNAJC14	215	292	111	149
DNAJC16	335	411	176	210
DNAJC17	143	175	68	90
DNAJC18	462	513	252	307
DNAJC19	134	149	70	79
DNAJC2	1216	1325	562	718
DNAJC21	800	945	410	510
DNAJC22	42	45	19	26
DNAJC24	109	101	32	59
DNAJC25	28	35	13	26
DNAJC27	9	8	8	7
DNAJC28	62	54	20	32
DNAJC3	536	604	259	359
DNAJC30	123	183	75	112
DNAJC4	47	52	16	30
DNAJC5	572	677	262	359
DNAJC6	703	694	259	405
DNAJC7	2532	2952	1219	1537
DNAJC8	930	1043	431	585
DNAJC9	431	560	219	284
DNAL1	100	156	61	60
DNAL4	70	87	34	52
DNASE1	7	2	3	1
DNASE1L1	66	96	34	41
DNASE1L2	4	0	1	1
DNASE2	625	740	284	370
DND1	1	0	0	0
DNHD1	19	14	12	18
DNLZ	106	180	67	86
DNM1	341	393	154	228
DNM1L	2425	2847	1228	1523
DNM2	2552	3367	1323	1882
DNM3	56	52	26	29
DNMBP	344	413	156	223
DNMT1	5412	7251	2720	3719
DNMT3A	232	321	118	168
DNMT3B	252	329	128	173
DNPEP	637	829	288	399
DNPH1	947	1118	436	519
DNTTIP1	1175	1450	573	799
DNTTIP2	1424	1410	678	843
DOC2A	37	41	11	23
DOCK1	688	800	324	419
DOCK11	606	560	238	344
DOCK3	104	126	48	60
DOCK4	865	948	398	567
DOCK5	384	403	155	214
DOCK6	195	191	89	86
DOCK7	1798	1915	874	1094
DOCK8	116	143	70	71
DOCK9	277	294	120	138
DOHH	225	311	106	167
DOK1	24	32	10	9
DOK3	4	3	1	0
DOK4	50	53	27	54
DOLK	382	573	214	291
DOLPP1	421	593	245	326
DONSON	883	1015	446	520
DOP1A	717	850	345	403
DOP1B	434	568	218	307
DOT1L	383	489	182	250
DPAGT1	564	744	253	348
DPCD	608	764	322	425
DPF1	231	282	105	152
DPF2	750	1076	376	505
DPF3	18	26	16	12
DPH1	819	1063	396	557
DPH2	296	424	177	224
DPH3	222	299	145	166
DPH5	750	877	374	467
DPH6	239	252	113	118
DPH7	417	525	190	269
DPM1	1893	2252	965	1219
DPM2	225	317	93	148
DPM3	485	602	189	286
DPP3	742	1075	419	581
DPP4	59	37	21	31
DPP7	19	17	10	10
DPP8	543	590	273	326
DPP9	809	930	380	500
DPY19L1	455	488	212	287
DPY19L3	787	934	380	485
DPY19L4	193	226	111	109
DPY30	425	527	226	282
DPYSL2	1823	2277	893	1190
DPYSL3	1434	1717	640	892
DPYSL4	162	297	82	133
DPYSL5	896	1012	402	563
DR1	930	991	391	566
DRAM1	95	136	49	70
DRAM2	353	308	149	179
DRAP1	408	502	195	269
DRC3	19	12	7	9
DRG1	1715	2066	790	1123
DRG2	814	958	357	463
DRICH1	1	0	0	0
DROSHA	1485	1615	646	832
DSC2	609	672	296	370
DSC3	735	1058	409	555
DSCC1	678	841	358	447
DSE	196	203	84	109
DSG2	2146	2285	963	1288
DSN1	546	584	268	293
DSP	5079	6061	2546	3251
DST	890	1159	544	718
DSTN	1823	2086	870	986
DSTYK	193	271	116	123
DTD2	69	63	30	37
DTL	1619	1876	727	1050
DTNA	314	328	134	147
DTNB	241	339	132	164
DTNBP1	721	918	366	478
DTWD1	145	129	55	79
DTWD2	244	247	107	146
DTX2	39	70	18	29
DTX3	143	152	60	84
DTX3L	299	313	142	201
DTYMK	918	1369	488	681
DUS1L	507	695	195	377
DUS2	352	447	189	203
DUS3L	466	669	272	388
DUS4L	143	152	69	106
DUSP1	514	575	255	369
DUSP10	24	42	21	18
DUSP11	496	583	239	290
DUSP12	279	352	152	209
DUSP14	359	445	151	222
DUSP16	180	239	81	112
DUSP18	15	22	12	9
DUSP19	88	96	41	40
DUSP2	1	0	2	1
DUSP22	104	94	45	46
DUSP3	581	740	262	367
DUSP5	140	201	77	81
DUSP7	207	248	82	142
DUSP8	15	22	10	12
DUSP9	83	145	54	65
DUT	2248	2563	1013	1383
DVL1	358	400	142	264
DVL2	1000	1251	436	607
DVL3	619	804	283	355
DXO	432	490	211	255
DYM	1050	1087	504	599
DYNC1H1	6994	8246	3353	4204
DYNC1I1	62	70	24	36
DYNC1I2	541	673	287	349
DYNC1LI1	1438	1572	688	874
DYNC1LI2	1024	1154	492	633
DYNC2H1	2398	2671	1219	1450
DYNC2LI1	405	416	171	251
DYNLL1	1387	1766	772	992
DYNLL2	639	627	297	349
DYNLRB1	998	1142	409	646
DYNLT1	1182	1289	521	722
DYNLT3	197	196	90	127
DYRK1A	587	654	286	373
DYRK1B	365	475	157	275
DYRK2	273	358	119	164
DYRK3	251	278	88	133
DYRK4	286	312	133	176
DZANK1	55	62	35	29
DZIP1	209	167	77	75
DZIP1L	41	54	11	22
DZIP3	662	678	318	361
E2F1	235	232	98	157
E2F2	485	510	230	282
E2F3	517	628	277	306
E2F4	446	517	173	266
E2F5	280	346	138	168
E2F6	89	100	50	68
E2F7	599	795	297	389
E2F8	252	242	112	127
E4F1	336	433	168	218
EAF1	578	683	304	348
EAF2	80	73	39	32
EAPP	529	633	280	366
EARS2	632	770	263	410
EBAG9	150	169	75	98
EBF2	295	316	157	167
EBF3	361	461	203	241
EBF4	9	8	3	10
EBLN2	0	0	0	0
EBNA1BP2	2711	3625	1341	1771
EBP	565	796	295	406
EBPL	615	793	322	416
ECD	2055	2465	1000	1302
ECE1	925	1187	474	637
ECEL1	46	80	27	37
ECH1	1808	1940	698	1004
ECHDC1	1492	1751	731	961
ECHDC2	1	0	0	0
ECHS1	3127	3844	1477	1948
ECI1	758	932	352	463
ECI2	1895	2026	792	933
ECM1	20	26	12	13
ECM2	0	1	0	1
ECPAS	2489	2804	1264	1642
ECSIT	409	561	186	252
ECT2	2121	2208	1051	1234
ECT2L	0	0	0	0
EDA	35	55	18	26
EDA2R	71	124	40	64
EDARADD	48	76	38	23
EDC3	1128	1341	527	752
EDC4	1881	2805	1060	1444
EDDM13	0	0	0	0
EDEM1	134	135	49	83
EDEM2	98	127	41	60
EDEM3	336	396	167	197
EDF1	1879	3153	1050	1456
EDIL3	766	768	312	412
EDNRA	114	156	43	76
EDRF1	1148	1436	503	634
EEA1	1465	1725	874	990
EED	520	690	217	327
EEF1A1	1462	3276	1569	2420
EEF1A2	2377	2639	992	1383
EEF1AKMT1	222	279	133	132
EEF1AKMT2	58	86	26	48
EEF1AKMT4	44	52	14	30
EEF1AKNMT	852	1116	395	511
EEF1B2	402	605	217	376
EEF1D	953	1596	631	893
EEF1E1	448	487	201	275
EEF1G	2061	2496	1030	1470
EEF2	37217	53089	21356	29564
EEF2K	221	271	115	121
EEF2KMT	53	91	30	46
EEFSEC	384	530	210	309
EEPD1	93	101	30	56
EFCAB10	22	31	12	14
EFCAB11	144	157	54	69
EFCAB13	4	6	2	3
EFCAB14	263	248	116	137
EFCAB2	20	36	14	15
EFCAB6	25	20	6	7
EFCAB7	307	305	135	172
EFEMP2	0	0	0	0
EFHC1	200	227	112	127
EFHD1	305	404	126	205
EFHD2	406	546	181	233
EFL1	350	447	188	211
EFNA4	15	25	11	16
EFNA5	429	590	254	323
EFNB1	224	378	121	177
EFNB2	609	711	279	382
EFNB3	29	30	11	19
EFR3A	213	213	106	135
EFR3B	244	271	127	127
EFTUD2	5312	7284	2606	3544
EGFL7	314	426	185	254
EGFL8	9	13	5	4
EGFLAM	86	102	38	46
EGFR	261	266	118	170
EGLN1	432	567	233	293
EGLN2	220	289	103	147
EGLN3	161	186	62	106
EHBP1	388	372	198	222
EHBP1L1	64	75	15	23
EHD1	372	402	158	216
EHD3	80	99	32	55
EHD4	515	668	264	331
EHHADH	321	290	142	182
EHMT1	813	1020	378	540
EHMT2	992	1346	492	713
EI24	494	581	231	290
EID1	2017	2686	951	1349
EID2	970	1134	432	528
EID2B	119	114	52	59
EID3	1	5	2	0
EIF1	1407	1671	797	978
EIF1AD	248	253	102	134
EIF1AX	362	441	174	242
EIF1B	490	602	279	314
EIF2A	1414	1563	779	925
EIF2AK1	1312	1352	564	737
EIF2AK2	1551	1722	774	984
EIF2AK3	117	126	49	45
EIF2AK4	789	844	357	423
EIF2B1	1511	1864	753	991
EIF2B2	750	878	333	445
EIF2B3	1540	1708	658	815
EIF2B4	657	829	342	390
EIF2B5	656	977	395	479
EIF2D	486	550	226	298
EIF2S1	3012	3591	1509	1850
EIF2S2	608	670	280	372
EIF2S3	5030	5091	2376	2943
EIF3A	8339	11289	4770	6127
EIF3B	6790	8209	3224	4327
EIF3C	14	41	11	21
EIF3D	8166	9674	3912	5391
EIF3E	5601	6343	2911	3585
EIF3F	753	931	444	525
EIF3G	4398	5939	2211	2944
EIF3H	3050	3767	1674	2095
EIF3I	8663	9487	3734	5198
EIF3J	955	1256	483	642
EIF3K	7571	8323	3526	4851
EIF3L	3054	4060	1653	2172
EIF3M	5325	6369	2673	3416
EIF4A1	5512	6784	2627	3720
EIF4A2	1228	1444	574	739
EIF4A3	3043	3806	1496	2030
EIF4B	453	687	302	411
EIF4E	91	169	61	78
EIF4E2	692	1081	435	511
EIF4E3	86	115	48	70
EIF4EBP1	863	996	350	594
EIF4EBP2	237	354	148	189
EIF4ENIF1	518	672	232	315
EIF4G1	13153	16617	6548	8887
EIF4G2	5748	6581	2898	3699
EIF4G3	3379	4069	1693	2189
EIF4H	772	961	397	498
EIF5	2174	2293	1000	1295
EIF5A	5711	7860	2886	3708
EIF5A2	121	147	58	87
EIF5B	3256	3984	1742	2091
EIF6	1651	2184	814	1119
EIPR1	289	350	168	222
ELAC1	48	80	39	58
ELAC2	1671	2026	783	1110
ELAVL1	4043	4569	1813	2477
ELAVL2	281	328	137	130
ELF1	703	811	384	474
ELF2	329	415	178	211
ELF4	425	461	168	230
ELK1	184	229	79	124
ELK3	121	86	44	51
ELK4	105	118	47	83
ELL	244	325	121	162
ELL2	171	168	78	110
ELL3	282	237	98	130
ELMO1	54	79	33	53
ELMO2	438	559	256	308
ELMO3	6	2	1	0
ELMOD1	19	20	13	13
ELMOD2	577	710	311	361
ELMOD3	18	25	11	11
ELMSAN1	259	312	108	141
ELOA	1514	1755	695	1012
ELOB	2792	3476	1309	1943
ELOC	647	994	392	500
ELOF1	604	956	294	457
ELOVL1	951	1218	371	528
ELOVL2	296	357	148	183
ELOVL4	864	1003	412	556
ELOVL5	2383	2908	1269	1620
ELOVL6	414	571	209	301
ELOVL7	256	271	130	147
ELP1	2117	2437	1034	1312
ELP2	1432	1661	685	839
ELP3	1192	1453	624	729
ELP4	376	389	177	224
ELP5	759	929	356	399
ELP6	472	602	232	336
EMB	239	239	110	156
EMC1	2277	2848	1060	1449
EMC10	627	1097	372	539
EMC2	764	708	360	408
EMC3	1217	1451	614	769
EMC4	987	1280	505	634
EMC6	254	339	126	164
EMC7	762	979	359	474
EMC8	583	810	313	381
EMC9	118	136	48	88
EMD	1340	1711	651	862
EME1	262	326	131	131
EME2	26	30	19	18
EMG1	892	1178	448	633
EMID1	27	41	10	22
EMILIN1	10	5	0	1
EMILIN2	163	143	54	86
EMILIN3	354	444	163	271
EML1	622	675	289	384
EML2	254	278	101	154
EML3	141	143	63	81
EML4	1335	1627	690	844
EML6	22	15	14	9
EMP2	184	228	92	115
EMP3	287	303	106	161
EMSY	271	307	137	146
EMX1	26	45	12	19
EN2	177	218	74	100
ENAH	1929	2184	849	1183
ENC1	405	538	227	304
ENDOD1	184	227	91	130
ENDOG	479	691	204	348
ENDOV	48	59	18	26
ENGASE	97	154	56	58
ENHO	6	12	2	3
ENKD1	63	80	21	35
ENO1	49757	62474	24628	34035
ENO2	737	947	387	490
ENO3	12	13	5	1
ENO4	35	28	13	10
ENOPH1	604	813	315	380
ENOSF1	247	304	127	152
ENOX1	71	74	30	51
ENOX2	150	158	55	93
ENPEP	365	353	190	221
ENPP1	450	531	208	283
ENPP4	482	504	196	287
ENPP5	119	136	31	42
ENSA	639	1002	350	508
ENTPD1	25	19	14	13
ENTPD4	127	195	83	104
ENTPD5	31	32	12	18
ENTPD6	308	389	139	205
ENTPD7	286	312	121	156
ENTR1	255	341	141	194
ENY2	747	1017	405	532
EOGT	181	201	88	107
EOMES	46	62	31	28
EP300	2126	2527	1089	1379
EP400	1233	1527	644	830
EPAS1	108	103	32	58
EPB41	1722	1945	803	1033
EPB41L1	130	145	57	77
EPB41L2	2586	2986	1349	1732
EPB41L3	1546	2041	812	1040
EPB41L4A	57	49	20	34
EPB41L4B	104	101	57	70
EPB41L5	490	497	223	276
EPC1	209	258	160	161
EPC2	244	256	118	172
EPDR1	272	349	121	153
EPG5	440	494	200	265
EPHA10	18	24	4	14
EPHA2	799	1003	337	504
EPHA3	244	280	106	142
EPHA4	446	621	234	319
EPHA5	178	255	80	126
EPHA6	146	183	61	76
EPHA7	1464	2016	823	1100
EPHA8	52	48	29	29
EPHB1	49	56	19	27
EPHB2	253	301	102	156
EPHB3	55	73	23	33
EPHB4	393	580	184	298
EPHX1	663	767	292	346
EPHX2	192	226	92	121
EPHX4	158	183	60	111
EPM2A	41	55	29	21
EPN1	820	1010	340	510
EPN2	176	232	88	120
EPOP	46	61	17	25
EPOR	66	74	27	33
EPPK1	652	850	333	405
EPRS	5503	6018	2576	3150
EPS15	1084	1250	505	568
EPS15L1	1037	1259	576	675
EPS8	904	1016	398	539
EPS8L1	4	6	1	6
ERAL1	1081	1358	546	707
ERAP1	264	295	121	158
ERBB2	244	241	98	156
ERBB3	31	36	11	15
ERBB4	342	334	130	208
ERBIN	1038	1156	480	654
ERC1	807	922	418	506
ERC2	30	38	12	20
ERCC1	417	644	207	327
ERCC2	756	840	325	433
ERCC3	920	1102	405	547
ERCC4	418	501	180	253
ERCC6	462	595	238	296
ERCC6L	622	777	367	411
ERCC6L2	133	137	69	79
ERCC8	147	142	61	69
ERF	349	434	142	209
ERFE	118	174	51	101
ERG28	339	482	183	262
ERGIC1	554	698	299	421
ERGIC2	597	582	291	355
ERGIC3	1868	2437	1002	1392
ERH	2992	3208	1493	1926
ERI1	536	506	245	277
ERI2	280	271	117	160
ERI3	1413	1627	653	879
ERICH1	330	344	134	162
ERICH5	101	153	47	76
ERLEC1	390	400	151	222
ERLIN1	396	443	170	216
ERLIN2	952	1177	460	655
ERMAP	25	23	10	12
ERMARD	234	223	106	126
ERMP1	712	765	298	386
ERN1	58	96	35	43
ERO1A	1106	1079	482	580
ERO1B	163	212	93	102
ERP29	974	1307	462	611
ERP44	1375	1679	715	877
ERRFI1	287	348	147	205
ERV3-1	2	8	2	5
ERVFRD-1	0	0	0	0
ERVK3-1	294	432	168	229
ESCO1	147	142	44	64
ESCO2	1157	1337	541	660
ESD	4194	4702	2155	2546
ESF1	808	937	400	492
ESPL1	1773	2374	961	1230
ESPNL	0	0	0	2
ESR2	0	3	0	1
ESRP2	401	461	204	257
ESRRA	107	171	54	67
ESRRG	0	0	0	0
ESS2	446	612	208	290
ESYT1	2358	2857	1118	1557
ESYT2	854	1092	392	564
ETAA1	155	150	64	92
ETF1	2935	3276	1445	1898
ETFA	3691	3974	1699	2029
ETFB	1119	1298	481	628
ETFBKMT	18	23	9	10
ETFDH	411	574	218	276
ETFRF1	174	154	70	104
ETHE1	166	182	74	97
ETNK1	994	1354	505	651
ETNK2	62	79	22	32
ETNPPL	35	34	14	14
ETS2	464	582	258	286
ETV1	405	416	175	224
ETV3	359	511	200	238
ETV6	81	111	30	44
EVC	57	72	21	26
EVI2B	0	0	1	1
EVI5	391	445	202	251
EVI5L	131	148	54	85
EVL	129	168	35	64
EWSR1	3819	5181	2061	2871
EXD2	258	336	122	178
EXD3	25	14	7	5
EXO1	802	849	411	479
EXO5	136	181	84	114
EXOC1	719	727	283	362
EXOC2	1290	1493	631	778
EXOC3	654	765	328	435
EXOC4	1503	1611	698	838
EXOC5	431	466	193	213
EXOC6	1240	1251	580	802
EXOC6B	531	609	250	310
EXOC7	1135	1448	505	741
EXOC8	721	950	407	545
EXOG	165	247	80	95
EXOSC1	730	985	369	500
EXOSC10	2674	3545	1318	1816
EXOSC2	1434	1773	721	987
EXOSC3	657	875	301	406
EXOSC4	613	838	282	398
EXOSC5	1005	1326	442	641
EXOSC6	471	653	239	372
EXOSC7	564	700	263	317
EXOSC8	1762	1932	835	999
EXOSC9	1061	1352	588	672
EXPH5	186	218	102	119
EXT1	277	304	122	193
EXT2	901	1088	451	597
EXTL2	271	234	103	123
EXTL3	299	363	137	183
EYA1	71	70	35	37
EYA2	204	251	91	150
EYA3	656	737	330	403
EYA4	506	583	216	256
EYS	0	3	0	1
EZH1	173	142	59	82
EZH2	1077	1446	612	738
EZR	3428	4709	1901	2381
F11R	442	583	205	287
F12	74	94	29	40
F2R	370	440	138	201
F2RL1	412	467	169	206
F3	61	65	26	57
F8	60	55	24	26
FAAH	104	128	52	53
FAAH2	83	72	35	55
FAAP100	148	207	71	105
FAAP20	171	255	78	104
FAAP24	160	217	90	92
FABP3	9	10	4	2
FADD	382	470	144	208
FADS1	345	403	170	211
FADS2	1532	1839	692	952
FADS3	114	147	62	66
FAF1	1454	1653	742	931
FAF2	1192	1433	583	718
FAH	336	410	130	184
FAHD1	422	529	182	285
FAHD2A	90	92	37	51
FAHD2B	39	31	18	24
FAIM	659	935	322	452
FAM102A	17	23	7	10
FAM102B	200	200	82	108
FAM104A	231	334	114	161
FAM104B	174	196	93	132
