	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
DRG2	1320	1245	987	1241
DRICH1	20	19	13	19
DROSHA	2876	2380	1395	1746
DSC2	358	301	213	309
DSC3	575	511	373	488
DSCC1	839	826	572	689
DSE	492	397	421	529
DSG2	1917	1582	1075	1392
DSN1	939	887	665	811
DSP	7377	6513	4207	5817
DST	6961	6630	4405	5841
DSTN	768	709	581	707
DSTYK	721	641	416	529
DTD2	199	173	145	168
DTL	2613	2116	1921	2427
DTNA	238	198	153	200
DTNB	340	304	232	310
DTNBP1	342	311	178	214
DTWD1	144	132	119	178
DTWD2	171	114	142	157
DTX2	45	38	21	37
DTX3	61	52	56	79
DTX3L	135	96	67	87
DTYMK	987	986	672	869
DUS1L	2298	2092	1591	1928
DUS2	421	416	311	348
DUS3L	1052	1024	786	964
DUS4L	183	154	144	177
DUSP1	136	93	112	149
DUSP10	31	18	34	30
DUSP11	549	537	440	562
DUSP12	522	528	393	513
DUSP14	180	158	148	197
DUSP16	485	374	306	339
DUSP18	36	40	23	24
DUSP19	46	65	50	62
DUSP2	48	41	27	44
DUSP22	127	114	88	129
DUSP3	257	218	181	256
DUSP5	14	16	20	34
DUSP7	162	125	80	112
DUSP8	22	17	12	23
DUSP9	168	155	140	175
DUT	1078	1133	685	1075
DVL1	993	914	861	1003
DVL2	842	688	599	795
DVL3	432	386	312	374
DXO	406	373	288	427
DYM	735	588	623	701
DYNC1H1	25794	23582	15239	20271
DYNC1I1	28	12	11	19
DYNC1I2	1177	1114	907	1052
DYNC1LI1	2418	2318	1822	2229
DYNC1LI2	1305	1250	834	1059
DYNC2H1	11061	10543	7225	9409
DYNC2LI1	553	526	439	534
DYNLL1	868	855	779	883
DYNLL2	166	146	136	150
DYNLRB1	245	222	207	307
DYNLT1	582	559	467	618
DYNLT3	162	160	111	151
DYRK1A	1169	1015	931	1156
DYRK1B	101	93	68	130
DYRK2	793	770	520	780
DYRK3	458	382	311	412
DYRK4	230	219	223	268
DZANK1	83	70	41	57
DZIP1	2337	2108	1495	1905
DZIP1L	301	294	154	199
DZIP3	1854	1756	1472	1918
E2F1	703	653	594	684
E2F2	252	238	171	175
E2F3	631	575	426	570
E2F4	1067	823	736	1012
E2F5	489	439	331	442
E2F6	220	225	128	163
E2F7	675	624	451	542
E2F8	609	526	341	491
E4F1	883	770	660	797
EAF1	330	280	245	296
EAF2	89	71	53	62
EAPP	666	588	574	639
EARS2	658	590	455	554
EBAG9	186	161	141	200
EBF2	25	16	17	26
EBF3	205	181	144	164
EBF4	35	20	15	32
EBLN2	138	131	75	112
EBNA1BP2	2746	2843	2178	2543
EBP	348	324	335	369
EBPL	348	302	264	326
ECD	1090	1035	760	989
ECE1	424	311	214	328
ECEL1	61	46	35	59
ECH1	279	268	174	230
ECHDC1	1411	1300	1019	1268
ECHDC2	68	31	28	36
ECHS1	2203	2088	1460	1843
ECI1	747	618	519	663
ECI2	2062	1938	1591	1908
ECM1	14	13	13	17
ECM2	104	118	49	78
ECPAS	6327	5906	4521	5553
ECSIT	572	539	481	560
ECT2	3266	2881	2404	3128
ECT2L	49	39	12	26
EDA	54	36	23	33
EDA2R	52	37	42	37
EDARADD	44	31	27	27
EDC3	880	764	462	715
EDC4	2121	1669	1651	1983
EDDM13	31	33	12	17
EDEM1	774	737	449	605
EDEM2	380	316	319	396
EDEM3	1351	1292	956	1194
EDF1	1563	1337	1124	1542
EDIL3	30	23	24	32
EDNRA	34	28	32	49
EDRF1	2208	1957	1539	1956
EEA1	1365	1184	732	1073
EED	962	883	631	878
EEF1A1	9061	7929	9850	11351
EEF1A2	224	200	173	254
EEF1AKMT1	198	174	124	181
EEF1AKMT2	113	128	60	72
EEF1AKMT4	61	71	50	56
EEF1AKNMT	1374	1243	846	1144
EEF1B2	1837	1673	1289	1643
EEF1D	3825	3620	2997	3708
EEF1E1	334	263	297	411
EEF1G	9806	9181	7987	10134
EEF2	47683	41951	40919	51877
EEF2K	428	391	271	328
EEF2KMT	206	142	169	183
EEFSEC	304	240	197	212
EEPD1	131	130	80	116
EFCAB10	47	48	34	46
EFCAB11	123	136	107	137
EFCAB13	78	61	30	41
EFCAB14	525	478	313	389
EFCAB2	102	76	60	70
EFCAB6	93	76	48	87
EFCAB7	455	392	303	436
EFEMP2	16	15	18	21
EFHC1	398	400	289	391
EFHD1	26	26	13	13
EFHD2	201	184	108	153
EFL1	1236	1109	906	1101
EFNA4	35	24	28	32
EFNA5	127	98	53	68
EFNB1	165	117	96	144
EFNB2	143	109	115	165
EFNB3	19	33	10	11
EFR3A	839	826	593	788
EFR3B	118	95	65	86
EFTUD2	5918	5503	4286	4981
EGFL7	102	77	59	68
EGFL8	70	52	39	44
EGFLAM	16	13	16	18
EGFR	139	128	70	95
EGLN1	705	645	472	540
EGLN2	439	421	312	442
EGLN3	45	37	30	34
EHBP1	1490	1352	846	1017
EHBP1L1	52	41	23	25
EHD1	322	307	214	283
EHD3	149	145	107	142
EHD4	410	428	384	492
EHHADH	178	175	129	183
EHMT1	1333	1232	870	1182
EHMT2	1331	1179	877	1184
