	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
OXTR	5	7	0	3
P2RX2	7	5	0	2
P2RX4	104	111	58	33
P2RY1	60	80	55	29
P2RY13	0	0	0	0
P2RY14	0	0	0	0
P3H1	672	1067	386	224
P3H2	54	78	27	22
P3H3	267	261	149	99
P3H4	340	413	192	105
P4HA1	659	817	333	209
P4HA2	522	610	229	130
P4HB	3814	4798	1659	895
PA2G4	1417	1880	738	475
PAAF1	232	221	90	41
PABPC1	3145	4444	922	544
PABPC1L	31	31	20	12
PABPC4	3455	4273	1593	943
PABPC4L	89	106	45	35
PABPN1	199	400	180	103
PACRGL	136	162	88	54
PACS1	423	455	156	106
PACS2	135	134	65	30
PACSIN2	1164	1442	603	374
PACSIN3	354	408	153	69
PADI2	51	52	23	18
PAF1	3233	4521	1902	1165
PAFAH1B1	1757	1993	837	576
PAFAH1B2	1012	1275	605	365
PAFAH1B3	667	846	363	222
PAFAH2	95	154	61	36
PAG1	125	130	52	24
PAGR1	331	517	219	117
PAICS	5377	6036	2670	2009
PAIP1	343	396	182	154
PAIP2	1784	1774	835	579
PAIP2B	106	121	68	45
PAK1	599	684	279	201
PAK1IP1	1091	1349	519	370
PAK2	928	1200	486	264
PAK3	8	2	5	1
PAK4	984	1539	608	376
PALB2	269	247	140	88
PALD1	330	379	158	83
PALLD	936	925	450	294
PALM	139	153	54	36
PALM2	41	45	10	14
PAM	1011	1123	482	239
PAN2	405	439	244	159
PAN3	342	408	198	131
PANK1	139	240	93	58
PANK2	519	712	308	192
PANK3	541	694	279	172
PANK4	780	928	445	274
PANX1	176	210	103	65
PAOX	28	29	20	2
PAPOLA	2763	2960	939	655
PAPOLB	3	2	0	0
PAPOLG	331	456	195	141
PAPSS1	1205	1424	620	430
PAPSS2	664	801	287	197
PAQR3	285	315	137	87
PAQR4	123	114	62	33
PAQR5	53	62	15	10
PAQR6	4	0	5	1
PAQR7	99	118	52	37
PAQR8	87	85	47	21
PARD3	1214	1362	536	377
PARD3B	120	146	63	41
PARD6A	16	23	1	9
PARD6B	316	351	165	104
PARD6G	81	92	46	25
PARG	319	423	183	157
PARL	17	37	12	3
PARM1	140	149	53	31
PARN	1040	1062	512	308
PARP1	11915	15138	6993	4386
PARP11	146	149	74	64
PARP16	135	163	55	41
PARP2	637	700	292	194
PARP3	10	16	14	6
PARP4	1482	1968	867	618
PARP6	43	39	20	10
PARP8	307	333	174	94
PARP9	364	344	172	143
PARPBP	1030	1151	460	360
PARS2	216	229	94	61
PARVA	365	600	203	120
PARVB	144	179	57	30
PASK	605	754	329	206
PATJ	513	576	282	146
PATL1	517	607	269	155
PATZ1	358	445	215	138
PAWR	1191	1299	548	354
PAX3	318	369	196	102
PAX6	200	218	126	55
PAX9	116	129	72	42
PAXBP1	620	724	324	207
PAXIP1	649	698	313	208
PAXX	327	414	184	105
PBDC1	449	629	291	185
PBK	2860	3173	1523	1023
PBLD	48	42	30	13
PBRM1	1617	1824	779	540
PBX1	590	667	346	227
PBX2	199	209	116	60
PBX3	154	183	56	46
PBX4	9	19	9	3
PBXIP1	227	353	164	105
PC	213	305	161	85
PCBD1	858	992	400	294
PCBD2	51	51	35	26
PCBP1	4937	6219	2412	1659
PCBP2	7720	9686	2880	1757
PCBP3	18	18	6	9
PCBP4	75	89	45	21
PCCA	156	200	85	38
PCCB	2293	2844	1236	756
PCDH10	41	65	28	15
PCDH12	0	0	0	0
PCDH17	4	2	4	3
PCDH18	64	58	31	12
PCDH7	876	1327	616	369
PCDH9	177	217	101	67
PCDHGA11	50	62	34	17
PCDHGC3	199	236	132	73
PCED1A	92	115	54	34
PCF11	544	782	455	283
PCGF1	157	177	103	61
PCGF2	194	273	91	52
PCGF3	126	192	85	34
PCGF5	331	348	123	70
PCGF6	457	419	208	148
PCID2	739	755	340	203
PCIF1	275	256	139	76
PCK2	428	464	169	109
PCLO	242	195	123	68
PCM1	2926	3305	1363	879
PCMT1	2919	3379	1717	1029
PCMTD1	85	71	46	34
PCMTD2	349	336	174	104
PCNA	9596	11938	6345	4028
PCNP	561	697	303	169
PCNT	1521	2146	1118	637
PCNX1	608	615	340	195
PCNX2	44	27	43	18
PCNX3	288	370	180	100
PCNX4	147	199	151	107
PCOLCE	41	60	20	11
PCOLCE2	340	369	176	86
PCSK1N	170	290	117	52
PCSK4	8	8	8	3
PCSK5	193	298	114	60
PCSK6	351	463	174	99
PCSK7	91	137	66	43
PCTP	227	285	122	74
PCYOX1	970	1057	452	231
PCYOX1L	251	296	116	58
PCYT1A	427	589	221	162
PCYT1B	1	0	0	0
PCYT2	197	250	97	73
PDAP1	906	1462	718	406
PDCD10	643	834	375	254
PDCD11	1994	2956	1290	821
PDCD2	943	1331	527	339
PDCD2L	890	1024	521	301
PDCD4	3046	3829	1589	1006
PDCD5	3127	4162	1878	1103
PDCD6	942	1240	475	304
PDCD6IP	2763	2918	1473	989
PDCD7	225	308	176	96
PDCL	400	554	252	160
PDCL3	145	269	117	51
PDE10A	232	248	92	60
PDE12	1152	1457	700	434
PDE3B	240	292	146	84
PDE4D	129	176	77	66
PDE4DIP	227	279	92	65
PDE5A	203	181	83	53
PDE6D	279	330	130	103
PDE7A	138	181	85	52
PDE8A	109	116	36	33
PDE9A	265	276	85	53
PDF	152	267	135	74
PDGFA	32	36	22	19
PDGFC	138	175	83	56
PDGFRL	112	149	61	29
PDHA1	4113	5335	2228	1439
PDHB	2104	2393	1071	706
PDHX	881	938	375	253
PDIA2	5	8	4	1
PDIA3	2531	3119	1144	666
PDIA4	4003	5075	1922	1079
PDIA5	159	204	78	46
PDIA6	4172	5502	2093	1130
PDIK1L	199	202	99	78
PDK1	590	513	269	178
PDK2	602	633	294	166
PDK3	932	997	407	297
PDLIM1	1410	1562	556	362
PDLIM2	89	111	59	38
PDLIM3	212	252	102	67
PDLIM4	0	3	0	0
PDLIM5	1603	2145	912	602
PDLIM7	452	555	271	160
PDP1	188	165	100	57
PDP2	366	490	201	134
PDPK1	162	183	92	57
PDPN	599	752	363	219
PDPR	36	76	45	25
PDRG1	458	696	326	218
PDS5A	2917	3027	1197	848
PDS5B	1437	1744	986	625
PDSS1	398	456	192	123
PDSS2	247	277	134	99
PDXDC1	873	1080	405	269
PDXK	593	929	372	246
PDXP	173	314	103	88
PDZD11	617	784	413	238
PDZD2	36	34	19	16
PDZD4	34	56	11	7
PDZD7	13	16	8	38
PDZD8	457	548	178	109
PDZRN3	117	120	63	37
PEA15	671	863	414	273
PEAK1	156	222	97	64
PEBP1	3828	4860	2035	1270
PECR	287	341	154	74
PEF1	1277	1630	893	547
PELI1	181	195	77	64
PELI2	168	155	77	43
PELI3	90	88	29	15
PELO	628	743	332	181
PELP1	2913	4118	1905	1147
PEMT	314	381	202	115
PEPD	2094	3035	1202	661
PER2	107	120	58	34
PER3	24	35	18	15
PERP	1303	1831	747	411
PES1	2335	3149	1294	865
PET100	216	366	163	88
PET117	78	105	51	35
PEX1	639	727	312	205
PEX10	303	434	155	77
PEX11A	96	115	59	39
PEX11B	278	360	152	105
PEX12	99	109	53	36
PEX13	181	255	105	72
PEX14	403	525	215	119
PEX16	143	173	78	41
PEX19	654	737	338	217
PEX2	122	116	80	62
PEX26	178	222	85	69
PEX3	829	925	415	347
PEX5	653	796	307	201
PEX6	278	417	203	88
PEX7	244	271	119	75
PFAS	2047	3072	1153	646
PFDN1	780	949	556	386
PFDN2	1261	1704	641	424
PFDN4	1012	993	425	230
PFDN5	3406	3661	1442	917
PFDN6	1300	1380	730	499
PFKFB2	60	81	32	23
PFKFB3	442	509	195	143
PFKFB4	34	63	15	9
PFKL	1632	2111	844	520
PFKM	2118	2479	1121	663
PFKP	5973	7362	2857	1795
PFN1	8772	11455	6323	3928
PFN2	1219	1689	789	437
PGAM1	2	2	1	1
PGAM2	8	12	5	1
PGAM5	1747	2063	691	523
PGAP1	486	450	202	143
PGAP2	88	146	63	45
PGAP3	64	54	32	14
PGBD1	204	241	115	76
PGBD2	21	28	18	7
PGBD4	38	38	20	9
PGBD5	129	135	42	29
PGD	4146	5466	2308	1452
PGGHG	28	30	13	8
PGGT1B	423	488	221	154
PGK1	7065	9141	4034	2519
PGM1	1136	1442	517	363
PGM2	1522	1761	762	470
PGM2L1	362	369	163	129
PGM3	2094	2406	1143	700
PGP	603	751	300	139
PGPEP1	145	167	96	50
PGRMC1	2447	3126	1202	684
PGRMC2	585	618	312	173
PGS1	298	333	151	90
PHACTR1	42	30	19	16
PHACTR2	296	321	129	88
PHACTR4	472	567	262	172
PHAX	1146	1305	670	386
PHB	1869	2293	1053	683
PHB2	6625	8302	3294	2090
PHC1	14	11	3	5
PHC2	426	518	239	169
PHC3	317	311	204	105
PHETA1	27	29	12	8
PHEX	2	0	17	3
PHF1	56	81	32	15
PHF10	608	674	311	207
PHF11	146	186	70	38
PHF12	302	382	137	81
PHF13	378	470	212	134
PHF14	714	960	414	288
PHF19	339	453	190	107
PHF2	305	432	210	126
PHF20	297	320	221	133
PHF20L1	296	377	146	97
PHF21A	172	212	96	65
PHF21B	14	7	2	4
PHF23	531	760	367	217
PHF3	1979	1974	935	664
PHF5A	527	699	368	229
PHF6	1697	2029	852	664
PHF7	7	6	3	2
PHF8	1093	1561	618	376
PHGDH	5235	6526	2664	1646
PHIP	2876	3536	1826	1223
PHKA1	859	948	325	202
PHKA2	545	604	266	174
PHKB	433	428	167	125
PHKG1	1	2	0	0
PHKG2	311	321	157	96
PHLDA3	150	264	114	70
PHLDB1	268	304	123	64
PHLDB2	136	141	76	58
PHLDB3	151	179	70	54
PHLPP1	428	637	310	180
PHLPP2	225	261	134	73
PHOSPHO2	39	27	17	5
PHPT1	1230	1756	862	453
PHRF1	775	1093	527	327
PHTF1	128	190	68	49
PHTF2	368	444	173	104
PHYH	381	419	161	105
PHYHD1	34	36	19	5
PHYKPL	101	82	45	33
PI4K2A	132	154	71	39
PI4K2B	34	47	28	12
PI4KA	1580	1839	811	510
PI4KB	998	1256	557	378
PIAS1	712	787	443	288
PIAS2	342	372	167	131
PIAS3	314	404	195	107
PIAS4	313	492	188	128
PIBF1	564	543	230	168
PICALM	1717	1846	924	604
PICK1	397	518	215	135
PIDD1	56	84	36	22
PIEZO1	705	799	397	128
PIF1	93	115	50	23
PIGA	195	185	136	88
PIGB	117	130	64	41
PIGBOS1	32	51	26	23
PIGC	189	248	78	47
PIGF	137	139	62	33
PIGG	633	839	371	219
PIGH	139	158	87	36
PIGK	1162	1159	569	311
PIGL	114	113	63	29
PIGM	543	671	296	189
PIGN	243	240	126	50
PIGO	483	636	237	148
PIGP	375	463	234	134
PIGQ	375	483	192	91
PIGS	623	819	336	177
PIGT	995	1081	458	223
PIGU	292	386	160	88
PIGV	38	57	22	21
PIGW	306	406	192	116
PIGX	216	275	93	74
PIGY	85	82	37	20
PIH1D1	585	678	346	185
PIH1D2	30	58	27	20
PIK3AP1	80	99	35	29
PIK3C2A	1335	1301	445	329
PIK3C2B	87	95	37	15
PIK3C3	854	930	460	319
PIK3CA	205	267	93	55
PIK3CB	271	247	110	66
PIK3CD	73	62	22	17
PIK3IP1	16	19	9	2
PIK3R1	247	295	133	92
PIK3R3	19	48	27	18
PIK3R4	1232	1570	764	510
PIKFYVE	784	870	398	239
PILRB	5	5	6	1
PIM1	253	329	135	88
PIM2	280	356	177	103
PIM3	872	1209	497	292
PIMREG	435	747	313	199
PIN1	1267	1613	667	463
PIN4	825	1176	523	317
PINK1	1389	1688	651	370
PINX1	189	249	99	80
PIP4K2A	482	585	248	154
PIP4K2B	299	376	135	82
PIP4K2C	546	702	292	192
PIP4P1	280	307	189	91
PIP4P2	143	149	85	43
PIP5K1A	1018	1062	500	337
PIP5K1B	26	21	8	7
PIP5K1C	157	258	93	56
PIP5KL1	5	7	3	3
PIR	203	293	125	85
PISD	287	426	208	115
PITHD1	903	1064	531	295
PITPNA	850	1086	502	336
PITPNB	1284	1411	700	576
PITPNC1	65	95	26	16
PITPNM1	59	97	36	13
PITPNM2	29	31	19	10
PITPNM3	12	11	8	8
PITRM1	2496	2959	1379	866
PITX1	334	472	170	100
PITX2	187	218	85	66
PJA1	673	849	367	251
PJA2	2281	2649	1286	864
PJVK	6	0	7	4
PKD1	166	103	109	36
PKD1L1	1	0	1	1
PKD2	101	142	61	27
PKD2L2	0	0	0	0
PKDCC	22	31	10	3
