	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
GPKOW	883	1210	636	552
GPLD1	179	233	111	116
GPM6A	55	114	56	43
GPM6B	142	211	113	75
GPN1	1045	1567	644	607
GPN2	437	589	271	242
GPN3	961	1258	604	607
GPR107	737	1098	471	410
GPR108	443	579	212	207
GPR124	80	122	65	35
GPR125	1396	2157	1072	969
GPR126	110	172	76	89
GPR137	113	180	110	84
GPR137B	164	231	130	103
GPR137C	58	112	65	66
GPR155	156	235	88	97
GPR160	217	340	114	88
GPR161	213	285	128	123
GPR176	98	137	70	44
GPR180	699	1038	412	346
GPR27	51	72	64	47
GPR52	38	83	41	28
GPR63	117	187	82	64
GPR75	95	149	100	53
GPR89A	1518	2339	1060	857
GPR89B	1518	2339	1060	857
GPR89C	1107	1696	800	668
GPR98	3637	5304	2869	2679
GPRASP1	243	411	263	244
GPRC5B	59	71	41	28
GPRC5C	49	53	28	25
GPRIN1	801	1239	634	618
GPRIN3	100	179	92	78
GPS1	2315	3445	1583	1378
GPS2	907	1178	481	401
GPSM1	230	379	190	149
GPSM2	1034	1486	757	757
GPT2	541	726	362	361
GPX1	3287	4520	2073	1842
GPX3	79	143	95	61
GPX4	3175	4607	1969	1858
GPX8	435	618	300	270
GRAMD1A	449	650	398	352
GRAMD1B	77	125	64	65
GRAMD1C	102	153	63	68
GRAMD4	256	390	196	216
GRB10	876	1399	711	668
GRB14	212	306	174	149
GRB2	925	1454	609	616
GREB1	145	255	151	139
GREB1L	1021	1652	785	711
GRHL1	122	193	64	59
GRHPR	1094	1572	715	645
GRID1	140	261	142	90
GRINA	529	919	496	364
GRIP1	207	307	135	117
GRIPAP1	853	1220	677	644
GRK4	59	98	44	52
GRK5	163	271	97	93
GRK6	2006	2828	1430	1351
GRN	979	1584	915	851
GRPEL1	1922	2594	1152	1124
GRPEL2	537	814	412	434
GRSF1	3366	4898	2452	2283
GRTP1	87	141	83	68
GRWD1	1834	2475	1271	1148
GSE1	300	568	441	365
GSG2	858	1419	732	584
GSK3A	455	701	335	293
GSK3B	885	1415	725	626
GSKIP	233	338	157	130
GSN	186	286	127	117
GSPT1	4779	7050	3980	3954
GSR	1896	2614	1294	1247
GSS	1385	2019	863	842
GSTA4	575	848	391	362
GSTCD	1130	1595	771	646
GSTK1	591	838	396	393
GSTM1	40	63	41	30
GSTM3	903	1283	587	580
GSTM4	40	73	42	38
GSTO1	2119	2974	1420	1372
GSTP1	5895	8300	4130	3582
GSTZ1	282	426	157	152
GTDC1	129	191	86	68
GTDC2	678	857	378	297
GTF2A1	706	939	428	432
GTF2A2	544	700	320	328
GTF2B	1225	1800	700	715
GTF2E1	304	376	234	207
GTF2E2	668	1075	446	435
GTF2F1	2051	2860	1147	1061
GTF2F2	983	1282	597	606
GTF2H1	1242	1723	825	721
GTF2H2	4054	5899	2919	2812
GTF2H2C	4068	5911	2954	2850
GTF2H3	1164	1636	806	724
GTF2H4	301	437	237	164
GTF2H5	583	857	389	350
GTF2I	10579	16712	8338	7947
GTF2IRD1	384	607	317	290
GTF2IRD2	179	247	98	91
GTF2IRD2B	178	258	101	96
GTF3A	3214	4408	1904	1652
GTF3C1	7134	10893	5629	5124
GTF3C2	1889	2741	1270	1057
GTF3C3	2923	4159	1953	1835
GTF3C4	1918	2998	1618	1424
GTF3C5	1479	2139	943	822
GTF3C6	2398	3178	1613	1586
GTPBP1	1246	1969	1135	940
GTPBP10	769	1084	526	575
GTPBP2	563	893	477	425
GTPBP3	1144	1641	823	728
GTPBP4	5358	7239	3297	3327
GTPBP6	1156	1600	774	624
GTPBP8	753	1012	449	464
GTSE1	866	1166	646	523
GUCD1	501	654	304	262
GUCY1A2	58	78	35	43
GUCY1A3	272	432	203	189
GUCY1B3	241	343	162	142
GUF1	1467	2018	1038	994
GUK1	1888	2595	1212	1123
GULP1	233	359	114	113
GUSB	839	1167	587	562
GXYLT1	418	680	311	296
