	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
1-Mar	820	1201	586	526	174	220	254	337
10-Sep	866	1236	663	636	318	355	478	598
11-Sep	2038	2808	1468	1430	1049	1267	1539	2071
14-Sep	42	72	35	38	4	5	6	5
15-Sep	763	1001	494	467	524	574	681	1055
2-Mar	268	344	240	212	95	88	120	144
2-Sep	4398	5929	3018	2952	3051	3178	3823	5661
3-Mar	67	97	40	38	39	30	37	48
3-Sep	106	193	133	104	88	53	90	112
5-Mar	631	901	428	430	411	477	608	753
6-Mar	2567	4132	2314	2009	1216	1383	1577	2398
6-Sep	490	779	350	294	398	416	580	707
7-Mar	2650	3991	1802	1519	718	953	1069	1179
7-Sep	2833	3864	1872	1907	979	1239	1535	2052
8-Mar	226	367	190	168	24	23	27	58
8-Sep	1212	1738	853	798	486	437	552	839
9-Mar	83	124	66	48	33	35	52	86
9-Sep	829	1140	562	422	406	468	612	713
AAAS	1553	2201	904	834	686	702	939	1456
AACS	344	604	288	286	288	298	396	575
AADAT	365	536	279	267	47	36	71	92
AAED1	159	269	139	120	76	88	129	133
AAGAB	1873	2562	1360	1300	529	572	633	954
AAK1	128	244	142	151	151	153	191	287
AAMDC	261	411	174	170	54	56	60	133
AAMP	4293	5702	3031	2949	1642	1684	2238	3437
AAR2	750	1114	455	395	231	257	303	510
AARS	4380	6406	3244	3011	1663	1708	2370	3314
AARS2	1313	1956	1014	880	231	166	266	461
AASDH	1013	1483	710	642	95	99	144	163
AASDHPPT	2005	2732	1325	1182	780	847	1088	1485
AASS	1612	2230	1051	1016	296	313	261	449
AATF	1800	2354	1263	1286	626	741	839	1200
ABCA1	66	95	54	72	3	0	2	2
ABCA10	75	114	68	52	1	5	5	5
ABCA2	356	615	336	272	166	148	176	222
ABCA3	644	1153	622	492	252	230	295	411
ABCA5	633	979	483	435	128	119	147	205
ABCA7	216	374	223	190	57	51	72	86
ABCB1	229	344	140	156	459	464	663	823
ABCB10	2169	3152	1544	1488	188	222	239	391
ABCB6	342	501	239	178	159	158	174	240
ABCB7	2054	2990	1406	1226	537	664	816	1005
ABCB8	338	534	260	195	164	185	204	345
ABCB9	206	258	116	106	47	52	53	104
ABCC1	798	1446	948	681	477	492	542	817
ABCC10	498	812	463	382	147	153	181	263
ABCC2	80	92	43	50	3	1	2	3
ABCC4	1945	2703	1391	1304	408	462	500	684
ABCC5	872	1293	697	652	200	249	215	388
ABCC8	44	72	40	30	2	4	7	10
ABCD1	56	84	41	34	32	27	42	48
ABCD3	3356	4896	2335	2154	1142	1299	1486	2097
ABCD4	497	729	354	339	70	77	97	143
ABCE1	7071	10075	4377	4140	2216	2590	3076	3950
ABCF1	3280	4344	2263	2260	1217	1270	1645	2317
ABCF2	3935	5492	2664	2435	992	1020	1278	2007
ABCF3	771	971	548	526	221	225	310	437
ABCG2	85	125	55	37	46	54	92	92
ABHD10	1091	1513	724	701	381	413	527	676
ABHD12	450	622	255	232	124	124	187	228
ABHD13	166	221	79	76	64	89	88	109
ABHD14A	111	117	63	40	16	23	23	43
ABHD14B	204	229	117	91	48	69	63	106
ABHD15	43	74	36	34	8	11	24	26
ABHD16A	535	705	308	231	127	158	166	235
ABHD17A	523	788	337	284	30	50	58	81
ABHD17B	581	815	368	321	166	198	196	287
ABHD17C	93	138	74	61	74	67	95	166
ABHD2	553	857	370	379	260	280	333	494
ABHD3	408	550	217	190	209	197	244	340
ABHD4	30	68	42	42	38	54	65	111
ABHD5	572	825	376	311	76	88	124	143
ABHD6	143	216	112	88	49	46	60	110
ABI1	713	951	379	330	310	347	522	653
ABI2	720	1099	501	446	208	199	299	374
ABL1	896	1475	843	801	222	230	322	496
ABL2	1057	1652	971	841	106	117	188	209
ABLIM1	525	760	314	319	202	181	306	385
ABR	410	699	392	347	437	444	594	790
ABRACL	531	749	357	343	319	374	390	541
ABT1	1327	1811	818	743	294	290	389	606
ABTB2	95	161	79	74	77	75	139	144
ACAA1	530	746	350	319	262	246	311	452
ACAA2	897	1363	693	705	1195	1250	1655	2070
ACACA	4229	6454	3683	3250	911	973	1118	1662
ACACB	417	668	384	325	40	50	44	55
ACAD10	354	541	272	241	101	78	97	165
ACAD8	401	596	298	293	55	85	89	136
ACAD9	1252	1837	874	828	454	499	644	811
ACADL	78	106	68	67	110	137	138	201
ACADM	2409	3141	1559	1560	969	984	1298	1530
ACADS	220	291	133	122	103	110	192	217
ACADSB	521	799	382	330	581	601	738	915
ACADVL	1069	1598	753	640	399	389	507	633
ACAP2	1063	1492	766	692	352	402	508	549
ACAP3	441	621	318	305	110	93	88	164
ACAT1	3213	4526	2297	2135	1508	1714	2087	2589
ACAT2	3706	4942	2425	2237	1254	1295	1712	2279
ACBD3	1877	2529	1248	1249	533	600	781	1071
ACBD5	431	557	301	275	252	300	382	580
ACBD6	1670	2334	1036	948	223	229	303	386
ACCS	43	87	44	40	3	2	11	11
ACD	265	377	172	157	180	206	241	418
ACER3	180	254	95	101	77	87	90	109
ACIN1	4912	6817	3570	3311	1180	1440	1722	2433
ACLY	12052	17209	7973	7024	3538	4036	5074	6869
ACN9	405	534	245	264	200	264	385	423
ACO1	1555	2109	1001	939	531	579	677	989
ACO2	1717	2561	1221	1109	571	600	647	1098
ACOT13	486	637	319	295	244	296	362	339
ACOT2	488	748	353	314	288	307	369	527
ACOT7	628	929	515	514	1259	1378	1813	2698
ACOT8	203	324	168	121	122	160	193	258
ACOT9	712	966	479	429	343	385	492	652
ACOX1	1180	1753	843	822	509	653	751	1073
ACOX3	213	379	204	178	67	74	65	124
ACP1	1161	1724	803	713	700	801	984	1274
ACP2	286	460	197	187	171	169	186	294
ACP6	458	634	335	297	96	95	116	154
ACPL2	241	373	147	134	28	50	47	70
ACRC	104	143	87	42	2	9	2	2
ACSF2	169	256	107	91	69	62	127	142
ACSF3	483	678	358	322	130	124	182	292
ACSL1	667	945	400	425	416	467	555	709
ACSL3	3382	4800	2245	2153	1590	1706	2024	2800
ACSL4	1498	1982	1028	975	868	1013	1312	1646
ACSL6	76	118	63	55	10	13	10	20
ACSM3	65	64	38	26	20	17	46	43
ACSS1	258	394	187	202	153	174	203	300
ACSS2	326	379	221	194	64	70	102	161
ACSS3	59	102	48	46	100	90	126	164
ACTA1	229	315	131	86	1178	1239	1581	2347
ACTA2	54	94	49	41	348	363	400	677
ACTB	23936	35980	17954	16671	27437	31271	42689	60640
ACTG1	31378	43408	17047	14857	18199	20638	26490	40920
ACTL6A	1601	2282	949	941	926	1006	1245	1765
ACTN1	1565	2477	1252	1031	1098	1263	1703	2432
ACTN2	123	202	130	117	25	19	48	57
ACTN4	2982	4655	2309	1968	4932	5163	7178	10630
ACTR10	1089	1541	664	633	648	707	872	1126
ACTR1A	1591	2233	896	810	1385	1388	1836	2629
ACTR1B	659	890	436	377	98	115	135	202
ACTR2	3472	4841	2892	2713	2198	2333	2898	3915
ACTR3	3620	5171	2337	2194	1437	1742	2106	2804
ACTR3B	350	633	367	274	82	104	113	161
ACTR3C	106	164	90	67	25	38	33	62
ACTR5	449	696	341	295	87	103	131	208
ACTR6	1317	1735	835	894	580	731	929	1080
ACTR8	2043	2967	1415	1325	305	343	475	619
ACTRT3	73	104	54	65	19	22	24	14
ACVR1	124	170	105	59	86	88	109	128
ACVR1B	325	486	262	270	210	205	210	400
ACVR2A	375	508	253	219	119	125	151	233
ACVR2B	548	820	465	417	51	41	67	96
ACY1	324	530	247	221	104	128	151	252
ACYP1	119	192	66	74	52	61	92	108
ADA	196	271	120	124	101	101	183	208
ADAL	195	294	142	117	53	37	69	58
ADAM10	1007	1480	742	707	541	566	569	693
ADAM11	224	290	147	128	58	73	67	100
ADAM15	1225	1780	851	730	295	293	351	508
ADAM17	1025	1447	732	739	166	180	168	277
ADAM19	69	98	43	62	24	28	22	40
ADAM22	417	658	295	278	56	65	71	78
ADAM23	290	470	245	220	109	107	118	169
ADAM9	2670	3619	1823	1744	491	472	516	690
ADAMTS1	998	1324	668	597	2399	2608	3128	4677
ADAMTS13	106	196	147	97	16	1	5	2
ADAMTS17	170	344	183	167	25	17	19	45
ADAMTS19	126	183	137	114	87	78	83	125
ADAMTS20	260	423	234	177	31	35	24	39
ADAMTS3	314	462	205	191	81	94	86	115
ADAMTS6	64	110	60	50	5	5	5	5
ADAMTS7	51	105	55	41	21	16	12	21
ADAMTS9	268	447	255	238	14	18	24	24
ADAP1	104	142	59	54	9	10	6	18
ADAP2	107	137	73	71	23	15	22	35
ADAR	7064	10396	5119	4424	1734	2094	2685	3585
ADARB1	356	514	269	206	52	53	69	131
ADAT1	516	857	468	388	57	61	83	102
ADAT2	258	435	290	289	45	35	74	84
ADAT3	44	85	43	47	23	33	34	68
ADC	59	83	45	46	7	12	8	9
ADCK1	231	306	153	146	49	56	73	113
ADCK2	724	1015	502	493	277	242	340	492
ADCK3	2339	3342	1467	1404	474	479	606	873
ADCK4	271	432	186	176	139	133	188	258
ADCK5	80	91	49	42	15	8	12	19
ADCY1	426	624	325	296	18	12	25	16
ADCY3	1058	1689	823	703	273	252	317	453
ADCY6	340	545	302	243	229	182	270	407
ADCY9	484	855	523	454	172	144	200	252
ADD1	1565	2372	1170	1151	881	908	1116	1600
ADD2	444	671	347	348	129	144	213	320
ADD3	1751	2530	1020	950	824	950	1110	1477
ADH5	4019	5261	2291	2248	1159	1125	1328	2152
ADI1	1433	2124	1079	1043	271	293	397	631
ADIPOR1	1910	2795	1255	1186	221	260	308	466
ADIPOR2	806	1101	462	441	360	393	476	713
ADK	1143	1623	841	802	578	632	802	998
ADM	77	82	30	38	57	62	62	114
ADNP	2359	4260	2558	2149	1068	1174	1392	1910
ADNP2	1577	2258	1259	1096	290	363	416	554
ADO	182	276	102	129	71	88	133	206
ADORA2A	44	60	33	22	7	3	14	5
ADORA2B	184	251	127	110	45	44	67	71
ADPGK	1124	1744	828	707	278	304	361	527
ADPRHL1	47	66	41	32	10	16	11	18
ADPRHL2	746	1084	501	469	278	281	313	498
ADPRM	144	203	85	61	17	29	25	50
ADRA2C	78	100	35	42	7	10	4	7
ADRBK1	1077	1580	705	674	167	189	247	319
ADRBK2	713	1066	524	479	39	28	70	78
ADRM1	1518	2250	1001	921	1249	1351	1791	3178
ADSL	6204	9083	3822	3582	1586	1553	2139	2700
ADSS	3575	4862	2581	2727	730	812	935	1405
AEBP2	472	678	445	356	272	301	363	562
AEN	935	1167	536	503	272	346	376	667
AES	378	471	202	163	495	515	674	965
AFAP1	228	406	225	246	78	86	102	137
AFAP1L1	143	205	92	76	50	50	74	83
AFF1	471	777	453	379	282	334	419	530
AFF3	131	249	120	92	111	122	136	180
AFF4	2193	3546	1810	1437	957	1233	1470	1778
AFG3L2	3465	4981	2506	2405	724	742	897	1259
AFMID	149	171	106	102	84	108	122	167
AFTPH	946	1344	673	570	163	155	209	309
AGA	325	552	209	211	124	163	196	254
AGAP1	497	767	393	384	132	150	153	248
AGAP11	304	510	303	275	40	16	15	17
AGAP3	1066	1458	870	676	239	254	337	552
AGAP4	974	1542	800	709	72	39	38	31
AGAP5	768	1246	642	581	72	60	48	50
AGAP6	903	1444	778	660	74	38	38	37
AGAP7	860	1349	718	664	65	36	37	32
AGAP8	1612	2574	1362	1193	127	72	67	63
AGAP9	1743	2899	1560	1495	144	106	96	82
AGBL3	38	65	26	39	10	3	11	16
AGBL5	1537	2234	968	799	121	131	167	223
AGFG1	1508	2215	1005	799	700	797	1006	1394
AGFG2	93	146	71	61	50	63	76	130
AGGF1	1615	2345	1149	1026	201	218	256	345
AGK	1438	2248	1018	916	561	616	705	1133
AGL	3130	4788	2464	2058	838	963	1157	1508
AGMAT	60	78	43	35	0	1	1	1
AGO1	1036	1604	848	762	288	298	400	561
AGO2	1002	1646	928	738	356	398	504	679
AGO3	830	1111	588	526	120	140	193	237
AGO4	302	477	234	215	69	67	67	92
AGPAT1	278	513	222	208	267	277	367	531
AGPAT2	240	321	121	120	230	260	329	475
AGPAT3	556	814	426	365	186	182	260	396
AGPAT4	305	471	227	203	88	94	133	181
AGPAT5	647	898	421	473	192	204	265	387
AGPAT6	1257	1883	939	885	249	252	265	472
AGPAT9	164	220	106	74	132	161	228	362
AGPHD1	276	461	221	187	50	52	73	88
AGPS	2973	4098	1955	2079	984	1051	1354	1800
AGRN	530	935	622	516	648	626	654	1262
AGTPBP1	3471	5050	2352	2315	456	462	547	730
AGTRAP	226	342	108	84	174	170	236	382
AGXT2L2	306	500	224	221	28	29	57	54
AHCTF1	5384	8063	4067	3588	570	664	759	1003
AHCY	5535	7313	3021	2591	1870	1946	2235	3680
AHCYL1	1647	2363	1240	1070	826	876	1147	1427
AHCYL2	263	472	270	258	154	161	220	297
AHDC1	45	99	87	46	64	75	115	190
AHI1	1260	1856	997	904	166	172	226	262
AHNAK	2384	3882	2409	2460	1009	989	1133	1375
AHNAK2	425	677	371	358	148	84	141	102
AHR	599	942	342	293	255	357	470	590
AHRR	159	213	137	140	9	10	7	17
AHSA1	5128	7240	3408	3172	1132	1161	1518	2170
AHSA2	137	167	90	106	4	3	0	2
AIDA	499	752	381	357	138	142	182	240
AIF1L	137	202	117	101	278	283	361	457
AIFM1	3081	4193	2028	1962	1169	1209	1479	2068
AIFM2	86	116	71	75	214	282	373	515
AIG1	541	758	435	357	246	308	357	554
AIMP1	1591	2225	1107	1108	476	503	609	916
AIMP2	1653	2346	1048	1009	717	763	968	1503
AIP	841	1060	511	500	391	470	561	818
AJUBA	89	146	102	86	26	33	31	71
AK000470	304	508	260	240	0	0	0	0
AK055601	105	128	49	35	66	56	67	67
AK097143	4462	8164	6464	5846	43	32	28	17
AK1	445	617	330	326	201	192	240	460
AK2	4425	6365	3029	3137	1569	1626	2077	3191
AK293147	108	198	140	127	15	2	2	8
AK296947	76	153	81	92	29	33	42	66
AK3	333	505	231	217	240	277	402	428
AK302092	194	304	202	188	9	10	2	8
AK302511	137	290	127	73	46	24	20	12
AK304826	1023	1628	902	720	104	55	62	33
AK308309	254	379	216	217	34	49	75	80
AK310228	1247	1860	860	652	140	30	40	16
AK310526	56	103	45	55	4	2	4	6
AK4	635	853	431	403	362	391	517	683
AK9	78	156	73	82	39	31	41	58
AKAP1	2627	3757	1928	1753	312	327	363	615
AKAP10	1034	1601	814	689	105	124	180	213
AKAP11	3186	5053	2940	2776	728	905	954	1404
AKAP12	4335	6083	3384	3218	1019	988	1464	1721
AKAP13	2674	4295	2344	2023	374	404	453	613
AKAP17A	954	1306	730	692	206	238	290	522
AKAP5	136	173	99	91	17	27	39	52
AKAP6	131	245	148	118	15	16	20	26
AKAP7	123	186	94	110	45	36	54	56
AKAP8	1117	1512	784	755	323	348	375	614
AKAP8L	1668	2415	1059	968	362	469	606	921
AKAP9	6432	7299	4446	4417	614	747	842	1068
AKIP1	270	379	191	132	96	104	158	199
AKIRIN1	539	801	353	274	499	593	740	991
AKIRIN2	171	319	172	135	360	462	507	769
AKNA	32	79	37	35	19	16	37	33
AKR1A1	910	1273	642	555	400	435	498	896
AKR1B1	2382	3286	1374	1260	1833	1908	2418	3415
AKR7A2	1009	1505	561	508	453	548	739	1168
AKR7A3	76	149	77	63	62	67	85	132
AKT1	1714	2395	1110	970	290	288	358	584
AKT1S1	159	249	113	105	128	107	172	248
AKT2	1387	1980	870	770	544	580	704	1106
AKT3	1210	1847	997	892	119	103	148	190
AKTIP	307	447	190	188	66	101	133	170
ALAD	147	179	127	98	84	60	77	116
ALAS1	1535	2166	1010	980	279	331	505	677
ALCAM	1546	2151	1011	867	390	452	455	603
ALDH16A1	697	986	540	524	185	191	220	420
ALDH18A1	5486	7428	3843	3401	1213	1326	1255	2012
ALDH1A2	1525	2129	967	904	999	1037	1237	1751
ALDH1B1	1311	1852	970	915	384	405	534	742
ALDH1L2	588	934	579	555	150	188	229	271
ALDH2	698	894	412	371	813	830	1112	1439
ALDH3A2	1982	2871	1462	1354	572	572	706	995
ALDH4A1	213	258	125	91	156	152	226	315
ALDH5A1	501	846	395	457	318	379	444	654
ALDH6A1	515	748	357	316	251	321	358	461
ALDH7A1	1374	2003	1220	1054	1222	1300	1536	2008
ALDH9A1	2485	3381	1627	1490	1176	1265	1599	2228
ALDOA	19258	26886	12014	11227	9370	10119	13731	20825
ALDOC	71	116	42	40	98	183	259	280
ALG1	811	1127	525	435	261	292	285	480
ALG10	835	1108	481	391	461	507	630	905
ALG10B	736	989	398	323	419	476	575	824
ALG12	422	608	342	276	151	170	158	279
ALG13	1323	2310	1293	1158	384	464	533	687
ALG14	352	505	250	257	74	83	110	119
ALG1L	68	110	49	50	47	49	37	73
ALG2	492	693	302	266	123	146	174	259
ALG3	387	534	248	225	361	368	529	836
ALG5	1058	1586	667	659	472	522	498	762
ALG6	1735	2576	1077	1031	263	367	357	554
ALG8	1945	2862	1146	1002	702	733	876	1286
ALG9	514	712	282	282	180	179	155	298
ALKBH1	376	549	238	178	110	134	188	257
ALKBH2	615	762	350	358	100	100	151	224
ALKBH3	548	866	379	324	91	108	149	169
ALKBH4	187	278	141	134	86	128	141	263
ALKBH5	2992	4180	1864	1670	252	253	321	550
ALKBH6	143	217	98	80	218	254	325	419
ALKBH7	177	256	131	105	109	98	163	239
ALKBH8	855	1251	710	627	66	95	107	135
ALMS1	5801	8937	4617	3768	486	499	574	680
ALPK1	176	272	144	111	48	41	42	49
ALS2	1178	1675	870	730	181	186	234	300
ALS2CR8	73	101	72	44	4	2	5	2
ALX1	170	273	113	100	96	111	139	162
ALX4	47	58	48	42	30	24	34	51
ALYREF	3820	5646	2730	2691	2130	2382	3267	4511
AMACR	209	293	122	134	91	107	135	172
AMBRA1	1198	1837	877	783	266	300	377	501
AMD1	4972	6972	3338	3070	478	462	647	829
AMDHD2	241	339	177	154	63	65	95	140
AMER1	525	744	446	398	42	38	56	110
AMFR	1800	2524	1263	1116	517	534	680	900
AMH	89	178	124	116	27	23	22	39
AMIGO1	62	88	52	37	17	8	18	17
AMIGO3	140	193	80	77	6	2	2	0
AMMECR1	357	429	236	201	88	89	125	226
AMMECR1L	258	361	184	181	74	71	94	140
AMN1	123	230	87	79	54	53	91	75
AMOT	6490	10737	5288	4273	68	73	112	129
AMOTL1	962	1402	705	669	385	429	604	875
AMOTL2	200	259	113	92	107	135	134	249
AMPD2	784	1195	598	527	247	277	376	507
AMPH	100	198	76	67	66	54	80	119
AMY2B	65	70	36	27	0	0	1	0
AMZ2	1789	2554	1059	920	211	226	315	390
ANAPC1	9634	13536	6132	5290	1112	1204	1534	1837
ANAPC10	451	671	247	207	134	166	226	288
ANAPC11	294	354	179	164	246	317	443	635
ANAPC13	309	428	232	256	131	116	133	192
ANAPC15	382	490	233	216	67	72	104	142
ANAPC16	546	721	344	308	215	242	274	442
ANAPC2	643	843	462	439	228	281	341	607
ANAPC4	1245	1866	829	770	351	405	478	579
ANAPC5	6960	10367	4398	3998	1561	1566	2049	2428
ANAPC7	2653	3815	1740	1477	1224	1380	1550	2434
ANGEL1	631	998	546	467	164	180	194	278
ANGEL2	1196	1818	740	724	169	208	222	321
ANK1	255	443	213	188	30	53	53	92
ANK2	887	1281	657	568	316	311	351	438
ANK3	633	967	524	495	185	202	226	284
ANKAR	172	316	168	166	0	1	1	0
ANKEF1	276	392	212	188	52	41	76	85
ANKFY1	1492	2500	1450	1247	726	775	973	1339
ANKH	325	440	210	175	106	111	129	164
ANKHD1-EIF4EBP3	4442	7058	4324	3624	1844	1973	2391	3135
ANKIB1	1217	1716	852	817	110	119	151	173
ANKLE2	2875	4124	2170	2013	539	620	829	1134
ANKMY1	169	259	121	101	10	12	10	6
ANKMY2	398	608	284	292	220	223	276	314
ANKRA2	153	221	92	78	35	47	63	67
ANKRD10	644	967	449	414	66	71	114	146
ANKRD11	2172	3763	2536	2236	368	340	404	606
ANKRD12	865	1057	601	625	83	121	121	160
ANKRD13A	858	1315	540	499	234	277	316	425
ANKRD13B	115	198	133	99	102	101	148	212
ANKRD13C	1662	2364	1106	1007	108	133	179	256
ANKRD13D	178	227	135	136	23	23	30	41
ANKRD16	145	198	82	71	39	57	46	84
ANKRD17	6694	10522	5841	5061	1383	1716	1854	2460
ANKRD18A	1013	2023	1413	1276	64	79	71	77
ANKRD18B	309	659	464	468	14	16	16	16
ANKRD20A3	601	1183	776	777	102	137	147	168
ANKRD20A4	198	426	272	269	35	50	49	56
ANKRD23	47	71	50	43	1	3	0	3
ANKRD26	1684	2289	1333	1178	311	333	406	475
ANKRD27	1203	1632	793	784	250	234	421	554
ANKRD28	1878	2668	1411	1224	453	502	588	751
ANKRD31	52	83	48	42	10	8	18	16
ANKRD32	1367	1967	993	824	218	232	364	485
ANKRD36	5387	8113	4886	4703	109	80	70	77
ANKRD36B	3630	5575	3208	3076	83	46	40	65
ANKRD36C	1254	2092	1139	1102	6	11	4	4
ANKRD39	105	144	76	78	80	84	96	155
ANKRD40	977	1340	632	568	181	184	213	319
ANKRD42	87	123	47	39	22	42	48	48
ANKRD44	153	244	97	100	49	43	66	71
ANKRD46	193	267	132	113	135	161	213	331
ANKRD49	247	406	168	156	31	27	28	52
ANKRD50	1315	2045	1098	976	200	230	284	361
ANKRD52	1196	2395	1655	1324	741	773	1027	1493
ANKRD54	220	270	142	123	110	124	162	251
ANKRD6	177	280	150	129	48	28	56	58
ANKS1A	594	932	484	384	294	297	356	536
ANKS1B	47	77	38	32	17	15	25	24
ANKS3	287	376	193	204	45	47	59	120
ANKS6	557	790	437	400	92	81	106	146
ANKZF1	504	710	393	352	147	147	209	330
ANLN	5434	7404	3295	2868	1141	1454	1654	2221
ANO10	871	1313	687	613	146	173	221	278
ANO5	657	990	486	475	219	227	255	350
ANO6	888	1378	585	532	298	360	425	542
ANO8	75	129	73	61	33	45	47	57
ANP32A	4115	4820	2543	2613	1693	1864	2586	3279
ANP32B	1117	1974	1525	1437	1305	1407	1590	2483
ANP32C	140	174	62	58	404	493	639	704
ANP32E	1999	2055	1304	1564	1166	1296	1495	2295
ANTXR1	368	691	375	333	189	200	238	362
ANTXR2	118	130	90	79	82	89	132	194
ANXA1	95	137	47	63	391	428	532	877
ANXA11	1166	1611	799	715	962	999	1353	1767
ANXA2	1937	2832	1188	1179	2536	3083	3955	5052
ANXA4	201	308	141	122	136	150	207	302
ANXA5	4709	6614	2983	2859	1777	1774	2306	3244
ANXA6	2823	4138	1872	1652	1311	1462	1900	2408
ANXA7	2389	3315	1509	1265	1189	1358	1693	2229
AOC2	91	183	87	67	2	4	2	3
AP1AR	692	1000	471	472	52	60	94	98
AP1B1	2766	4305	2085	1875	1843	1908	2480	3412
AP1G1	2172	3413	1854	1527	869	1007	1169	1599
AP1G2	487	692	387	332	92	98	127	143
AP1M1	829	1246	484	393	799	825	1108	1612
AP1S1	448	588	327	327	416	412	583	781
AP1S2	512	811	425	398	359	365	520	597
AP1S3	131	181	78	65	77	84	134	173
AP2A1	1110	1775	983	770	518	535	690	1014
AP2A2	994	1557	770	658	561	692	828	1132
AP2B1	2179	3468	2084	1763	1760	1967	2227	3068
AP2M1	4908	6718	2880	2753	1473	1512	2054	2827
AP2S1	1878	2672	1100	1046	755	746	1157	1531
AP3B1	2464	3649	1831	1798	877	978	1154	1533
AP3B2	45	60	41	45	11	17	19	38
AP3D1	2463	4044	2135	1873	1250	1299	1760	2549
AP3M1	1319	1898	891	776	910	1050	1298	1684
AP3M2	579	859	446	407	185	228	254	354
AP3S1	1167	1494	733	657	590	714	789	994
AP4B1	673	1034	522	512	170	157	237	336
AP4E1	755	1060	596	532	171	182	215	297
AP4M1	135	181	77	76	84	91	87	171
AP4S1	60	77	33	33	18	12	31	33
AP5B1	352	473	287	250	103	131	126	197
AP5M1	974	1378	584	530	115	119	158	218
AP5S1	161	211	117	88	95	93	110	164
AP5Z1	302	478	234	204	73	71	74	158
APAF1	920	1340	746	708	417	420	541	669
APBA2	582	815	443	365	129	132	175	285
APBA3	163	290	138	134	29	54	69	74
APBB1	1099	1510	722	621	304	330	423	599
APBB2	191	340	142	135	84	109	127	154
APBB3	130	170	70	68	27	16	33	52
APC	3458	5203	2653	2267	456	495	532	718
APEH	2656	3797	1754	1539	617	609	883	1116
APEX1	2317	3247	1648	1653	1190	1296	1557	2596
APEX2	738	1121	488	465	159	172	238	334
APH1A	1332	1835	668	525	432	405	490	736
API5	4173	5700	2693	2688	1433	1555	1868	2519
APIP	1132	1583	802	786	273	318	403	495
APLF	105	143	66	64	8	13	9	20
APLP1	56	92	56	50	252	277	344	454
APLP2	7235	10063	5054	4838	3257	3141	4012	5241
APMAP	1371	1828	853	728	483	487	438	845
APOA1BP	2135	2936	1309	1112	894	940	1224	1667
APOBEC3C	66	77	24	20	255	341	391	516
APOC1	137	173	59	68	54	58	80	95
APOL2	180	291	161	118	158	155	236	334
APOO	368	482	253	190	290	308	449	514
APOOL	301	504	267	223	169	199	259	289
APP	4375	6174	3399	3528	4045	4187	5042	6988
APPBP2	1174	1619	814	706	428	439	594	829
APPL1	2837	3946	1862	1565	665	755	871	1042
APPL2	545	759	424	384	244	222	273	347
APRT	1919	2775	1282	1087	1016	982	1297	2069
APTX	860	1158	570	596	189	240	272	428
AQR	2740	4144	1706	1513	732	813	964	1308
ARAF	584	840	412	365	172	195	276	370
ARAP1	741	1133	727	635	262	239	338	408
ARAP2	469	662	356	358	65	73	106	147
ARCN1	2863	4395	2242	2207	1683	1839	2273	3015
AREL1	894	1324	530	489	83	86	104	154
ARF1	4168	6006	2183	1904	2273	2609	3341	4774
ARF3	734	1069	521	436	589	654	844	1313
ARF4	1607	2385	1031	975	725	880	1095	1513
ARF5	1323	1835	872	847	1006	1133	1540	1939
ARF6	536	678	284	255	266	317	427	661
ARFGAP1	624	978	438	372	320	320	409	743
ARFGAP2	1080	1593	763	711	337	338	379	656
ARFGAP3	604	900	382	354	327	394	498	673
ARFGEF1	2307	3586	1761	1575	380	444	528	646
ARFGEF2	2736	4009	2030	1693	393	437	511	711
ARFIP1	438	576	296	263	240	232	381	427
ARFIP2	1391	1939	858	784	295	322	400	548
ARFRP1	202	285	156	154	92	94	135	216
ARG2	458	649	262	242	280	336	478	579
ARGLU1	1024	1290	669	788	258	272	358	481
ARHGAP1	210	382	246	196	245	252	327	492
ARHGAP10	641	1045	476	427	152	138	186	256
ARHGAP11A	2851	4019	2394	2230	541	639	798	928
ARHGAP11B	516	761	533	528	147	139	169	199
ARHGAP12	666	993	473	407	161	185	291	314
ARHGAP17	429	796	591	422	438	488	669	1054
ARHGAP18	337	534	286	263	98	117	159	183
ARHGAP19	963	1294	676	596	241	305	360	476
ARHGAP20	74	113	60	59	23	51	57	90
ARHGAP21	3137	4564	2211	1923	354	416	445	481
ARHGAP22	219	312	171	140	34	51	61	106
ARHGAP24	60	98	50	51	21	20	15	34
ARHGAP26	213	314	191	172	93	85	143	167
ARHGAP27	54	88	29	33	33	35	28	57
ARHGAP28	67	94	44	35	53	50	63	100
ARHGAP29	622	969	453	360	109	141	215	242
ARHGAP31	102	176	88	69	40	43	38	49
ARHGAP32	502	759	396	329	100	91	102	130
ARHGAP33	35	79	36	38	26	41	26	74
ARHGAP35	2108	3504	1990	1680	274	332	386	501
ARHGAP39	176	319	168	129	75	82	101	149
ARHGAP42	184	270	133	91	42	63	63	81
ARHGAP44	162	228	136	120	29	38	61	55
ARHGAP5	5649	8359	4130	3658	343	397	503	661
ARHGDIA	653	1296	768	744	1235	1385	1807	2620
ARHGDIG	75	108	65	65	23	37	32	45
ARHGEF1	433	698	335	284	304	363	431	625
ARHGEF10	461	640	376	368	135	156	157	226
ARHGEF10L	99	170	76	56	34	19	34	62
ARHGEF11	1101	1814	886	781	200	201	206	278
ARHGEF12	5201	7735	3924	3264	414	418	529	704
