	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
YPEL5	100	157	67	66	73	94	113	143
YRDC	687	1048	480	410	528	511	641	1007
YTHDC1	2507	3282	1606	1513	565	640	745	1055
YTHDC2	3571	5247	2740	2548	1287	1413	1558	2069
YTHDF1	1011	1369	727	612	384	440	569	747
YTHDF2	4774	6922	3070	2546	1601	1970	2241	3067
YTHDF3	1453	2154	1030	866	296	396	478	735
YWHAB	2284	3471	1762	1547	2984	3560	4523	6390
YWHAE	9674	14956	8242	7678	12831	14334	17683	25556
YWHAG	1635	2445	1294	1326	869	1079	1403	2041
YWHAH	1768	2363	1227	1069	608	600	874	1415
YWHAQ	3843	5649	2581	2574	2292	2603	3154	4663
YWHAZ	6136	8855	4700	4269	4087	4879	6151	8467
YY1	1458	2190	1074	1015	929	1011	1294	1803
YY2	83	129	90	61	25	19	32	58
ZADH2	373	559	297	251	250	329	433	525
ZAK	927	1315	650	550	213	220	276	436
ZBBX	41	58	30	44	5	8	8	5
ZBED1	984	1388	750	654	160	212	232	340
ZBED4	744	1151	672	632	155	142	181	268
ZBED5	1864	2897	1353	1292	214	261	265	401
ZBED6	1088	1721	958	881	16	13	29	45
ZBED6CL	80	98	51	54	3	1	1	1
ZBTB1	1096	1586	726	681	132	190	143	205
ZBTB10	2173	3189	1646	1484	287	328	365	583
ZBTB11	2310	3767	1916	1736	325	409	494	686
ZBTB12	146	192	126	121	141	141	202	377
ZBTB14	230	333	180	195	76	71	102	135
ZBTB17	356	449	215	192	59	58	76	125
ZBTB18	728	1092	667	588	88	86	112	159
ZBTB2	494	760	331	258	73	114	96	157
ZBTB21	540	861	447	435	222	302	364	550
ZBTB22	202	260	131	126	28	19	30	32
ZBTB24	953	1353	635	503	180	213	259	291
ZBTB25	116	161	78	77	43	60	57	88
ZBTB26	193	274	144	141	27	51	37	57
ZBTB3	188	263	112	106	62	61	70	112
ZBTB33	1661	2334	1088	896	683	840	1045	1385
ZBTB34	234	375	185	215	59	60	100	153
ZBTB37	275	401	210	171	32	24	35	45
ZBTB38	524	779	399	321	91	106	135	168
ZBTB39	431	614	352	310	79	88	119	171
ZBTB4	114	184	95	86	38	35	49	73
ZBTB40	1289	1836	1002	926	199	202	250	482
ZBTB41	651	918	494	477	37	52	68	81
ZBTB43	327	481	220	196	54	54	64	99
ZBTB44	787	1206	664	549	111	103	164	180
ZBTB45	62	98	66	46	58	70	79	126
ZBTB46	114	141	60	64	13	26	26	35
ZBTB47	231	351	173	173	25	25	30	37
ZBTB48	410	618	309	320	132	147	137	270
ZBTB49	158	261	106	107	15	19	16	37
ZBTB5	332	626	341	298	91	110	107	162
ZBTB6	455	652	283	271	96	129	153	188
ZBTB7A	103	183	132	87	99	106	120	203
ZBTB7B	94	117	84	68	33	40	54	88
ZBTB8A	284	403	198	177	57	68	100	124
ZBTB8B	56	85	42	56	13	23	29	34
ZBTB8OS	699	952	417	396	168	195	288	307
ZBTB9	206	347	175	163	90	94	114	179
ZC2HC1A	97	149	69	76	41	47	76	81
ZC3H10	120	172	106	92	54	43	88	97
ZC3H11A	3442	5117	2522	2237	355	365	436	630
ZC3H12A	52	89	57	38	31	17	34	48
ZC3H12B	52	71	29	32	7	2	6	7
ZC3H12C	299	483	233	178	63	87	78	107
ZC3H13	2717	3438	2054	1916	874	1032	1094	1622
ZC3H14	3535	5129	2365	2141	615	762	901	1176
ZC3H15	4559	6112	3259	3469	924	997	1147	1652
ZC3H18	685	1059	670	601	392	470	573	971
ZC3H3	219	399	220	166	140	173	226	332
ZC3H4	633	1165	783	744	279	313	443	666
ZC3H6	151	239	91	92	14	30	54	37
ZC3H7A	1799	2913	1795	1736	242	293	361	437
ZC3H7B	1559	2318	1056	887	287	276	434	637
ZC3H8	459	627	325	298	135	143	185	230
ZC3HAV1	1450	2164	1167	948	641	732	892	1242
