	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
NBPF14	1689	2306	2787	2440
NBPF15	968	1301	1671	1546
NBPF16	944	1271	1612	1497
NBPF24	3035	4149	5041	4446
NBPF3	370	465	471	470
NBPF7	54	76	121	115
NBR1	920	1221	1220	1139
NCAM1	131	172	196	190
NCAPD2	3005	4081	4630	4269
NCAPD3	2921	3659	4017	3465
NCAPG	3119	3972	4149	3967
NCAPG2	1817	2247	3081	2716
NCAPH	1261	1659	1692	1533
NCAPH2	1067	1197	1303	1158
NCBP1	1670	1971	2210	2102
NCBP2	241	283	283	273
NCDN	320	426	528	466
NCEH1	67	67	73	65
NCK1	305	413	442	427
NCK2	158	151	198	181
NCKAP1	3315	4182	4831	4538
NCKAP5L	214	309	308	263
NCKIPSD	478	592	674	555
NCL	16352	22941	22971	25444
NCLN	654	809	897	839
NCOA1	458	599	661	507
NCOA2	929	1142	1323	1129
NCOA3	477	608	730	584
NCOA4	2225	2691	2773	2391
NCOA5	462	600	697	661
NCOA6	352	487	793	648
NCOA7	218	267	364	286
NCOR1	2302	2925	3525	3103
NCOR2	216	273	666	500
NCR3LG1	286	350	402	330
NCS1	139	198	241	221
NCSTN	478	612	902	713
NDC1	1549	1949	1787	1471
NDC80	770	1024	1173	1080
NDE1	247	319	384	329
NDEL1	300	356	406	390
NDFIP1	378	490	606	556
NDFIP2	329	423	460	417
NDNF	37	47	43	31
NDNL2	202	235	228	215
NDOR1	147	179	185	183
NDRG1	259	306	290	290
NDRG2	79	89	90	76
NDRG3	308	379	381	310
NDRG4	34	31	40	33
NDST1	312	429	613	489
NDST2	209	265	326	274
NDUFA1	1313	1771	2076	2140
NDUFA10	1068	1290	1406	1324
NDUFA11	738	924	736	645
NDUFA12	615	834	938	874
NDUFA2	211	309	267	210
NDUFA3	283	360	350	268
NDUFA4	911	1196	1182	1065
NDUFA5	292	444	449	408
NDUFA6	318	426	538	518
NDUFA7	225	264	325	311
NDUFA8	506	690	596	616
NDUFA9	1486	1768	1775	1721
NDUFAB1	821	956	979	812
NDUFAF1	201	240	294	274
NDUFAF2	419	544	494	415
NDUFAF3	540	670	772	672
NDUFAF4	522	744	693	675
NDUFAF5	237	286	337	298
NDUFAF6	198	246	291	235
NDUFAF7	233	302	376	392
NDUFB1	440	596	762	659
NDUFB10	1559	2058	1830	1668
NDUFB11	548	697	812	825
NDUFB2	537	654	751	688
NDUFB3	551	723	811	789
NDUFB4	683	945	773	579
