	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
MYSM1	86	94	125	191
MZF1	12	17	28	39
MZT1	344	346	368	456
MZT2A	493	532	609	1121
MZT2B	592	667	767	1504
N4BP1	159	162	237	302
N4BP2	192	203	253	336
N4BP2L2	96	111	155	185
N6AMT1	54	59	83	113
N6AMT2	101	88	128	149
NAA10	1339	1348	1729	2644
NAA15	2161	2664	3072	3991
NAA16	251	312	389	521
NAA20	310	397	451	674
NAA25	935	1024	1264	1630
NAA30	111	122	131	219
NAA35	551	684	725	977
NAA38	417	423	476	772
NAA40	119	136	171	252
NAA50	693	821	1151	1318
NAA60	67	59	108	144
NAAA	95	88	114	160
NAALAD2	25	37	39	29
NAB1	101	112	128	171
NAB2	56	97	100	178
NABP1	36	62	70	106
NABP2	394	386	481	699
NACA	6574	8092	10341	12456
NACA2	1198	1325	1798	2036
NACC1	413	448	601	911
NACC2	162	181	196	268
NADK	203	221	248	328
NADKD1	216	241	318	427
NADSYN1	165	138	169	250
NAE1	1609	1815	2198	2551
NAF1	329	360	471	660
NAGA	193	182	199	291
NAGK	157	183	231	409
NAGLU	132	121	176	239
NAGPA	52	55	54	86
NAIF1	51	42	60	84
NAIP	21	7	9	8
NAMPT	1087	1325	1638	1980
NANP	49	60	103	101
NANS	512	599	726	1023
NAP1L1	5102	5391	5747	9474
NAP1L2	18	41	48	69
NAP1L3	40	44	80	81
NAP1L4	1119	1388	1680	2381
NAPA	448	512	746	940
NAPB	35	32	45	69
NAPEPLD	34	40	55	72
NAPG	301	349	418	509
NAPRT1	48	60	96	112
NARF	113	124	157	242
NARFL	127	154	182	271
NARG2	289	338	445	499
NARR	108	140	163	237
NARS	1506	1649	2016	3008
NARS2	147	176	214	315
NASP	2895	3496	3946	6113
NAT1	37	42	49	75
NAT10	787	815	1015	1558
NAT14	36	27	49	60
NAT8L	123	126	197	273
NAT9	129	133	166	278
NAV1	122	130	145	232
NAV2	77	77	88	102
NBAS	431	487	474	747
NBEA	254	325	364	453
NBEAL1	165	185	239	293
NBEAL2	166	117	146	182
NBL1	122	144	154	278
NBN	348	437	547	660
NBPF1	223	115	198	257
NBPF14	170	105	133	141
NBPF15	104	64	100	83
NBPF16	105	62	96	83
NBPF24	303	177	276	265
NBPF3	69	45	66	98
NBPF7	21	10	12	17
NBR1	592	638	782	1022
NCAM1	312	393	329	552
NCAPD2	2853	3111	3656	5401
NCAPD3	1358	1499	1797	2369
NCAPG	1681	1985	2175	2892
NCAPG2	1193	1382	1745	2187
NCAPH	784	966	1099	1453
NCAPH2	410	461	548	904
NCBP1	1102	1235	1522	2140
NCBP2	329	369	460	644
NCDN	498	526	669	1066
NCEH1	58	75	72	120
NCK1	96	143	196	252
NCK2	64	71	97	137
NCKAP1	1647	1851	2238	2775
NCKAP5L	170	203	298	471
NCKIPSD	125	154	193	283
NCL	15387	16541	18871	28198
NCLN	505	541	687	1076
NCOA1	179	258	246	326
NCOA2	221	253	324	360
NCOA3	249	365	419	501
NCOA4	1588	1739	1879	2916
NCOA5	372	363	416	868
NCOA6	182	196	276	357
NCOA7	211	218	273	340
NCOR1	507	543	698	864
NCOR2	467	494	611	799
NCR3LG1	206	208	251	369
