	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
AEN	274	196	376	667
AES	258	216	674	965
AFAP1	51	32	102	137
AFAP1L1	25	20	74	83
AFF1	216	169	419	530
AFF3	60	51	136	180
AFF4	692	489	1470	1778
AFG3L2	473	344	897	1259
AFMID	74	46	122	167
AFTPH	83	59	209	309
AGA	86	45	196	254
AGAP1	52	35	153	248
AGAP11	9	6	15	17
AGAP3	132	124	337	552
AGAP4	41	17	38	31
AGAP5	36	22	48	50
AGAP6	41	15	38	37
AGAP7	38	15	37	32
AGAP8	62	29	67	63
AGAP9	90	42	96	82
AGBL3	10	2	11	16
AGBL5	58	43	167	223
AGFG1	617	414	1006	1394
AGFG2	56	37	76	130
AGGF1	162	125	256	345
AGK	371	310	705	1133
AGL	644	447	1157	1508
AGMAT	1	0	1	1
AGO1	185	130	400	561
AGO2	187	172	504	679
AGO3	95	54	193	237
AGO4	34	25	67	92
AGPAT1	138	89	367	531
AGPAT2	179	113	329	475
AGPAT3	106	71	260	396
AGPAT4	69	58	133	181
AGPAT5	113	83	265	387
AGPAT6	186	115	265	472
AGPAT9	99	63	228	362
AGPHD1	34	18	73	88
AGPS	689	536	1354	1800
AGRN	375	188	654	1262
AGTPBP1	245	186	547	730
AGTRAP	109	96	236	382
AGXT2L2	18	23	57	54
AHCTF1	426	311	759	1003
AHCY	1011	728	2235	3680
AHCYL1	567	417	1147	1427
AHCYL2	124	82	220	297
AHDC1	55	45	115	190
AHI1	103	81	226	262
AHNAK	710	412	1133	1375
AHNAK2	83	28	141	102
AHR	212	192	470	590
AHRR	10	1	7	17
AHSA1	803	575	1518	2170
AHSA2	1	0	0	2
AIDA	66	62	182	240
AIF1L	178	141	361	457
AIFM1	868	568	1479	2068
AIFM2	209	141	373	515
AIG1	205	123	357	554
AIMP1	311	271	609	916
AIMP2	499	361	968	1503
AIP	307	199	561	818
AJUBA	24	14	31	71
AK000470	0	0	0	0
AK055601	36	23	67	67
AK097143	26	12	28	17
AK1	135	124	240	460
AK2	1152	832	2077	3191
AK293147	9	5	2	8
AK296947	39	27	42	66
AK3	133	131	402	428
AK302092	4	4	2	8
AK302511	9	5	20	12
AK304826	58	11	62	33
AK308309	29	26	75	80
AK310228	45	7	40	16
AK310526	3	2	4	6
AK4	227	190	517	683
AK9	18	16	41	58
AKAP1	246	170	363	615
AKAP10	80	61	180	213
AKAP11	515	389	954	1404
AKAP12	693	501	1464	1721
AKAP13	274	197	453	613
AKAP17A	190	144	290	522
AKAP5	13	11	39	52
AKAP6	12	13	20	26
AKAP7	21	25	54	56
AKAP8	277	197	375	614
AKAP8L	410	320	606	921
AKAP9	415	346	842	1068
AKIP1	93	69	158	199
AKIRIN1	344	252	740	991
AKIRIN2	332	295	507	769
AKNA	19	10	37	33
AKR1A1	299	208	498	896
AKR1B1	1236	880	2418	3415
AKR7A2	397	278	739	1168
AKR7A3	50	27	85	132
AKT1	184	106	358	584
AKT1S1	82	56	172	248
AKT2	337	204	704	1106
AKT3	53	41	148	190
AKTIP	51	36	133	170
ALAD	40	29	77	116
ALAS1	291	175	505	677
ALCAM	257	133	455	603
ALDH16A1	144	82	220	420
ALDH18A1	970	677	1255	2012
ALDH1A2	561	387	1237	1751
ALDH1B1	284	184	534	742
ALDH1L2	116	78	229	271
ALDH2	474	376	1112	1439
ALDH3A2	387	228	706	995
ALDH4A1	94	65	226	315
ALDH5A1	260	167	444	654
ALDH6A1	203	125	358	461
ALDH7A1	756	555	1536	2008
ALDH9A1	896	598	1599	2228
ALDOA	6876	4678	13731	20825
ALDOC	74	61	259	280
ALG1	154	107	285	480
ALG10	328	213	630	905
ALG10B	280	215	575	824
ALG12	108	71	158	279
ALG13	340	236	533	687
ALG14	58	45	110	119
ALG1L	20	10	37	73
ALG2	107	77	174	259
ALG3	291	164	529	836
ALG5	298	185	498	762
ALG6	163	116	357	554
ALG8	550	309	876	1286
ALG9	105	59	155	298
ALKBH1	105	79	188	257
ALKBH2	70	63	151	224
ALKBH3	70	32	149	169
ALKBH4	95	57	141	263
ALKBH5	177	105	321	550
ALKBH6	229	153	325	419
ALKBH7	58	49	163	239
ALKBH8	55	44	107	135
ALMS1	329	253	574	680
ALPK1	24	23	42	49
ALS2	136	91	234	300
ALS2CR8	0	2	5	2
ALX1	113	66	139	162
ALX4	15	13	34	51
ALYREF	1581	1103	3267	4511
AMACR	64	59	135	172
AMBRA1	218	160	377	501
AMD1	372	279	647	829
AMDHD2	60	46	95	140
AMER1	39	22	56	110
AMFR	314	198	680	900
AMH	8	7	22	39
AMIGO1	11	6	18	17
AMIGO3	0	0	2	0
AMMECR1	72	70	125	226
AMMECR1L	54	46	94	140
AMN1	34	31	91	75
AMOT	63	58	112	129
AMOTL1	306	201	604	875
AMOTL2	81	62	134	249
AMPD2	201	139	376	507
AMPH	52	26	80	119
AMY2B	0	0	1	0
AMZ2	133	81	315	390
ANAPC1	832	610	1534	1837
ANAPC10	134	86	226	288
ANAPC11	199	157	443	635
ANAPC13	77	52	133	192
ANAPC15	52	28	104	142
ANAPC16	154	119	274	442
ANAPC2	235	155	341	607
ANAPC4	201	175	478	579
ANAPC5	1127	758	2049	2428
ANAPC7	1007	761	1550	2434
ANGEL1	135	86	194	278
ANGEL2	158	112	222	321
ANK1	27	17	53	92
ANK2	177	135	351	438
ANK3	162	90	226	284
ANKAR	0	0	1	0
ANKEF1	38	29	76	85
ANKFY1	536	425	973	1339
ANKH	56	48	129	164
ANKHD1-EIF4EBP3	1457	997	2391	3135
ANKIB1	53	48	151	173
ANKLE2	379	262	829	1134
ANKMY1	13	6	10	6
ANKMY2	138	95	276	314
ANKRA2	26	29	63	67
ANKRD10	48	36	114	146
ANKRD11	223	163	404	606
ANKRD12	69	53	121	160
ANKRD13A	148	100	316	425
ANKRD13B	51	40	148	212
ANKRD13C	110	93	179	256
ANKRD13D	17	8	30	41
ANKRD16	29	22	46	84
ANKRD17	1273	903	1854	2460
ANKRD18A	57	50	71	77
ANKRD18B	10	9	16	16
ANKRD20A3	77	61	147	168
ANKRD20A4	28	22	49	56
ANKRD23	6	2	0	3
ANKRD26	189	138	406	475
ANKRD27	183	96	421	554
ANKRD28	353	228	588	751
ANKRD31	10	7	18	16
ANKRD32	185	148	364	485
ANKRD36	36	33	70	77
ANKRD36B	30	19	40	65
ANKRD36C	10	1	4	4
ANKRD39	66	28	96	155
ANKRD40	127	91	213	319
ANKRD42	19	10	48	48
ANKRD44	28	19	66	71
ANKRD46	103	87	213	331
ANKRD49	23	23	28	52
ANKRD50	163	118	284	361
ANKRD52	552	376	1027	1493
ANKRD54	109	60	162	251
ANKRD6	34	17	56	58
ANKS1A	235	166	356	536
ANKS1B	5	3	25	24
ANKS3	32	24	59	120
ANKS6	53	32	106	146
ANKZF1	124	112	209	330
ANLN	1073	843	1654	2221
ANO10	91	67	221	278
ANO5	166	132	255	350
ANO6	192	144	425	542
ANO8	18	24	47	57
ANP32A	1268	917	2586	3279
ANP32B	819	596	1590	2483
ANP32C	269	219	639	704
ANP32E	805	627	1495	2295
ANTXR1	128	74	238	362
ANTXR2	64	44	132	194
ANXA1	347	295	532	877
ANXA11	575	423	1353	1767
ANXA2	1960	1468	3955	5052
ANXA4	110	63	207	302
ANXA5	1259	841	2306	3244
ANXA6	901	607	1900	2408
ANXA7	953	706	1693	2229
AOC2	2	1	2	3
AP1AR	55	32	94	98
AP1B1	1243	886	2480	3412
AP1G1	762	572	1169	1599
AP1G2	77	53	127	143
AP1M1	537	404	1108	1612
AP1S1	301	184	583	781
AP1S2	261	178	520	597
AP1S3	50	33	134	173
AP2A1	308	204	690	1014
AP2A2	363	259	828	1132
AP2B1	1122	824	2227	3068
AP2M1	923	633	2054	2827
AP2S1	538	373	1157	1531
AP3B1	537	374	1154	1533
AP3B2	26	10	19	38
AP3D1	854	605	1760	2549
AP3M1	646	488	1298	1684
AP3M2	145	100	254	354
AP3S1	319	265	789	994
AP4B1	151	99	237	336
AP4E1	122	109	215	297
AP4M1	58	44	87	171
AP4S1	9	9	31	33
AP5B1	58	55	126	197
AP5M1	107	84	158	218
AP5S1	72	45	110	164
AP5Z1	56	38	74	158
