	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
1-Mar	123	191	254	337
10-Sep	269	344	478	598
11-Sep	860	1078	1539	2071
14-Sep	6	2	6	5
15-Sep	366	451	681	1055
2-Mar	57	70	120	144
2-Sep	2210	2981	3823	5661
3-Mar	26	28	37	48
3-Sep	46	65	90	112
5-Mar	319	421	608	753
6-Mar	824	1204	1577	2398
6-Sep	294	336	580	707
7-Mar	564	696	1069	1179
7-Sep	827	1036	1535	2052
8-Mar	19	28	27	58
8-Sep	306	435	552	839
9-Mar	21	28	52	86
9-Sep	303	387	612	713
AAAS	505	716	939	1456
AACS	217	306	396	575
AADAT	38	52	71	92
AAED1	52	100	129	133
AAGAB	391	482	633	954
AAK1	107	138	191	287
AAMDC	65	65	60	133
AAMP	1226	1609	2238	3437
AAR2	219	312	303	510
AARS	1159	1623	2370	3314
AARS2	143	207	266	461
AASDH	59	80	144	163
AASDHPPT	619	841	1088	1485
AASS	181	279	261	449
AATF	510	638	839	1200
ABCA1	2	1	2	2
ABCA10	3	3	5	5
ABCA2	84	141	176	222
ABCA3	159	234	295	411
ABCA5	89	92	147	205
ABCA7	26	54	72	86
ABCB1	349	467	663	823
ABCB10	134	169	239	391
ABCB6	90	139	174	240
ABCB7	423	557	816	1005
ABCB8	109	169	204	345
ABCB9	39	45	53	104
ABCC1	340	432	542	817
ABCC10	97	125	181	263
ABCC2	1	3	2	3
ABCC4	312	369	500	684
ABCC5	172	192	215	388
ABCC8	1	6	7	10
ABCD1	20	34	42	48
ABCD3	872	1102	1486	2097
ABCD4	48	67	97	143
ABCE1	1811	2098	3076	3950
ABCF1	938	1258	1645	2317
ABCF2	810	978	1278	2007
ABCF3	176	204	310	437
ABCG2	39	33	92	92
ABHD10	260	364	527	676
ABHD12	79	115	187	228
ABHD13	49	64	88	109
ABHD14A	18	15	23	43
ABHD14B	31	52	63	106
ABHD15	13	15	24	26
ABHD16A	94	143	166	235
ABHD17A	37	56	58	81
ABHD17B	121	162	196	287
ABHD17C	52	71	95	166
ABHD2	162	268	333	494
ABHD3	130	193	244	340
ABHD4	36	68	65	111
ABHD5	53	80	124	143
ABHD6	37	33	60	110
ABI1	299	338	522	653
ABI2	151	202	299	374
ABL1	175	239	322	496
ABL2	112	112	188	209
ABLIM1	148	213	306	385
ABR	323	436	594	790
ABRACL	235	323	390	541
ABT1	225	311	389	606
ABTB2	57	75	139	144
ACAA1	193	232	311	452
ACAA2	923	1194	1655	2070
ACACA	693	885	1118	1662
ACACB	28	30	44	55
ACAD10	50	102	97	165
ACAD8	60	68	89	136
ACAD9	339	459	644	811
ACADL	96	123	138	201
ACADM	658	811	1298	1530
ACADS	75	120	192	217
ACADSB	385	496	738	915
ACADVL	269	386	507	633
ACAP2	277	318	508	549
ACAP3	53	105	88	164
ACAT1	1048	1368	2087	2589
ACAT2	1032	1202	1712	2279
ACBD3	437	572	781	1071
ACBD5	178	299	382	580
ACBD6	157	212	303	386
ACCS	2	4	11	11
ACD	133	199	241	418
ACER3	48	66	90	109
ACIN1	994	1321	1722	2433
ACLY	2689	3694	5074	6869
ACN9	157	224	385	423
ACO1	430	511	677	989
ACO2	374	590	647	1098
ACOT13	145	176	362	339
ACOT2	178	251	369	527
ACOT7	977	1325	1813	2698
ACOT8	95	112	193	258
ACOT9	284	373	492	652
ACOX1	413	565	751	1073
ACOX3	36	63	65	124
ACP1	509	648	984	1274
ACP2	112	133	186	294
ACP6	69	91	116	154
ACPL2	16	37	47	70
ACRC	1	1	2	2
ACSF2	55	79	127	142
ACSF3	108	156	182	292
ACSL1	308	386	555	709
ACSL3	1198	1511	2024	2800
ACSL4	660	870	1312	1646
ACSL6	6	15	10	20
ACSM3	16	20	46	43
ACSS1	106	150	203	300
ACSS2	39	79	102	161
ACSS3	63	86	126	164
ACTA1	907	1121	1581	2347
ACTA2	253	346	400	677
ACTB	23051	32775	42689	60640
ACTG1	15531	21889	26490	40920
ACTL6A	732	901	1245	1765
ACTN1	891	1261	1703	2432
ACTN2	27	37	48	57
ACTN4	3949	5519	7178	10630
ACTR10	537	619	872	1126
ACTR1A	960	1353	1836	2629
ACTR1B	92	130	135	202
ACTR2	1528	2027	2898	3915
ACTR3	1210	1512	2106	2804
ACTR3B	67	70	113	161
ACTR3C	30	25	33	62
ACTR5	52	100	131	208
ACTR6	470	583	929	1080
ACTR8	246	342	475	619
ACTRT3	13	14	24	14
ACVR1	57	79	109	128
ACVR1B	136	194	210	400
ACVR2A	82	122	151	233
ACVR2B	18	62	67	96
ACY1	83	124	151	252
ACYP1	46	70	92	108
ADA	86	89	183	208
ADAL	29	34	69	58
ADAM10	289	418	569	693
ADAM11	27	52	67	100
ADAM15	189	259	351	508
ADAM17	109	148	168	277
ADAM19	13	13	22	40
ADAM22	32	52	71	78
ADAM23	55	82	118	169
ADAM9	255	357	516	690
ADAMTS1	1642	2215	3128	4677
ADAMTS13	5	4	5	2
ADAMTS17	8	13	19	45
ADAMTS19	53	72	83	125
ADAMTS20	15	34	24	39
ADAMTS3	53	68	86	115
ADAMTS6	2	2	5	5
ADAMTS7	8	10	12	21
ADAMTS9	12	10	24	24
ADAP1	5	6	6	18
ADAP2	16	29	22	35
ADAR	1360	1783	2685	3585
ADARB1	32	45	69	131
ADAT1	44	54	83	102
ADAT2	21	46	74	84
ADAT3	18	28	34	68
ADC	5	9	8	9
ADCK1	47	62	73	113
ADCK2	148	215	340	492
ADCK3	307	445	606	873
ADCK4	88	121	188	258
ADCK5	6	6	12	19
ADCY1	9	9	25	16
ADCY3	158	237	317	453
ADCY6	149	214	270	407
ADCY9	117	152	200	252
ADD1	613	845	1116	1600
ADD2	84	125	213	320
ADD3	554	815	1110	1477
ADH5	787	985	1328	2152
ADI1	220	343	397	631
ADIPOR1	173	230	308	466
ADIPOR2	251	361	476	713
ADK	434	500	802	998
ADM	34	61	62	114
ADNP	780	987	1392	1910
ADNP2	244	279	416	554
ADO	69	113	133	206
ADORA2A	4	4	14	5
ADORA2B	35	36	67	71
ADPGK	185	266	361	527
ADPRHL1	10	9	11	18
ADPRHL2	183	318	313	498
ADPRM	22	24	25	50
ADRA2C	6	7	4	7
ADRBK1	134	147	247	319
ADRBK2	24	33	70	78
ADRM1	1072	1540	1791	3178
ADSL	1121	1552	2139	2700
ADSS	559	662	935	1405
AEBP2	249	300	363	562
AEN	276	346	376	667
AES	366	556	674	965
AFAP1	48	67	102	137
AFAP1L1	32	38	74	83
AFF1	233	293	419	530
AFF3	58	122	136	180
AFF4	791	960	1470	1778
AFG3L2	494	612	897	1259
AFMID	67	84	122	167
AFTPH	111	132	209	309
AGA	95	161	196	254
AGAP1	71	131	153	248
AGAP11	6	8	15	17
AGAP3	144	249	337	552
AGAP4	29	16	38	31
AGAP5	42	22	48	50
AGAP6	31	17	38	37
AGAP7	26	14	37	32
AGAP8	51	28	67	63
AGAP9	80	40	96	82
AGBL3	1	13	11	16
AGBL5	79	101	167	223
AGFG1	570	789	1006	1394
AGFG2	49	67	76	130
AGGF1	140	176	256	345
AGK	413	627	705	1133
AGL	605	787	1157	1508
AGMAT	0	2	1	1
AGO1	206	269	400	561
AGO2	278	389	504	679
AGO3	104	127	193	237
AGO4	31	44	67	92
AGPAT1	198	269	367	531
AGPAT2	183	270	329	475
AGPAT3	131	151	260	396
AGPAT4	79	81	133	181
AGPAT5	131	183	265	387
AGPAT6	178	191	265	472
AGPAT9	126	177	228	362
AGPHD1	39	49	73	88
AGPS	726	959	1354	1800
AGRN	416	606	654	1262
AGTPBP1	304	411	547	730
AGTRAP	139	191	236	382
AGXT2L2	26	34	57	54
AHCTF1	458	531	759	1003
AHCY	1342	1894	2235	3680
AHCYL1	612	792	1147	1427
AHCYL2	122	163	220	297
AHDC1	67	61	115	190
AHI1	116	131	226	262
AHNAK	563	961	1133	1375
AHNAK2	54	100	141	102
AHR	243	314	470	590
AHRR	6	6	7	17
AHSA1	806	1045	1518	2170
AHSA2	3	3	0	2
AIDA	93	139	182	240
AIF1L	158	258	361	457
AIFM1	771	1041	1479	2068
AIFM2	191	216	373	515
AIG1	217	302	357	554
AIMP1	376	430	609	916
AIMP2	555	775	968	1503
AIP	301	474	561	818
AJUBA	22	20	31	71
AK000470	0	0	0	0
AK055601	41	54	67	67
AK097143	18	18	28	17
AK1	154	210	240	460
AK2	1091	1626	2077	3191
AK293147	4	5	2	8
AK296947	35	33	42	66
AK3	193	256	402	428
AK302092	0	3	2	8
AK302511	5	3	20	12
AK304826	13	22	62	33
AK308309	43	32	75	80
AK310228	6	8	40	16
AK310526	4	3	4	6
AK4	283	358	517	683
AK9	37	36	41	58
AKAP1	235	302	363	615
AKAP10	81	104	180	213
AKAP11	645	684	954	1404
AKAP12	705	905	1464	1721
AKAP13	293	319	453	613
AKAP17A	212	186	290	522
AKAP5	18	32	39	52
AKAP6	13	13	20	26
AKAP7	25	24	54	56
AKAP8	226	336	375	614
AKAP8L	345	378	606	921
AKAP9	433	546	842	1068
AKIP1	75	104	158	199
AKIRIN1	415	568	740	991
AKIRIN2	307	374	507	769
AKNA	18	15	37	33
AKR1A1	254	388	498	896
AKR1B1	1250	1759	2418	3415
AKR7A2	387	582	739	1168
AKR7A3	44	63	85	132
AKT1	183	314	358	584
AKT1S1	98	149	172	248
AKT2	387	590	704	1106
AKT3	105	89	148	190
AKTIP	65	105	133	170
ALAD	44	55	77	116
ALAS1	216	299	505	677
ALCAM	251	347	455	603
ALDH16A1	118	188	220	420
ALDH18A1	798	1121	1255	2012
ALDH1A2	759	921	1237	1751
ALDH1B1	262	378	534	742
ALDH1L2	98	107	229	271
ALDH2	547	748	1112	1439
ALDH3A2	337	475	706	995
ALDH4A1	124	166	226	315
ALDH5A1	267	337	444	654
ALDH6A1	172	258	358	461
ALDH7A1	757	1017	1536	2008
ALDH9A1	823	1208	1599	2228
ALDOA	7641	10591	13731	20825
ALDOC	135	162	259	280
ALG1	172	274	285	480
ALG10	359	405	630	905
ALG10B	323	370	575	824
ALG12	100	149	158	279
ALG13	277	357	533	687
ALG14	45	71	110	119
ALG1L	24	49	37	73
ALG2	94	140	174	259
ALG3	275	404	529	836
ALG5	329	427	498	762
ALG6	195	268	357	554
ALG8	521	662	876	1286
ALG9	128	148	155	298
ALKBH1	111	134	188	257
ALKBH2	72	94	151	224
ALKBH3	65	94	149	169
ALKBH4	85	112	141	263
ALKBH5	180	258	321	550
ALKBH6	186	261	325	419
ALKBH7	69	131	163	239
ALKBH8	61	74	107	135
ALMS1	345	406	574	680
ALPK1	17	32	42	49
ALS2	127	183	234	300
ALS2CR8	4	5	5	2
ALX1	74	92	139	162
ALX4	27	34	34	51
ALYREF	1815	2319	3267	4511
AMACR	76	86	135	172
AMBRA1	188	278	377	501
AMD1	305	433	647	829
AMDHD2	64	72	95	140
AMER1	27	36	56	110
AMFR	343	477	680	900
AMH	11	18	22	39
AMIGO1	5	7	18	17
AMIGO3	1	0	2	0
AMMECR1	91	110	125	226
AMMECR1L	47	76	94	140
AMN1	35	58	91	75
AMOT	66	67	112	129
AMOTL1	355	447	604	875
AMOTL2	108	129	134	249
AMPD2	176	255	376	507
AMPH	50	64	80	119
AMY2B	0	0	1	0
AMZ2	167	213	315	390
ANAPC1	722	950	1534	1837
ANAPC10	110	151	226	288
ANAPC11	210	243	443	635
ANAPC13	62	114	133	192
ANAPC15	47	59	104	142
ANAPC16	173	232	274	442
ANAPC2	196	269	341	607
ANAPC4	253	293	478	579
ANAPC5	1025	1317	2049	2428
ANAPC7	1017	1302	1550	2434
ANGEL1	106	141	194	278
ANGEL2	145	147	222	321
ANK1	35	40	53	92
ANK2	184	228	351	438
ANK3	114	149	226	284
ANKAR	0	1	1	0
ANKEF1	39	50	76	85
ANKFY1	556	628	973	1339
ANKH	71	93	129	164
ANKHD1-EIF4EBP3	1419	1749	2391	3135
ANKIB1	93	100	151	173
ANKLE2	406	517	829	1134
ANKMY1	3	7	10	6
ANKMY2	148	195	276	314
ANKRA2	33	33	63	67
ANKRD10	50	69	114	146
ANKRD11	230	292	404	606
ANKRD12	49	78	121	160
ANKRD13A	156	245	316	425
ANKRD13B	81	106	148	212
ANKRD13C	82	117	179	256
ANKRD13D	15	20	30	41
ANKRD16	21	34	46	84
ANKRD17	1117	1308	1854	2460
ANKRD18A	41	38	71	77
ANKRD18B	12	3	16	16
ANKRD20A3	58	91	147	168
ANKRD20A4	18	31	49	56
ANKRD23	1	1	0	3
ANKRD26	212	260	406	475
ANKRD27	195	234	421	554
ANKRD28	356	470	588	751
ANKRD31	7	13	18	16
ANKRD32	181	240	364	485
ANKRD36	39	26	70	77
ANKRD36B	32	31	40	65
ANKRD36C	3	3	4	4
ANKRD39	67	79	96	155
ANKRD40	144	151	213	319
ANKRD42	19	22	48	48
ANKRD44	37	41	66	71
ANKRD46	110	160	213	331
ANKRD49	27	25	28	52
ANKRD50	130	176	284	361
ANKRD52	540	765	1027	1493
ANKRD54	79	119	162	251
ANKRD6	28	39	56	58
ANKS1A	238	288	356	536
ANKS1B	9	20	25	24
ANKS3	33	39	59	120
ANKS6	45	65	106	146
ANKZF1	120	167	209	330
ANLN	959	1345	1654	2221
ANO10	108	159	221	278
ANO5	182	152	255	350
ANO6	230	284	425	542
ANO8	22	25	47	57
ANP32A	1289	1652	2586	3279
ANP32B	927	1306	1590	2483
ANP32C	334	380	639	704
ANP32E	911	1046	1495	2295
ANTXR1	139	201	238	362
ANTXR2	73	80	132	194
ANXA1	343	437	532	877
ANXA11	666	922	1353	1767
ANXA2	2154	2617	3955	5052
ANXA4	120	148	207	302
ANXA5	1309	1677	2306	3244
ANXA6	981	1298	1900	2408
ANXA7	970	1132	1693	2229
AOC2	2	0	2	3
AP1AR	55	60	94	98
AP1B1	1333	1760	2480	3412
AP1G1	684	847	1169	1599
AP1G2	65	84	127	143
AP1M1	629	833	1108	1612
AP1S1	301	400	583	781
AP1S2	236	329	520	597
AP1S3	66	92	134	173
AP2A1	378	499	690	1014
AP2A2	406	579	828	1132
AP2B1	1289	1717	2227	3068
AP2M1	1064	1410	2054	2827
AP2S1	567	710	1157	1531
AP3B1	627	778	1154	1533
AP3B2	11	18	19	38
AP3D1	949	1322	1760	2549
AP3M1	722	994	1298	1684
AP3M2	149	160	254	354
AP3S1	431	543	789	994
AP4B1	120	181	237	336
AP4E1	133	142	215	297
AP4M1	77	92	87	171
AP4S1	22	25	31	33
AP5B1	64	123	126	197
AP5M1	89	109	158	218
AP5S1	66	92	110	164
AP5Z1	45	83	74	158
APAF1	238	331	541	669
APBA2	89	117	175	285
APBA3	23	39	69	74
APBB1	235	330	423	599
APBB2	54	91	127	154
APBB3	5	19	33	52
APC	332	440	532	718
APEH	433	545	883	1116
APEX1	912	1318	1557	2596
APEX2	113	177	238	334
APH1A	300	373	490	736
API5	1060	1286	1868	2519
APIP	221	253	403	495
APLF	12	10	9	20
APLP1	183	223	344	454
APLP2	1986	2760	4012	5241
APMAP	285	392	438	845
APOA1BP	610	824	1224	1667
APOBEC3C	181	283	391	516
APOC1	40	53	80	95
APOL2	122	158	236	334
APOO	224	289	449	514
APOOL	139	185	259	289
APP	2367	3634	5042	6988
APPBP2	304	400	594	829
APPL1	463	577	871	1042
APPL2	162	205	273	347
APRT	716	1021	1297	2069
APTX	175	175	272	428
AQR	554	693	964	1308
ARAF	131	216	276	370
ARAP1	158	216	338	408
ARAP2	57	76	106	147
ARCN1	1297	1629	2273	3015
AREL1	70	86	104	154
ARF1	1767	2432	3341	4774
ARF3	436	662	844	1313
ARF4	634	772	1095	1513
ARF5	822	1076	1540	1939
ARF6	222	340	427	661
ARFGAP1	262	325	409	743
ARFGAP2	203	342	379	656
ARFGAP3	250	316	498	673
ARFGEF1	258	338	528	646
ARFGEF2	273	340	511	711
ARFIP1	195	231	381	427
ARFIP2	206	333	400	548
ARFRP1	77	88	135	216
ARG2	213	297	478	579
ARGLU1	168	262	358	481
ARHGAP1	194	262	327	492
ARHGAP10	113	153	186	256
ARHGAP11A	439	486	798	928
ARHGAP11B	108	111	169	199
ARHGAP12	154	171	291	314
ARHGAP17	410	546	669	1054
ARHGAP18	76	80	159	183
ARHGAP19	203	255	360	476
ARHGAP20	24	38	57	90
ARHGAP21	235	271	445	481
ARHGAP22	26	47	61	106
ARHGAP24	8	13	15	34
ARHGAP26	67	90	143	167
ARHGAP27	25	38	28	57
ARHGAP28	33	44	63	100
ARHGAP29	89	110	215	242
ARHGAP31	20	42	38	49
ARHGAP32	65	76	102	130
ARHGAP33	35	24	26	74
ARHGAP35	217	281	386	501
ARHGAP39	55	57	101	149
ARHGAP42	39	50	63	81
ARHGAP44	30	37	61	55
ARHGAP5	290	338	503	661
ARHGDIA	954	1323	1807	2620
ARHGDIG	14	29	32	45
ARHGEF1	233	329	431	625
ARHGEF10	112	108	157	226
ARHGEF10L	21	38	34	62
ARHGEF11	100	153	206	278
ARHGEF12	288	383	529	704
ARHGEF16	43	50	78	107
ARHGEF17	31	40	86	89
ARHGEF18	223	282	407	579
ARHGEF2	350	398	599	921
ARHGEF25	15	13	26	39
ARHGEF26	138	187	218	353
ARHGEF28	46	75	98	92
ARHGEF3	61	80	122	144
ARHGEF39	79	129	164	258
ARHGEF4	9	13	12	14
ARHGEF40	41	66	87	126
ARHGEF6	84	84	173	185
ARHGEF7	187	257	314	448
ARHGEF9	7	10	12	15
ARID1A	704	996	1155	1911
ARID1B	243	297	423	556
ARID2	490	626	766	1135
ARID3A	57	57	84	141
ARID3B	104	145	185	292
ARID4A	86	104	155	193
ARID4B	257	334	487	694
ARID5A	18	53	53	74
ARID5B	221	283	405	565
ARIH1	358	484	634	915
ARIH2	238	311	483	585
ARL1	450	563	848	1032
ARL10	12	14	26	37
ARL13B	92	95	173	205
ARL14EP	141	200	257	355
ARL15	68	84	139	139
ARL16	100	152	164	297
ARL17A	469	636	851	1309
ARL2	385	509	816	1016
ARL2BP	213	303	399	530
ARL3	309	392	570	772
ARL4A	40	56	71	97
ARL4C	43	52	65	103
ARL4D	25	31	58	70
ARL5A	25	35	56	83
ARL5B	218	268	363	481
ARL6	51	66	99	148
ARL6IP1	768	1029	1266	1953
ARL6IP4	350	524	609	1040
ARL6IP5	222	289	480	560
ARL6IP6	95	97	188	239
ARL8A	134	202	246	349
ARL8B	317	356	478	685
ARMC1	209	277	402	497
ARMC10	103	134	186	271
ARMC2	20	22	40	45
ARMC4	85	136	173	216
ARMC5	50	120	87	178
ARMC6	312	438	543	815
ARMC8	153	182	280	342
ARMC9	174	198	314	453
ARMCX2	146	217	336	383
ARMCX3	110	139	188	298
ARMCX4	8	17	12	33
ARMCX5	52	96	135	139
ARMCX5-GPRASP2	158	149	193	292
ARMCX6	33	31	38	78
ARNT	218	276	388	542
ARNT2	26	56	60	92
ARNTL	20	20	43	58
ARNTL2	29	34	60	79
ARPC1A	774	1068	1297	1999
ARPC1B	301	423	547	842
ARPC2	1468	2097	2773	3738
ARPC3	2048	2534	3840	4770
ARPC5	268	338	462	731
ARPC5L	183	260	350	505
ARPP19	314	348	549	644
ARRB1	45	49	97	88
ARRB2	259	365	489	707
ARRDC1	138	166	242	335
ARRDC3	27	51	56	69
ARRDC4	102	106	181	251
ARSA	52	83	110	141
ARSB	46	75	82	121
ARSG	12	16	29	30
ARSK	63	82	140	174
ARV1	238	287	391	572
ARVCF	31	32	51	74
AS3MT	80	72	149	168
ASAH1	277	363	521	683
ASAH2	45	54	51	90
ASAH2B	34	34	35	68
ASAP1	209	251	348	445
ASAP2	119	148	194	290
ASAP3	44	55	85	122
ASB1	44	58	81	145
ASB13	59	66	81	147
ASB3	211	290	400	551
ASB6	295	391	540	821
ASB7	23	47	58	95
ASB8	150	182	286	377
ASCC1	285	340	550	695
ASCC2	333	460	595	905
ASCC3	906	1134	1592	2181
ASF1A	352	425	548	761
ASF1B	331	555	648	1069
ASH1L	424	530	701	958
ASH2L	333	433	563	736
ASIC1	66	75	113	137
ASL	66	75	118	155
ASMT	2	2	0	0
ASMTL	136	188	302	358
ASNA1	451	631	878	1186
ASNS	1018	1227	2153	2409
ASNSD1	187	198	326	408
ASPH	304	368	542	725
ASPHD2	15	21	36	46
ASPM	926	1127	1624	1983
ASPSCR1	91	113	142	282
ASRGL1	107	174	238	363
ASS1	337	477	782	868
ASTE1	77	117	133	196
ASTN2	1	9	14	15
ASUN	399	505	784	890
ASXL1	259	332	413	656
ASXL2	120	156	197	282
ASXL3	28	38	56	45
ATAD1	521	694	897	1296
ATAD2	1041	1143	1846	2264
ATAD2B	114	123	196	252
ATAD3A	936	1372	1715	2610
ATAD3B	810	1147	1488	2316
ATAD3C	321	446	582	879
ATAD5	251	291	477	511
ATAT1	52	87	116	159
ATE1	189	252	329	434
ATF1	173	207	258	425
ATF2	85	103	190	241
ATF3	33	40	47	76
ATF4	199	251	653	689
ATF5	10	10	12	15
ATF6	504	628	910	1133
ATF6B	280	469	604	891
ATF7	126	180	217	311
ATF7IP	948	1081	1514	2028
ATF7IP2	6	12	16	30
ATG10	12	21	29	41
ATG12	143	144	204	289
ATG13	142	185	254	365
ATG14	32	38	54	73
ATG16L1	186	227	310	443
ATG16L2	3	5	9	15
ATG2A	137	219	252	412
ATG2B	401	476	756	951
ATG3	261	343	493	591
ATG4A	60	59	115	165
ATG4B	360	528	649	981
ATG4C	104	150	240	272
ATG4D	64	77	115	192
ATG5	195	218	350	384
ATG7	206	249	386	500
ATG9A	499	684	887	1189
ATHL1	7	10	18	18
ATIC	2446	3272	4449	6155
ATL1	76	70	109	125
ATL2	407	495	657	955
ATL3	40	39	73	101
ATM	338	464	668	764
ATMIN	51	53	80	84
ATN1	287	424	542	780
ATOX1	272	325	470	559
ATP10D	24	38	51	66
ATP11A	79	136	150	246
ATP11B	211	251	382	485
ATP11C	437	513	749	991
ATP13A1	363	551	532	1061
ATP13A2	204	256	376	510
ATP13A3	435	574	766	1082
ATP1A1	5276	6778	9068	13482
ATP1A3	210	266	354	549
ATP1B1	354	455	641	796
ATP1B3	868	1077	1540	2176
ATP2A2	2906	3967	5060	7541
ATP2B1	715	918	1157	1774
ATP2B4	44	61	83	150
ATP2C1	406	493	703	1021
ATP5A1	4963	6413	8418	12428
ATP5B	8821	11437	16803	23474
ATP5C1	2772	3524	4921	6511
ATP5D	373	487	612	1025
ATP5E	830	1174	1756	2279
ATP5F1	2207	2751	3837	5441
ATP5G1	631	861	1196	1733
ATP5G2	2025	2721	3589	5737
ATP5G3	1680	2098	3267	4374
ATP5H	642	889	1165	1888
ATP5I	462	616	1040	1370
ATP5J	1254	1491	1936	2700
ATP5J2-PTCD1	390	491	701	1107
ATP5L	1063	1495	1854	2950
ATP5L2	324	412	595	784
ATP5S	91	126	185	254
ATP5SL	146	200	262	447
ATP6AP1	961	1336	1913	2674
ATP6AP2	922	1139	1704	2251
ATP6V0A1	404	531	657	1022
ATP6V0A2	295	385	492	690
ATP6V0B	774	1001	1341	2125
ATP6V0C	844	1065	1577	2162
ATP6V0D1	492	750	961	1398
ATP6V0E1	130	214	240	400
ATP6V0E2	83	135	186	294
ATP6V1A	1025	1258	1590	2506
ATP6V1B2	583	743	1061	1464
ATP6V1C1	352	426	603	806
ATP6V1D	334	453	642	913
ATP6V1E1	933	1184	1671	2228
ATP6V1F	476	649	969	1201
ATP6V1G1	436	606	879	1197
ATP6V1H	450	577	818	1061
ATP7A	181	209	312	369
ATP7B	144	245	268	502
ATP8A1	73	105	153	186
ATP8B2	61	61	94	132
ATP9A	180	228	312	423
ATP9B	60	83	141	172
ATPAF1	565	741	1057	1388
ATPAF2	45	70	97	124
ATPIF1	766	1054	1431	2090
ATR	394	452	754	910
ATRAID	171	233	306	451
ATRIP	98	146	168	277
ATRN	273	358	491	710
ATRNL1	42	41	58	85
ATRX	462	547	748	1053
ATXN1	38	61	56	85
ATXN10	1466	1867	2469	3473
ATXN1L	30	32	43	80
ATXN2	794	982	1453	1943
ATXN2L	1020	1455	1658	2701
ATXN3	174	214	303	386
ATXN7	37	61	77	118
ATXN7L1	26	41	58	77
ATXN7L2	24	32	40	75
ATXN7L3	35	40	61	82
ATXN7L3B	140	182	247	402
AUH	73	82	125	175
AUNIP	148	163	333	363
AUP1	247	311	429	582
AURKA	909	1056	1630	2163
AURKAIP1	809	1189	1524	2536
AURKB	559	728	955	1435
AUTS2	96	143	224	295
AVEN	50	65	84	124
AVL9	116	147	167	255
AX746670	0	0	0	0
AX746699	1	0	0	0
AX746750	0	0	0	0
AX747493	4	17	19	19
AX747756	1	1	0	1
AX748249	6	6	3	9
AXIN1	112	149	191	321
AXIN2	29	40	62	101
AZI1	62	109	151	200
AZI2	42	60	86	91
AZIN1	220	339	496	586
B2M	1446	1890	2807	3768
B3GALNT2	65	67	116	160
B3GALT1	0	5	6	8
B3GALT6	110	124	171	285
B3GALTL	87	118	195	188
B3GAT3	109	180	186	325
B3GNT1	359	558	660	1102
B3GNT2	38	47	79	92
B3GNT5	54	66	102	120
B4GALNT1	3	10	13	20
B4GALNT3	63	73	139	205
B4GALNT4	7	16	14	30
B4GALT1	128	152	210	306
B4GALT2	39	48	74	94
B4GALT3	64	87	107	160
B4GALT4	51	88	123	137
B4GALT5	187	232	277	466
B4GALT6	16	37	49	77
B4GALT7	37	68	77	129
B9D1	123	211	321	391
BABAM1	190	293	434	626
BACE1	38	55	70	108
BACE2	110	156	210	262
BACH1	172	238	298	397
BACH2	38	46	74	79
BAD	79	126	167	249
BAG1	78	89	127	215
BAG2	367	480	599	1061
BAG3	416	574	749	1129
BAG4	194	246	412	571
BAG5	240	314	409	597
BAG6	2176	2992	3681	5859
BAHCC1	56	86	109	133
BAHD1	219	326	449	691
BAI2	19	27	39	34
BAI3	7	6	9	11
BAIAP2	78	107	150	253
BAIAP2L1	301	396	526	691
BAK1	142	185	271	408
BAMBI	140	195	226	274
BANF1	312	445	675	1231
BANP	81	121	170	243
BAP1	126	170	254	370
BARD1	219	321	378	576
BATF3	15	17	19	41
BAX	219	277	345	584
BAZ1A	791	1012	1490	1875
BAZ1B	1081	1289	1785	2636
BAZ2A	658	895	1248	1674
BAZ2B	81	90	155	180
BBIP1	31	55	69	96
BBS1	43	72	106	156
BBS10	182	218	337	413
BBS12	25	20	47	58
BBS2	214	225	370	544
BBS4	112	141	220	296
BBS7	262	335	475	629
BBS9	41	45	84	91
BBX	341	434	574	837
BC017347	11	12	19	36
BC024682	0	2	0	1
BC032716	27	56	83	99
BC041025	0	0	0	0
BC043620	5	19	28	43
BC071797	0	0	2	1
BC107108	52	58	109	131
BCAM	43	56	95	152
BCAP29	229	283	384	580
BCAP31	1316	1920	2307	3814
BCAR1	150	221	270	446
BCAR3	25	37	43	60
BCAS2	703	910	1267	1635
BCAS3	201	253	333	468
BCAS4	54	60	94	117
BCAT1	563	678	1123	1317
BCAT2	242	399	479	693
BCCIP	993	1190	1705	2393
BCDIN3D	58	51	108	146
BCHE	76	86	155	170
BCKDHA	197	269	391	575
BCKDHB	164	188	321	429
BCKDK	276	372	582	732
BCL10	175	189	258	398
BCL11A	83	114	170	269
BCL2L1	18	28	44	71
BCL2L11	40	26	34	54
BCL2L12	159	234	287	466
BCL2L13	166	173	263	362
BCL2L2-PABPN1	561	712	879	1411
BCL6	25	36	46	88
BCL6B	0	1	2	1
BCL7A	114	202	222	382
BCL7B	62	96	134	155
BCL7C	69	111	153	225
BCL9	70	123	151	177
BCLAF1	2373	2986	3602	5139
BCOR	1285	1719	2208	2994
BCORL1	238	342	405	665
BCR	173	305	374	517
BCS1L	306	418	536	759
BDH1	0	0	0	0
BDH2	163	197	325	366
BDP1	224	278	398	544
BECN1	118	167	252	329
BEND3	63	79	116	194
BEND4	45	67	97	141
BEND7	26	39	66	81
BET1	117	179	241	294
BET1L	22	38	69	71
