	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
FPGS	167	284	297	487
FPGT-TNNI3K	28	26	47	62
FRA10AC1	186	220	305	412
FRAS1	245	334	376	678
FRAT2	36	60	62	107
FREM2	348	449	547	828
FRG1	261	275	474	628
FRMD4A	69	68	145	146
FRMD4B	42	61	81	107
FRMD5	23	34	55	82
FRMD6	112	141	207	237
FRMD8	56	82	107	167
FRRS1	69	80	146	134
FRS2	98	107	126	186
FRY	28	24	38	44
FRYL	227	288	378	592
FSBP	14	15	23	28
FSCN1	583	765	1153	1483
FSD1	126	142	178	285
FSD1L	21	15	24	24
FSIP2	0	0	0	0
FSTL1	881	1233	1487	2501
FTH1	497	648	905	1399
FTL	191	368	459	706
FTO	290	358	525	661
FTSJ1	118	179	232	397
FTSJ2	139	196	247	425
FTSJ3	789	1152	1498	2247
FTSJD1	92	115	170	219
FTSJD2	554	770	975	1381
FUBP1	1500	1914	2272	3592
FUBP3	705	963	1183	1864
FUCA1	102	146	206	304
FUCA2	512	601	967	1287
FUK	31	53	56	99
FUNDC1	164	209	276	393
FUNDC2	196	312	423	629
FUOM	10	25	21	40
FURIN	73	113	172	242
FUS	4856	6314	7677	11842
FUT10	35	32	55	84
FUT11	71	97	110	196
FUT4	2	14	17	27
FUT8	63	69	105	122
FUZ	60	77	158	234
FXN	131	177	220	336
FXR1	858	1101	1621	2105
FXR2	441	582	713	1128
FXYD5	840	1215	1560	2139
FYCO1	121	160	247	296
FYN	176	265	323	478
FYTTD1	275	332	499	596
FZD1	76	104	129	162
FZD2	79	108	160	215
FZD3	139	160	230	328
FZD4	21	20	39	63
FZD5	70	100	140	223
FZD6	140	152	237	331
FZD7	124	153	210	261
FZD8	149	198	299	503
FZD9	15	10	22	50
FZR1	197	257	341	494
G2E3	246	321	482	602
G3BP1	2860	3692	4249	7545
G3BP2	592	747	947	1344
G6PC3	366	500	682	1177
G6PD	627	873	1294	1777
GAA	111	137	194	297
GAB1	75	114	149	215
GABARAP	623	781	1218	1534
GABARAPL1	106	125	179	305
GABARAPL2	410	534	743	1047
GABBR1	9	14	27	16
GABBR2	7	8	3	13
GABPA	490	627	852	1085
GABPB1	141	206	245	334
GABPB2	44	72	96	109
GABRB3	69	128	141	244
GAD1	25	29	64	69
GADD45A	98	130	149	219
GADD45B	15	34	26	63
GADD45GIP1	704	1014	1316	2182
GAK	293	398	514	729
GAL	0	2	7	2
GALC	40	46	47	93
GALE	197	241	362	482
GALK1	172	247	368	500
GALK2	108	114	196	273
GALM	134	197	216	343
GALNS	37	51	91	123
GALNT1	127	211	287	375
GALNT10	36	44	73	94
GALNT11	68	88	110	131
GALNT12	12	20	33	56
GALNT13	52	61	71	98
GALNT16	31	46	58	74
GALNT18	35	48	87	103
GALNT2	283	366	417	688
GALNT3	93	124	210	205
GALNT4	73	66	108	159
GALNT6	47	71	91	121
GALNT7	289	437	502	731
GALT	42	61	97	113
GAMT	108	128	177	286
GAN	94	121	144	196
GANAB	2700	3759	4954	7439
GANC	27	56	71	94
GAPDH	24380	34195	41922	62612
GAPVD1	806	1002	1490	1908
GAR1	332	367	533	735
GAREM	15	15	26	29
GAREML	21	27	46	39
GARNL3	9	5	8	6
GARS	1141	1507	2195	2791
GART	2374	3120	4332	6036
GAS1	67	98	112	193
GAS2L3	112	150	231	261
GAS6	22	30	40	56
GAS8	33	50	62	90
GATA2	156	199	260	358
GATA4	78	125	187	264
GATA6	286	391	431	745
GATAD1	70	81	138	163
GATAD2A	277	362	519	791
GATAD2B	563	745	1016	1388
GATC	170	267	372	491
GATS	82	119	156	228
GATSL1	81	141	149	234
GATSL2	102	161	190	302
GBA	295	407	522	784
GBA2	60	85	121	186
GBAS	386	466	730	845
GBE1	149	215	234	413
GBF1	939	1163	1626	2429
GCA	130	191	236	357
GCAT	117	153	177	281
GCC1	110	168	196	296
GCC2	433	513	867	892
GCDH	238	322	418	623
GCFC2	211	270	381	539
GCH1	84	119	172	268
GCHFR	38	79	106	160
GCLC	331	421	548	791
GCLM	341	397	533	803
GCN1L1	2033	2741	3745	5748
