	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
JAZF1	33	17	33	28
JHDM1D	234	189	209	236
JKAMP	350	209	350	318
JMJD1C	1543	1293	1600	1486
JMJD4	873	676	952	867
JMJD6	362	252	407	404
JMJD7-PLA2G4B	77	74	113	80
JMJD8	248	167	216	180
JMY	452	402	563	481
JOSD1	265	192	231	181
JOSD2	43	35	75	38
JPH1	251	220	304	221
JPH3	52	70	101	75
JRK	182	169	219	236
JRKL	80	62	120	111
JTB	1080	745	1259	1191
JUN	424	368	424	402
JUND	132	116	110	109
JUP	159	212	210	158
KALRN	69	77	95	88
KANK1	273	193	274	217
KANK2	139	94	138	152
