	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
1-Mar	485	405	586	526
10-Sep	538	464	663	636
11-Sep	1258	1032	1468	1430
14-Sep	28	27	35	38
15-Sep	471	285	494	467
2-Mar	188	130	240	212
2-Sep	2808	2280	3018	2952
3-Mar	51	26	40	38
3-Sep	80	84	133	104
5-Mar	425	305	428	430
6-Mar	1857	1737	2314	2009
6-Sep	327	276	350	294
7-Mar	1690	1291	1802	1519
7-Sep	1754	1137	1872	1907
8-Mar	175	143	190	168
8-Sep	833	663	853	798
9-Mar	35	40	66	48
9-Sep	518	440	562	422
AAAS	954	722	904	834
AACS	244	257	288	286
AADAT	278	217	279	267
AAED1	113	73	139	120
AAGAB	1183	860	1360	1300
AAK1	96	130	142	151
AAMDC	163	118	174	170
AAMP	2642	1951	3031	2949
AAR2	485	361	455	395
AARS	3168	2552	3244	3011
AARS2	906	734	1014	880
AASDH	667	524	710	642
AASDHPPT	1132	820	1325	1182
AASS	1023	729	1051	1016
AATF	1239	921	1263	1286
ABCA1	32	44	54	72
ABCA10	47	58	68	52
ABCA2	268	276	336	272
ABCA3	497	501	622	492
ABCA5	470	372	483	435
ABCA7	180	171	223	190
ABCB1	170	131	140	156
ABCB10	1345	1064	1544	1488
ABCB6	213	198	239	178
ABCB7	1370	918	1406	1226
ABCB8	245	211	260	195
ABCB9	125	85	116	106
ABCC1	655	798	948	681
ABCC10	358	400	463	382
ABCC2	48	57	43	50
ABCC4	1145	964	1391	1304
ABCC5	603	546	697	652
ABCC8	34	32	40	30
ABCD1	37	40	41	34
ABCD3	2091	1473	2335	2154
ABCD4	342	291	354	339
ABCE1	4367	3057	4377	4140
ABCF1	2291	1841	2263	2260
ABCF2	2508	2004	2664	2435
ABCF3	449	397	548	526
ABCG2	60	37	55	37
ABHD10	662	477	724	701
ABHD12	245	202	255	232
ABHD13	90	65	79	76
ABHD14A	56	38	63	40
ABHD14B	135	83	117	91
ABHD15	29	18	36	34
ABHD16A	343	212	308	231
ABHD17A	320	228	337	284
ABHD17B	362	230	368	321
ABHD17C	62	41	74	61
ABHD2	360	349	370	379
ABHD3	267	153	217	190
ABHD4	22	24	42	42
ABHD5	379	284	376	311
ABHD6	93	68	112	88
ABI1	442	303	379	330
ABI2	551	387	501	446
ABL1	658	679	843	801
ABL2	734	824	971	841
ABLIM1	345	256	314	319
ABR	334	268	392	347
ABRACL	320	221	357	343
ABT1	882	584	818	743
ABTB2	59	55	79	74
ACAA1	346	283	350	319
ACAA2	572	427	693	705
ACACA	2933	2722	3683	3250
ACACB	310	351	384	325
ACAD10	228	206	272	241
ACAD8	272	201	298	293
ACAD9	816	684	874	828
ACADL	43	26	68	67
ACADM	1410	945	1559	1560
ACADS	150	88	133	122
ACADSB	357	291	382	330
ACADVL	748	591	753	640
ACAP2	716	534	766	692
ACAP3	313	283	318	305
ACAT1	2042	1378	2297	2135
ACAT2	2156	1622	2425	2237
ACBD3	1283	844	1248	1249
ACBD5	284	203	301	275
ACBD6	1023	747	1036	948
ACCS	40	27	44	40
ACD	207	154	172	157
ACER3	109	72	95	101
ACIN1	3582	2991	3570	3311
ACLY	7918	6838	7973	7024
ACN9	239	155	245	264
ACO1	967	697	1001	939
ACO2	1207	1025	1221	1109
ACOT13	252	162	319	295
ACOT2	286	219	353	314
ACOT7	448	384	515	514
ACOT8	133	103	168	121
ACOT9	426	335	479	429
ACOX1	764	607	843	822
ACOX3	172	175	204	178
ACP1	714	424	803	713
ACP2	222	168	197	187
ACP6	280	263	335	297
ACPL2	158	101	147	134
ACRC	61	80	87	42
ACSF2	119	74	107	91
ACSF3	342	287	358	322
ACSL1	404	336	400	425
ACSL3	2086	1512	2245	2153
ACSL4	905	711	1028	975
ACSL6	40	36	63	55
ACSM3	29	15	38	26
ACSS1	161	169	187	202
ACSS2	198	158	221	194
ACSS3	34	38	48	46
ACTA1	148	126	131	86
ACTA2	49	42	49	41
ACTB	16670	14850	17954	16671
ACTG1	21544	15783	17047	14857
ACTL6A	1005	667	949	941
ACTN1	1106	1133	1252	1031
ACTN2	81	96	130	117
ACTN4	2015	2099	2309	1968
ACTR10	667	460	664	633
ACTR1A	1006	739	896	810
ACTR1B	364	276	436	377
ACTR2	2374	2116	2892	2713
ACTR3	2349	1582	2337	2194
ACTR3B	233	212	367	274
ACTR3C	65	51	90	67
ACTR5	262	237	341	295
ACTR6	767	561	835	894
ACTR8	1397	982	1415	1325
ACTRT3	49	39	54	65
ACVR1	60	92	105	59
ACVR1B	247	201	262	270
ACVR2A	242	167	253	219
ACVR2B	405	370	465	417
ACY1	225	171	247	221
ACYP1	84	54	66	74
ADA	124	72	120	124
ADAL	161	110	142	117
ADAM10	666	571	742	707
ADAM11	144	136	147	128
ADAM15	853	622	851	730
ADAM17	676	512	732	739
ADAM19	59	42	43	62
ADAM22	306	237	295	278
ADAM23	211	191	245	220
ADAM9	1672	1215	1823	1744
ADAMTS1	630	484	668	597
ADAMTS13	87	99	147	97
ADAMTS17	135	160	183	167
ADAMTS19	108	106	137	114
ADAMTS20	193	140	234	177
ADAMTS3	206	159	205	191
ADAMTS6	61	47	60	50
ADAMTS7	56	48	55	41
ADAMTS9	194	192	255	238
ADAP1	51	51	59	54
ADAP2	57	43	73	71
ADAR	4612	3853	5119	4424
ADARB1	236	241	269	206
ADAT1	351	364	468	388
ADAT2	218	173	290	289
ADAT3	36	25	43	47
ADC	34	51	45	46
ADCK1	143	129	153	146
ADCK2	474	372	502	493
ADCK3	1560	1074	1467	1404
ADCK4	192	140	186	176
ADCK5	45	25	49	42
ADCY1	291	248	325	296
ADCY3	791	690	823	703
ADCY6	272	221	302	243
ADCY9	377	378	523	454
ADD1	1094	970	1170	1151
ADD2	308	330	347	348
ADD3	1104	779	1020	950
ADH5	2386	1688	2291	2248
ADI1	916	709	1079	1043
ADIPOR1	1266	919	1255	1186
ADIPOR2	541	406	462	441
ADK	787	573	841	802
ADM	50	36	30	38
ADNP	1774	2052	2558	2149
ADNP2	1146	910	1259	1096
ADO	110	82	102	129
ADORA2A	33	28	33	22
ADORA2B	142	94	127	110
ADPGK	765	561	828	707
ADPRHL1	31	18	41	32
ADPRHL2	452	348	501	469
ADPRM	85	68	85	61
ADRA2C	49	29	35	42
ADRBK1	721	631	705	674
ADRBK2	471	397	524	479
ADRM1	977	777	1001	921
ADSL	3779	2715	3822	3582
ADSS	2383	1677	2581	2727
AEBP2	298	317	445	356
AEN	594	403	536	503
AES	224	167	202	163
AFAP1	169	188	225	246
AFAP1L1	84	67	92	76
AFF1	327	416	453	379
AFF3	103	117	120	92
AFF4	1546	1489	1810	1437
AFG3L2	2190	1739	2506	2405
AFMID	93	75	106	102
AFTPH	602	473	673	570
AGA	188	123	209	211
AGAP1	347	373	393	384
AGAP11	235	276	303	275
AGAP3	715	632	870	676
AGAP4	750	767	800	709
AGAP5	589	640	642	581
AGAP6	728	747	778	660
AGAP7	655	707	718	664
AGAP8	1259	1304	1362	1193
AGAP9	1416	1521	1560	1495
AGBL3	24	26	26	39
AGBL5	962	717	968	799
AGFG1	1012	712	1005	799
AGFG2	68	54	71	61
AGGF1	1071	721	1149	1026
AGK	925	717	1018	916
AGL	2174	1769	2464	2058
AGMAT	31	24	43	35
AGO1	709	696	848	762
AGO2	820	754	928	738
AGO3	575	502	588	526
AGO4	236	175	234	215
AGPAT1	215	235	222	208
AGPAT2	134	108	121	120
AGPAT3	344	380	426	365
AGPAT4	205	149	227	203
AGPAT5	392	307	421	473
AGPAT6	821	635	939	885
AGPAT9	100	73	106	74
AGPHD1	202	163	221	187
AGPS	1921	1449	1955	2079
AGRN	450	481	622	516
AGTPBP1	2123	1658	2352	2315
AGTRAP	111	80	108	84
AGXT2L2	223	239	224	221
AHCTF1	3614	3046	4067	3588
AHCY	3477	2336	3021	2591
AHCYL1	1184	1026	1240	1070
AHCYL2	222	172	270	258
AHDC1	37	67	87	46
AHI1	963	794	997	904
AHNAK	1903	1720	2409	2460
AHNAK2	346	302	371	358
AHR	365	280	342	293
AHRR	118	112	137	140
AHSA1	3236	2319	3408	3172
AHSA2	70	65	90	106
AIDA	363	325	381	357
AIF1L	84	76	117	101
AIFM1	2052	1651	2028	1962
AIFM2	56	45	71	75
AIG1	333	237	435	357
AIMP1	1051	810	1107	1108
AIMP2	1037	738	1048	1009
AIP	536	343	511	500
AJUBA	66	55	102	86
AK000470	248	224	260	240
AK055601	65	42	49	35
AK097143	3844	5624	6464	5846
AK1	291	256	330	326
AK2	2759	2056	3029	3137
AK293147	102	101	140	127
AK296947	39	42	81	92
AK3	232	172	231	217
AK302092	146	140	202	188
AK302511	131	164	127	73
AK304826	753	727	902	720
AK308309	199	185	216	217
AK310228	923	901	860	652
AK310526	54	40	45	55
AK4	343	284	431	403
AK9	65	49	73	82
AKAP1	1811	1556	1928	1753
AKAP10	740	558	814	689
AKAP11	2371	2152	2940	2776
AKAP12	2909	2349	3384	3218
AKAP13	1945	1793	2344	2023
AKAP17A	688	582	730	692
AKAP5	94	53	99	91
AKAP6	117	129	148	118
AKAP7	79	61	94	110
AKAP8	731	608	784	755
AKAP8L	1072	912	1059	968
AKAP9	4469	3428	4446	4417
AKIP1	138	99	191	132
AKIRIN1	364	205	353	274
AKIRIN2	131	146	172	135
AKNA	34	36	37	35
AKR1A1	551	445	642	555
AKR1B1	1434	1135	1374	1260
AKR7A2	583	440	561	508
AKR7A3	55	64	77	63
AKT1	1147	819	1110	970
AKT1S1	124	93	113	105
AKT2	888	735	870	770
AKT3	762	642	997	892
AKTIP	201	121	190	188
ALAD	89	87	127	98
ALAS1	1089	800	1010	980
ALCAM	994	642	1011	867
ALDH16A1	461	390	540	524
ALDH18A1	3436	2490	3843	3401
ALDH1A2	874	632	967	904
ALDH1B1	905	665	970	915
ALDH1L2	468	430	579	555
ALDH2	444	295	412	371
ALDH3A2	1275	924	1462	1354
ALDH4A1	132	106	125	91
ALDH5A1	380	281	395	457
ALDH6A1	337	276	357	316
ALDH7A1	989	837	1220	1054
ALDH9A1	1604	1059	1627	1490
ALDOA	12491	9068	12014	11227
ALDOC	43	43	42	40
ALG1	509	368	525	435
ALG10	559	386	481	391
ALG10B	453	324	398	323
ALG12	278	233	342	276
ALG13	990	1026	1293	1158
ALG14	216	148	250	257
ALG1L	63	43	49	50
ALG2	303	240	302	266
ALG3	246	212	248	225
ALG5	645	446	667	659
ALG6	1113	764	1077	1031
ALG8	1266	812	1146	1002
ALG9	343	212	282	282
ALKBH1	246	163	238	178
ALKBH2	383	285	350	358
ALKBH3	356	266	379	324
ALKBH4	134	88	141	134
ALKBH5	1892	1521	1864	1670
ALKBH6	112	78	98	80
ALKBH7	96	68	131	105
ALKBH8	663	460	710	627
ALMS1	4036	3389	4617	3768
ALPK1	119	103	144	111
ALS2	844	687	870	730
ALS2CR8	56	39	72	44
ALX1	90	76	113	100
ALX4	41	27	48	42
ALYREF	2417	1768	2730	2691
AMACR	147	96	122	134
AMBRA1	863	761	877	783
AMD1	3112	2327	3338	3070
AMDHD2	161	144	177	154
AMER1	416	335	446	398
AMFR	1168	860	1263	1116
AMH	74	97	124	116
AMIGO1	48	33	52	37
AMIGO3	117	80	80	77
AMMECR1	227	138	236	201
AMMECR1L	191	164	184	181
AMN1	85	45	87	79
AMOT	4813	4543	5288	4273
AMOTL1	666	559	705	669
AMOTL2	123	106	113	92
AMPD2	587	438	598	527
AMPH	81	65	76	67
AMY2B	30	30	36	27
AMZ2	1061	726	1059	920
ANAPC1	5898	4427	6132	5290
ANAPC10	258	205	247	207
ANAPC11	171	114	179	164
ANAPC13	196	139	232	256
ANAPC15	231	176	233	216
ANAPC16	353	243	344	308
ANAPC2	425	388	462	439
ANAPC4	772	558	829	770
ANAPC5	4321	3096	4398	3998
ANAPC7	1705	1255	1740	1477
ANGEL1	431	396	546	467
ANGEL2	765	532	740	724
ANK1	188	178	213	188
ANK2	614	506	657	568
ANK3	405	398	524	495
ANKAR	166	140	168	166
ANKEF1	189	125	212	188
ANKFY1	1150	1063	1450	1247
ANKH	206	193	210	175
ANKHD1-EIF4EBP3	3354	3402	4324	3624
ANKIB1	809	685	852	817
ANKLE2	1923	1594	2170	2013
ANKMY1	126	126	121	101
ANKMY2	268	184	284	292
ANKRA2	83	62	92	78
ANKRD10	434	321	449	414
ANKRD11	1840	2061	2536	2236
ANKRD12	591	553	601	625
ANKRD13A	611	425	540	499
ANKRD13B	86	82	133	99
ANKRD13C	1047	784	1106	1007
ANKRD13D	138	81	135	136
ANKRD16	92	88	82	71
ANKRD17	4975	4556	5841	5061
ANKRD18A	843	1102	1413	1276
ANKRD18B	249	326	464	468
ANKRD20A3	493	568	776	777
ANKRD20A4	174	194	272	269
ANKRD23	34	26	50	43
ANKRD26	1135	929	1333	1178
ANKRD27	782	635	793	784
ANKRD28	1132	932	1411	1224
ANKRD31	35	36	48	42
ANKRD32	914	676	993	824
ANKRD36	3892	3409	4886	4703
ANKRD36B	2585	2292	3208	3076
ANKRD36C	900	779	1139	1102
ANKRD39	57	55	76	78
ANKRD40	658	473	632	568
ANKRD42	62	43	47	39
ANKRD44	101	82	97	100
ANKRD46	115	65	132	113
ANKRD49	146	112	168	156
ANKRD50	934	826	1098	976
ANKRD52	936	1262	1655	1324
ANKRD54	156	91	142	123
ANKRD6	119	103	150	129
ANKS1A	410	341	484	384
ANKS1B	24	27	38	32
ANKS3	178	146	193	204
ANKS6	333	303	437	400
ANKZF1	347	271	393	352
ANLN	3400	2703	3295	2868
ANO10	544	493	687	613
ANO5	427	349	486	475
ANO6	630	421	585	532
ANO8	71	44	73	61
ANP32A	2748	1762	2543	2613
ANP32B	888	1092	1525	1437
ANP32C	103	56	62	58
ANP32E	1397	824	1304	1564
ANTXR1	253	327	375	333
ANTXR2	83	39	90	79
ANXA1	65	44	47	63
ANXA11	797	663	799	715
ANXA2	1199	832	1188	1179
ANXA4	161	96	141	122
ANXA5	2845	2117	2983	2859
ANXA6	1845	1231	1872	1652
ANXA7	1415	1023	1509	1265
AOC2	61	74	87	67
AP1AR	465	302	471	472
AP1B1	1998	1636	2085	1875
AP1G1	1501	1291	1854	1527
AP1G2	330	292	387	332
AP1M1	548	446	484	393
AP1S1	262	207	327	327
AP1S2	301	244	425	398
AP1S3	70	51	78	65
AP2A1	819	804	983	770
AP2A2	690	603	770	658
AP2B1	1510	1681	2084	1763
AP2M1	3071	2257	2880	2753
AP2S1	1173	699	1100	1046
AP3B1	1708	1330	1831	1798
AP3B2	25	37	41	45
AP3D1	1953	1815	2135	1873
AP3M1	824	668	891	776
AP3M2	359	288	446	407
AP3S1	644	478	733	657
AP4B1	447	351	522	512
AP4E1	466	403	596	532
AP4M1	70	67	77	76
AP4S1	34	38	33	33
AP5B1	258	225	287	250
AP5M1	585	458	584	530
AP5S1	83	78	117	88
AP5Z1	232	190	234	204
APAF1	597	524	746	708
APBA2	363	317	443	365
APBA3	115	96	138	134
APBB1	644	577	722	621
APBB2	134	120	142	135
APBB3	78	55	70	68
APC	2367	2002	2653	2267
APEH	1670	1160	1754	1539
APEX1	1805	1380	1648	1653
APEX2	478	374	488	465
APH1A	839	519	668	525
API5	2627	2006	2693	2688
APIP	743	480	802	786
APLF	67	46	66	64
APLP1	45	42	56	50
APLP2	5036	3827	5054	4838
APMAP	759	576	853	728
APOA1BP	1352	865	1309	1112
APOBEC3C	30	39	24	20
APOC1	71	57	59	68
APOL2	122	76	161	118
APOO	239	167	253	190
APOOL	213	200	267	223
APP	3050	2691	3399	3528
APPBP2	718	525	814	706
APPL1	1852	1303	1862	1565
APPL2	343	283	424	384
APRT	1133	830	1282	1087
APTX	543	368	570	596
AQR	1732	1243	1706	1513
ARAF	387	348	412	365
ARAP1	553	600	727	635
ARAP2	316	214	356	358
ARCN1	1996	1558	2242	2207
AREL1	638	447	530	489
ARF1	2969	2107	2183	1904
ARF3	542	381	521	436
ARF4	949	781	1031	975
ARF5	809	548	872	847
ARF6	363	240	284	255
ARFGAP1	433	302	438	372
ARFGAP2	722	559	763	711
ARFGAP3	370	315	382	354
ARFGEF1	1604	1333	1761	1575
ARFGEF2	1765	1424	2030	1693
ARFIP1	292	192	296	263
ARFIP2	829	649	858	784
ARFRP1	134	84	156	154
ARG2	261	181	262	242
ARGLU1	688	473	669	788
ARHGAP1	173	192	246	196
ARHGAP10	413	341	476	427
ARHGAP11A	1976	1715	2394	2230
ARHGAP11B	360	335	533	528
ARHGAP12	450	322	473	407
ARHGAP17	343	457	591	422
ARHGAP18	208	174	286	263
ARHGAP19	607	470	676	596
ARHGAP20	47	42	60	59
ARHGAP21	2083	1633	2211	1923
ARHGAP22	166	117	171	140
ARHGAP24	39	37	50	51
ARHGAP26	143	140	191	172
ARHGAP27	30	18	29	33
ARHGAP28	50	30	44	35
ARHGAP29	413	360	453	360
ARHGAP31	76	93	88	69
ARHGAP32	322	359	396	329
ARHGAP33	25	45	36	38
ARHGAP35	1599	1516	1990	1680
ARHGAP39	148	125	168	129
ARHGAP42	112	86	133	91
ARHGAP44	119	92	136	120
ARHGAP5	3543	2909	4130	3658
ARHGDIA	495	711	768	744
ARHGDIG	56	40	65	65
ARHGEF1	330	244	335	284
ARHGEF10	313	288	376	368
ARHGEF10L	69	56	76	56
ARHGEF11	799	819	886	781
ARHGEF12	3510	2766	3924	3264
ARHGEF16	65	48	46	35
ARHGEF17	63	78	95	82
ARHGEF18	477	369	475	485
ARHGEF2	331	313	391	379
ARHGEF25	280	209	275	251
ARHGEF26	426	407	505	462
ARHGEF28	54	36	49	40
ARHGEF3	137	104	120	103
ARHGEF39	168	121	181	158
ARHGEF4	100	98	84	79
ARHGEF40	112	80	118	112
ARHGEF6	210	175	178	180
ARHGEF7	324	319	394	392
ARHGEF9	215	160	222	193
ARID1A	691	1205	1259	966
ARID1B	1024	1174	1255	1044
ARID2	1427	1185	1511	1320
ARID3A	74	51	81	62
ARID3B	258	298	306	251
ARID4A	471	377	492	470
ARID4B	2168	1748	2279	2140
ARID5A	64	59	51	61
ARID5B	230	182	238	176
ARIH1	1185	1024	1394	1325
ARIH2	2183	1576	2197	2044
ARL1	616	435	585	558
ARL10	55	87	131	135
ARL13B	457	302	464	414
ARL14EP	332	286	419	381
ARL15	121	63	116	91
ARL16	209	140	233	196
ARL17A	743	664	991	910
ARL2	486	316	421	406
ARL2BP	331	259	311	266
ARL3	211	156	204	184
ARL4A	205	152	264	206
ARL4C	56	51	63	66
ARL4D	38	33	56	45
ARL5A	540	343	607	532
ARL5B	345	227	365	332
ARL6	136	106	147	161
ARL6IP1	1374	925	1377	1311
ARL6IP4	1047	818	1218	1244
ARL6IP5	532	399	623	622
ARL6IP6	232	153	244	183
ARL8A	179	119	170	181
ARL8B	336	235	342	289
ARMC1	574	425	572	579
ARMC10	474	312	530	434
ARMC2	47	38	39	39
ARMC4	201	166	254	219
ARMC5	149	126	138	146
ARMC6	856	715	906	714
ARMC8	744	544	709	693
ARMC9	271	255	357	326
ARMCX2	35	27	36	24
ARMCX3	302	200	325	318
ARMCX4	64	78	116	82
ARMCX5	493	351	532	480
ARMCX5-GPRASP2	1146	840	1320	1182
ARMCX6	103	64	104	124
ARNT	641	560	666	620
ARNT2	216	199	288	258
ARNTL	98	57	91	74
ARNTL2	624	508	709	603
ARPC1A	1547	1157	1581	1377
ARPC1B	296	265	336	289
ARPC2	1795	1324	1669	1420
ARPC3	1480	971	1537	1455
ARPC5	458	304	448	494
ARPC5L	202	130	189	229
ARPP19	347	292	396	379
ARRB1	84	77	105	87
ARRB2	385	299	344	276
ARRDC1	183	152	155	122
ARRDC3	85	63	105	85
ARRDC4	134	85	171	170
ARSA	63	64	77	60
ARSB	180	154	202	161
ARSG	59	48	74	47
ARSK	142	108	143	132
ARV1	548	368	528	513
ARVCF	122	86	139	130
AS3MT	225	143	203	228
ASAH1	363	261	420	426
ASAH2	103	57	54	57
ASAH2B	87	51	48	54
ASAP1	420	537	617	500
ASAP2	251	258	329	282
ASAP3	139	111	177	155
ASB1	180	139	174	195
ASB13	166	94	174	157
ASB3	669	457	761	680
ASB6	417	296	373	324
ASB7	211	154	215	206
ASB8	124	117	182	175
ASCC1	276	229	335	310
ASCC2	764	701	795	691
ASCC3	4860	3599	5192	4699
ASF1A	492	322	469	483
ASF1B	434	323	401	336
ASH1L	3215	3405	4324	3852
ASH2L	391	352	456	437
ASIC1	81	92	126	103
ASL	197	175	229	175
ASMT	90	92	132	134
ASMTL	346	332	400	400
ASNA1	777	475	688	653
ASNS	2480	1961	2594	2358
ASNSD1	2175	1569	2378	2255
ASPH	1235	941	1374	1251
ASPHD2	36	43	45	45
ASPM	11455	8302	11761	10685
ASPSCR1	225	185	244	223
ASRGL1	254	194	300	289
ASS1	437	323	493	416
ASTE1	255	186	260	183
ASTN2	47	38	40	41
ASUN	1765	1313	1786	1836
ASXL1	1692	1716	2053	1756
ASXL2	698	785	938	783
ASXL3	48	58	66	65
ATAD1	676	519	751	689
ATAD2	2936	2252	3138	3088
ATAD2B	1039	691	1126	935
ATAD3A	1708	1260	1831	1722
ATAD3B	1684	1286	1756	1706
ATAD3C	468	344	545	540
ATAD5	1718	1645	2136	2077
ATAT1	41	42	53	51
ATE1	556	460	631	613
ATF1	357	257	296	288
ATF2	752	520	687	656
ATF3	43	38	36	46
ATF4	8986	6226	8940	8940
ATF5	47	49	44	32
ATF6	1248	906	1157	1065
ATF6B	353	257	300	251
ATF7	69	74	96	68
ATF7IP	908	967	1137	1063
ATF7IP2	62	52	90	79
ATG10	53	38	60	45
ATG12	171	112	141	103
ATG13	498	374	461	415
ATG14	260	206	236	259
ATG16L1	571	470	696	591
ATG16L2	56	49	66	65
ATG2A	499	519	637	588
ATG2B	1377	1134	1539	1335
ATG3	1260	809	1179	1101
ATG4A	313	238	328	261
ATG4B	560	427	577	522
ATG4C	718	500	665	681
ATG4D	314	235	291	251
ATG5	555	415	600	544
ATG7	777	657	895	810
ATG9A	596	518	654	534
ATHL1	121	103	128	99
ATIC	1016	1569	1679	1515
ATL1	60	41	62	55
ATL2	1294	1065	1563	1600
ATL3	355	257	376	300
ATM	3534	2892	4094	3748
ATMIN	1154	818	1163	978
ATN1	155	247	288	221
ATOX1	124	59	76	86
ATP10D	210	156	198	188
ATP11A	249	324	372	345
ATP11B	963	672	924	915
ATP11C	1648	1321	1881	1775
ATP13A1	662	726	817	723
ATP13A2	568	546	675	580
ATP13A3	2071	1638	2199	2085
ATP1A1	9234	8294	9572	9000
ATP1A3	57	81	114	73
ATP1B1	247	242	342	344
ATP1B3	917	728	1001	951
ATP2A2	3221	4289	5163	4724
ATP2B1	1896	1371	2038	2004
ATP2B4	598	698	813	745
ATP2C1	1380	1181	1604	1576
ATP5A1	10823	7036	11041	10064
ATP5B	14049	9552	13859	12413
ATP5C1	2617	1690	2630	2348
ATP5D	187	130	218	162
ATP5E	889	418	735	562
ATP5F1	4561	3024	4725	4209
ATP5G1	1112	692	1056	817
ATP5G2	1208	721	1158	911
ATP5G3	2755	1752	2631	2270
ATP5H	1760	1180	1781	1728
ATP5I	1482	957	1584	1694
ATP5J	974	631	796	614
ATP5J2-PTCD1	565	429	656	634
ATP5L	1421	918	1563	1615
ATP5L2	54	33	47	29
ATP5S	148	91	158	133
ATP5SL	219	158	239	223
ATP6AP1	1167	920	1065	948
ATP6AP2	979	676	910	742
ATP6V0A1	792	910	1169	1020
ATP6V0A2	846	670	927	845
ATP6V0B	818	497	619	405
ATP6V0C	144	135	171	152
ATP6V0D1	705	564	688	591
ATP6V0E1	204	120	180	132
ATP6V0E2	185	139	217	198
ATP6V1A	3342	2385	3299	3059
ATP6V1B2	741	532	773	757
ATP6V1C1	920	708	1054	926
ATP6V1D	698	520	803	791
ATP6V1E1	1267	892	1198	1117
ATP6V1F	541	364	495	435
ATP6V1G1	802	600	879	854
ATP6V1H	888	640	975	908
ATP7A	425	331	497	485
ATP7B	608	557	670	578
ATP8A1	426	283	457	385
ATP8B2	1727	1396	1713	1515
ATP9A	505	463	520	478
ATP9B	231	215	292	297
ATPAF1	732	535	881	906
ATPAF2	304	236	336	257
ATPIF1	944	652	1081	1097
ATR	3118	2153	3198	2887
ATRAID	758	491	714	620
ATRIP	695	531	662	588
ATRN	764	649	999	855
ATRNL1	333	231	393	380
ATRX	3753	3119	4286	4096
ATXN1	135	130	127	107
ATXN10	1978	2018	2692	2286
ATXN1L	283	233	219	223
ATXN2	536	641	771	575
ATXN2L	589	1063	1190	842
ATXN3	240	187	270	257
ATXN7	369	341	381	366
ATXN7L1	83	84	95	78
ATXN7L2	168	150	156	137
ATXN7L3	314	249	374	326
ATXN7L3B	230	160	262	195
AUH	228	137	234	225
AUNIP	515	386	467	379
AUP1	1513	1051	1381	1107
AURKA	1582	1070	1498	1305
AURKAIP1	891	623	1017	1086
AURKB	1143	931	1148	1170
AUTS2	201	258	236	221
AVEN	204	166	223	225
AVL9	518	415	556	524
AX746670	29	19	36	41
AX746699	72	55	76	45
AX746750	54	42	58	66
AX747493	62	70	70	42
AX747756	33	37	39	39
AX748249	210	275	366	286
AXIN1	565	448	630	637
AXIN2	77	68	106	106
AZI1	366	329	430	392
AZI2	717	525	745	690
AZIN1	1719	1313	1754	1611
B2M	829	547	932	950
B3GALNT2	841	672	892	860
B3GALT1	34	19	27	21
B3GALT6	69	48	90	87
B3GALTL	317	229	354	277
B3GAT3	309	240	352	313
B3GNT1	522	385	611	561
B3GNT2	234	143	182	145
B3GNT5	106	84	96	101
B4GALNT1	38	32	39	40
B4GALNT3	288	248	317	238
B4GALNT4	121	101	153	151
B4GALT1	76	73	99	96
B4GALT2	460	309	452	384
B4GALT3	653	477	582	513
B4GALT4	191	144	233	211
B4GALT5	295	256	361	300
B4GALT6	86	88	92	79
B4GALT7	198	148	197	153
B9D1	565	471	590	538
BABAM1	902	687	978	861
BACE1	126	124	150	132
BACE2	173	102	183	192
BACH1	1224	973	1327	1207
BACH2	48	37	62	42
BAD	141	86	140	120
BAG1	609	481	704	759
BAG2	278	213	357	401
BAG3	174	157	207	171
BAG4	529	403	518	459
BAG5	598	470	704	748
BAG6	1744	2064	2421	1956
BAHCC1	196	298	418	271
BAHD1	148	156	200	185
BAI2	191	175	211	183
BAI3	278	219	284	278
BAIAP2	180	187	189	138
BAIAP2L1	405	353	474	445
BAK1	184	145	208	193
BAMBI	169	113	111	93
BANF1	322	211	260	321
BANP	228	182	222	233
BAP1	1545	1240	1678	1569
BARD1	884	689	907	852
BATF3	17	18	33	34
BAX	328	252	278	303
BAZ1A	4352	3316	4615	4328
BAZ1B	4829	4065	5731	5409
BAZ2A	958	1422	1670	1238
BAZ2B	660	553	755	650
BBIP1	107	70	69	93
BBS1	163	168	234	186
BBS10	323	224	334	263
BBS12	106	79	136	100
BBS2	510	423	619	583
BBS4	446	313	409	330
BBS7	904	594	854	819
BBS9	292	244	368	340
BBX	1656	1345	1700	1543
BC017347	39	42	57	67
BC024682	130	104	137	130
BC032716	83	67	118	92
BC041025	74	104	140	80
BC043620	33	30	47	42
BC071797	37	44	55	56
BC107108	151	117	176	192
BCAM	30	33	48	33
BCAP29	507	347	497	521
BCAP31	2460	1815	2539	2582
BCAR1	348	324	389	306
BCAR3	70	54	95	67
BCAS2	1292	843	1319	1321
BCAS3	581	464	614	513
BCAS4	46	16	29	28
BCAT1	732	426	768	724
BCAT2	419	270	449	408
BCCIP	1605	1040	1714	1729
BCDIN3D	83	64	72	58
BCHE	70	52	70	77
BCKDHA	366	225	292	293
BCKDHB	340	246	381	299
BCKDK	344	367	402	312
BCL10	154	122	173	188
BCL11A	83	77	124	118
BCL2L1	72	85	108	105
BCL2L11	77	65	64	55
BCL2L12	299	196	282	292
BCL2L13	772	645	864	752
BCL2L2-PABPN1	1663	1122	1527	1314
