	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
COX8A	1012	1603	818	885	642	571	1008	1319
CPB2	0	0	0	0	25	10	30	42
CPD	2236	2671	2224	2270	2014	1793	2834	4270
CPE	1282	1617	1294	1188	615	547	896	1289
CPEB2	76	104	79	67	86	73	76	144
CPEB3	57	88	58	49	62	44	49	88
CPEB4	221	272	203	202	252	245	433	572
CPLANE1	926	1014	801	821	2549	2144	2793	4505
CPLANE2	45	52	22	37	36	34	51	78
CPM	90	104	72	72	159	166	196	317
CPNE1	1022	1213	915	757	1215	1095	1643	2406
CPNE2	99	130	86	78	186	171	328	460
CPNE3	2205	2657	1919	1884	2352	2053	3710	5216
CPNE7	2	1	1	0	42	25	34	60
CPNE8	585	685	450	478	452	420	590	869
CPOX	682	939	518	579	874	891	1356	1859
CPPED1	102	115	80	86	85	80	164	189
CPS1	131	154	142	122	1451	1308	2014	2907
CPSF1	1113	1547	1037	994	1758	1476	2107	3258
CPSF2	2609	2844	2082	2065	2905	2821	4120	5733
CPSF3	2188	2421	1810	1817	2841	2638	4396	6107
CPSF4	578	585	420	441	340	305	581	733
CPSF6	2156	2866	2031	2080	2765	2644	4411	6106
CPSF7	1102	1478	933	971	789	671	1146	1657
CPT1A	265	222	172	172	252	208	304	474
CPT1B	19	11	40	18	293	272	419	661
CPT1C	56	45	34	40	52	44	86	134
CPT2	1060	1181	848	823	715	573	977	1446
CPTP	184	231	143	149	42	32	67	124
CPVL	1388	1631	1302	1301	1130	1091	1979	2910
CPZ	4	7	10	7	74	66	54	115
CR2	102	90	118	95	84	85	115	145
CRABP2	301	354	208	224	56	53	61	99
CRACR2A	78	77	63	57	224	187	241	341
CRADD	91	117	80	83	50	55	128	170
CRAMP1	238	285	177	142	473	389	513	764
CRAT	58	45	46	45	152	132	170	322
CRBN	349	448	302	299	795	720	1280	1860
CRCP	109	155	80	92	96	78	108	134
CREB1	491	583	367	373	398	355	593	915
CREB3	204	221	127	174	443	426	764	1085
CREB3L2	648	824	491	504	280	230	223	406
CREB3L4	61	91	60	65	101	90	156	198
CREB5	150	141	98	93	164	142	168	292
CREBBP	1165	1386	971	981	2040	1546	1523	3294
CREBL2	54	69	73	53	107	113	140	190
CREBRF	62	69	58	68	208	201	240	377
CREBZF	172	237	127	127	1012	1031	1512	1854
CREG1	1113	1390	1097	1077	222	188	301	411
CRELD1	93	110	88	73	149	142	208	302
CRELD2	244	403	271	284	550	605	720	1041
CREM	426	498	304	384	138	135	213	284
CRIM1	372	380	343	362	609	555	717	1058
CRIPT	313	385	248	272	202	207	241	362
CRISPLD1	313	345	307	317	349	327	521	707
CRK	592	842	494	490	860	918	1247	1794
CRKL	789	1074	583	649	1123	1083	1607	2270
CRLF3	409	422	283	319	505	450	631	967
CRLS1	70	98	55	54	28	35	30	65
CRMP1	252	263	187	207	53	41	51	76
CRNKL1	1115	1263	949	913	1453	1402	2070	2868
CROCC	122	208	129	135	247	227	253	372
CROT	279	315	239	241	265	254	339	590
CRTAP	1113	1444	1165	1061	1437	1200	1896	2781
CRTC1	163	212	145	128	158	88	122	223
CRTC2	439	565	328	385	237	209	247	410
CRTC3	163	196	150	152	270	220	289	428
CRY1	389	437	333	319	868	828	1334	1923
CRY2	49	81	57	53	209	175	276	392
CRYBG3	508	603	476	444	2850	2706	3922	5735
CRYGD	0	0	0	0	32	30	62	67
CRYL1	146	170	145	138	54	47	82	104
CRYZ	835	904	653	594	409	362	666	943
CRYZL1	439	480	373	393	475	410	563	795
CS	3305	3852	2562	2812	2524	2120	2858	4859
CSAD	26	25	20	28	133	111	141	218
CSDC2	26	19	13	14	23	21	26	46
CSDE1	8392	9579	7329	7422	24045	23105	37560	52033
CSE1L	17110	20300	14775	15569	13720	12301	22137	30951
CSF1	116	157	118	115	27	20	23	42
CSGALNACT2	137	137	128	102	180	210	232	339
CSK	1079	1389	808	864	830	730	809	1502
CSKMT	1	3	1	1	79	68	129	161
CSNK1A1	2806	3525	2428	2672	2908	2636	4689	6506
CSNK1D	844	1063	725	721	827	687	754	1321
CSNK1E	13	19	21	15	213	169	325	488
CSNK1G1	160	220	156	154	347	295	412	672
CSNK1G2	176	201	141	115	840	692	1470	1939
CSNK1G3	564	596	482	455	675	613	901	1307
CSNK2A1	441	613	375	394	827	695	1075	1694
CSNK2A2	1220	1473	1080	1093	1018	904	945	1482
CSNK2B	931	1396	759	781	308	240	576	782
CSPG4	63	87	73	67	31	32	31	51
CSPG5	118	165	109	133	393	329	564	764
CSPP1	256	332	223	191	1352	1211	1473	2197
CSRNP1	62	79	63	55	42	52	100	157
CSRNP2	164	217	122	124	282	237	311	557
CSRNP3	47	50	36	29	53	65	78	123
CSRP2	877	1314	776	766	775	799	1240	1751
CST3	1284	1709	1039	988	476	466	609	901
CSTB	1430	2097	1010	1153	434	372	757	977
CSTF1	1355	1630	977	1115	897	748	1386	2066
CSTF2	1069	1398	823	868	1642	1514	2547	3697
CSTF2T	1326	1823	975	1171	924	865	1436	1902
CSTF3	1520	1740	1068	1163	1254	1192	1801	2591
CTBP1	808	1038	627	652	1341	1282	2128	2858
CTBP2	520	562	415	380	643	543	770	1194
CTBS	236	235	177	185	136	137	188	272
CTC1	106	122	97	91	247	200	282	443
CTCF	1044	1265	869	879	1813	1715	2737	4018
CTDNEP1	188	251	154	160	293	218	300	539
CTDP1	341	488	263	295	410	405	478	792
CTDSP1	188	309	165	179	235	181	265	408
CTDSP2	316	346	243	219	185	166	226	332
CTDSPL	55	66	43	33	270	242	395	510
CTDSPL2	634	608	517	574	892	793	1353	1972
CTH	304	299	226	235	240	217	332	491
CTIF	110	128	106	80	137	148	207	328
CTNNA1	6280	7537	5090	5193	3245	2998	4439	6618
CTNNAL1	1589	1552	1235	1218	2772	2531	4243	5876
CTNNB1	8610	10993	7400	7499	14304	12840	22637	32074
CTNNBIP1	110	142	107	95	65	77	99	131
CTNNBL1	1183	1497	900	993	1038	948	1448	1908
CTNND1	1481	1746	1217	1297	2512	2267	2962	4612
CTNS	168	232	138	138	228	148	320	551
CTPS1	3051	3815	2535	2766	4105	3893	5322	7985
CTPS2	533	584	418	431	855	793	1191	1712
CTR9	2242	2651	1800	1894	2749	2548	4123	5388
CTRL	1	2	1	2	51	51	45	97
CTSA	969	1116	793	738	657	627	1096	1571
CTSB	1224	1351	1065	1055	372	355	558	860
CTSC	1399	1911	1435	1428	666	598	1036	1505
CTSD	78	103	55	67	28	30	65	81
CTSF	0	1	0	1	154	156	269	395
CTSH	83	79	63	55	331	349	538	772
CTSK	1	0	1	4	36	31	54	76
CTSL	813	1123	830	796	857	836	1492	1875
CTSO	11	10	10	10	29	36	58	75
CTSV	501	682	481	489	320	303	514	628
CTSZ	1340	1756	1206	1337	137	107	153	250
CTTN	2493	2969	1950	2007	2681	2781	4010	5120
CTTNBP2	179	227	162	160	203	188	216	300
CTTNBP2NL	317	404	241	219	315	288	374	518
CTU1	191	322	157	163	59	56	63	90
CTU2	204	282	176	156	519	446	900	1092
CUBN	3	4	3	9	46	45	62	87
CUEDC1	90	130	101	90	122	126	159	226
CUEDC2	994	1374	832	844	652	682	962	1452
CUL1	1980	2380	1600	1605	2793	2781	4173	6050
CUL2	2893	3098	2237	2398	1079	977	1487	2112
CUL3	2940	3364	2581	2606	3055	2859	3825	5830
CUL4A	1056	1252	849	857	890	805	1176	1749
CUL4B	2575	2647	2016	2225	3410	3171	4489	6738
CUL5	875	872	676	723	2024	1978	2698	3846
CUL7	616	818	611	591	671	561	857	1243
CUL9	201	209	205	172	481	390	444	840
CUTA	1460	1978	1312	1255	1043	995	1472	2092
CUTC	452	504	386	312	530	500	737	1009
CUX1	691	872	664	590	1010	888	1004	1782
CUX2	45	53	56	67	36	35	43	78
CWC15	922	1042	736	816	1546	1610	2466	3376
CWC22	713	857	551	560	1423	1326	2159	2856
CWC25	133	188	108	93	274	258	307	428
CWC27	594	675	488	476	842	836	1265	1539
CWF19L1	1403	1559	1108	1203	1336	1232	2045	2836
CWF19L2	330	414	309	271	1469	1368	1956	2703
CXADR	311	415	334	315	412	311	606	776
CXCL16	279	291	210	207	28	28	38	66
CXCR4	109	136	69	117	32	38	72	98
CXCR6	0	0	0	0	81	46	41	82
CXXC1	480	774	418	493	917	845	1326	1790
CXXC5	55	82	53	47	43	34	64	84
CXorf38	179	177	143	152	317	276	421	569
CXorf40A	20	10	7	15	57	59	80	144
CXorf40B	41	34	32	39	123	119	156	216
CXorf56	334	563	308	318	613	677	923	1314
CYB561	64	87	61	39	38	39	71	77
CYB561A3	84	138	93	88	163	169	270	422
CYB561D1	26	46	23	25	45	30	41	76
CYB561D2	172	221	140	166	159	97	235	300
CYB5A	462	615	341	379	484	450	622	844
CYB5B	1240	1425	931	932	970	898	1446	2032
CYB5D1	98	151	86	98	225	230	307	431
CYB5D2	132	191	124	131	153	132	167	291
CYB5R1	281	365	245	223	467	466	751	1101
CYB5R3	2588	3137	2088	1953	469	378	466	831
CYB5R4	502	503	428	400	661	589	1019	1413
CYB5RL	22	34	18	6	120	122	133	259
CYBA	1549	2280	1246	1241	728	659	1061	1408
CYBC1	130	215	149	133	190	168	241	352
CYBRD1	80	94	65	69	59	45	72	93
CYC1	2369	2878	1958	1933	2524	2174	3806	5699
CYCS	1078	1146	604	789	2161	2295	3213	4416
CYFIP1	2425	3015	2031	1991	2032	1728	3262	4495
CYFIP2	2093	2597	2168	1976	1487	1237	1870	3003
CYHR1	217	225	166	162	263	255	315	527
CYLD	273	300	203	244	893	791	1245	1822
CYP1B1	21	22	14	7	29	32	26	53
CYP20A1	248	335	227	241	473	391	615	886
CYP26A1	72	55	56	43	61	47	95	117
CYP26B1	31	15	22	17	31	22	40	62
CYP27B1	18	9	16	9	113	87	121	207
CYP27C1	7	14	7	12	17	18	22	30
CYP2D6	0	2	2	1	35	27	35	57
CYP2E1	1	0	0	0	44	46	56	65
CYP2J2	106	124	91	84	68	67	108	141
CYP2R1	56	66	49	56	206	187	287	432
CYP2U1	131	153	121	118	89	76	118	225
CYP39A1	40	44	36	52	101	86	153	219
CYP3A5	16	27	11	18	50	39	32	63
CYP4V2	37	33	30	41	157	133	163	233
CYP51A1	919	1025	732	748	1659	1602	2273	3297
CYREN	302	367	242	241	381	409	490	662
CYSTM1	574	637	437	437	134	101	211	282
CYTH1	177	209	163	179	306	284	387	581
CYTH2	192	263	158	139	325	345	589	723
CYTH3	122	139	91	89	197	185	278	425
CZIB	389	485	353	360	342	349	493	709
D2HGDH	231	377	236	215	261	234	274	476
DAAM1	264	269	214	203	447	465	434	728
DAAM2	203	214	162	151	171	150	184	284
DAB2	299	326	202	243	63	34	65	89
DAB2IP	195	267	183	163	264	207	241	453
DACH1	300	472	277	268	317	270	342	535
DACH2	12	12	7	14	29	47	60	85
DACT1	93	119	66	67	74	78	89	137
DAD1	1581	2012	1239	1268	780	689	1437	1964
DAG1	997	1340	1028	1022	1124	892	1378	2317
DAGLA	73	123	71	90	77	68	103	147
DAGLB	321	382	244	224	261	213	342	580
DALRD3	207	221	164	138	941	790	1360	1965
DAP	305	446	231	234	150	103	182	321
DAP3	1852	2106	1505	1531	2148	2071	3162	4426
DAPK1	369	418	313	268	727	640	969	1496
DAPK3	633	824	502	472	551	516	1016	1406
DARS	3228	3213	2372	2639	3079	2893	4970	6832
DARS2	2746	3012	2121	2345	1735	1473	2762	4204
DAXX	637	755	428	481	1355	1267	1847	2618
DAZAP1	2520	3202	2065	2112	2127	1899	3402	4844
DAZAP2	1418	1665	1105	1217	386	307	885	1239
DBF4	167	171	148	152	1286	1167	2110	3068
DBF4B	147	168	104	104	426	339	375	665
DBI	1149	1184	827	896	559	431	1316	1749
DBN1	1881	2373	1678	1574	1233	1158	1988	2585
DBNDD1	93	102	57	66	38	51	73	70
DBNDD2	533	727	465	505	206	169	279	414
DBNL	1450	1946	1189	1134	935	959	1240	1930
DBP	53	53	20	29	61	65	87	138
DBR1	675	763	514	587	785	691	1128	1612
DBT	626	676	456	427	564	472	632	916
DCAF1	1212	1566	978	1039	2674	2355	3216	5010
DCAF10	311	423	247	250	423	371	565	842
DCAF11	147	203	145	155	615	632	973	1399
DCAF12	555	650	389	393	994	810	1351	2032
DCAF13	1779	2144	1341	1441	2095	2081	3115	4514
DCAF15	648	834	552	494	331	322	639	924
DCAF16	443	456	319	351	603	533	934	1341
DCAF17	183	225	152	184	358	285	498	804
DCAF4	236	246	182	188	429	360	624	873
DCAF4L1	7	3	13	6	31	24	19	26
DCAF5	360	484	315	285	652	549	860	1189
DCAF6	606	720	521	487	1668	1442	2365	3446
DCAF7	1846	2369	1474	1503	771	676	954	1509
DCAF8	1	3	1	0	82	60	107	167
DCAKD	607	683	483	508	289	258	397	597
DCBLD1	209	249	180	184	383	363	531	714
DCBLD2	304	388	245	295	966	840	1501	2100
DCDC1	10	3	8	10	53	42	64	112
DCDC2	234	262	192	173	23	15	27	32
DCDC2B	1	1	0	3	78	54	82	124
DCHS1	26	26	28	14	81	57	75	130
DCK	635	745	506	552	399	377	608	925
DCLK1	320	385	275	265	40	35	54	78
DCLK2	87	99	84	75	149	108	141	212
DCLRE1A	379	391	264	304	958	827	1599	2258
DCLRE1B	264	307	189	196	352	344	510	704
DCLRE1C	138	153	81	108	530	486	655	971
DCP1A	479	574	402	374	741	630	1006	1575
DCP1B	289	343	217	248	216	211	313	449
DCP2	916	1208	674	716	1564	1433	2233	3231
DCPS	279	353	220	229	432	405	582	920
DCST1	14	23	11	10	18	11	23	40
DCTD	530	626	398	418	353	338	487	666
DCTN1	2315	2874	1992	1896	3968	3724	5122	7024
DCTN2	2900	3301	2483	2475	1686	1527	2286	3428
DCTN3	1344	1553	933	1047	442	450	774	1093
DCTN4	1840	2316	1518	1615	1080	1056	1694	2381
DCTN5	591	701	460	453	530	489	680	904
DCTN6	846	881	594	665	239	250	435	625
DCTPP1	1360	1569	1044	1007	813	716	1467	1695
DCUN1D1	443	456	371	384	334	331	431	601
DCUN1D2	35	80	47	55	218	234	259	345
DCUN1D3	23	42	24	25	75	86	108	176
DCUN1D4	351	448	290	250	591	557	747	1033
DCUN1D5	1251	1288	1042	964	1790	1802	2639	3491
DCXR	1171	1683	943	968	1020	911	1466	2111
DDA1	461	574	336	355	111	141	264	365
DDAH1	1185	1326	869	912	209	212	221	382
DDAH2	74	96	92	58	82	68	133	159
DDB1	9041	11284	7492	8010	10724	9569	18469	25272
DDB2	245	372	359	333	252	204	386	611
DDHD1	327	354	263	285	787	724	1074	1527
DDHD2	490	505	399	426	1054	977	1497	2208
DDI2	671	831	515	527	700	646	756	1145
DDIAS	250	255	187	178	710	638	1160	1810
DDIT3	34	49	31	31	89	87	117	198
DDIT4	347	509	236	271	211	187	217	255
DDIT4L	21	34	18	15	17	22	37	49
DDN	69	88	48	44	22	26	34	46
DDOST	5081	5774	4882	4545	3551	3373	6146	8643
DDR1	269	325	258	235	110	76	137	241
DDR2	527	536	504	452	469	442	616	924
DDRGK1	915	1366	916	837	1092	1299	1502	2098
DDTL	16	15	14	16	69	55	187	243
DDX1	4772	5664	4022	3967	5929	5728	8380	11698
DDX10	768	887	680	666	2134	2221	3065	4124
DDX11	233	306	241	198	846	797	1063	1529
DDX17	7572	9463	5908	6049	13016	12633	16541	24139
DDX18	1585	2045	1402	1499	3960	3872	5838	8136
DDX19A	116	134	91	85	102	110	189	224
DDX19B	25	31	14	25	113	106	142	208
DDX20	1564	1978	1196	1484	2091	1908	3265	4750
DDX21	9051	10448	7766	8226	10821	10466	16981	23465
DDX23	1479	1871	1222	1186	3500	3426	5162	7391
DDX24	5377	6954	4528	4637	4304	3941	5744	8578
DDX27	1895	2429	1565	1530	2061	2054	3007	3936
DDX28	493	631	447	431	472	415	766	1060
DDX31	698	848	561	572	781	732	1119	1632
DDX39A	3004	3975	2541	2624	2345	2152	3396	4699
DDX39B	7723	10266	7238	6802	7751	6844	11333	16441
DDX3X	6671	8127	6046	6443	10559	10147	16409	22642
DDX41	588	833	525	478	1331	1291	2075	2725
DDX42	2239	2636	1828	1836	3265	2966	4416	6107
DDX46	4687	5274	3886	4052	4383	4457	5858	7329
DDX47	1926	2216	1589	1580	2012	1929	3061	4344
DDX49	908	1220	836	805	1224	1176	1998	2838
DDX5	12561	16190	11211	12308	17583	17568	24574	34919
DDX50	1105	1119	829	827	1623	1537	2524	3558
DDX51	389	555	327	360	510	459	619	897
DDX52	1491	1634	1196	1275	1589	1417	2197	3305
DDX54	1908	2546	1484	1527	2052	2165	3472	4597
DDX55	505	614	468	457	1394	1284	1594	2285
DDX56	3533	4610	2991	3050	2649	2229	4052	6053
DDX58	77	84	61	70	157	133	229	302
DDX59	321	364	274	316	548	450	966	1410
DDX6	2120	2762	1916	2066	3514	2983	4447	6875
DDX60	108	102	100	76	87	62	117	137
DEAF1	199	236	139	133	1260	1211	1925	2811
DECR1	137	131	104	99	367	360	498	756
DECR2	78	77	66	37	77	71	105	165
DEDD	255	285	204	190	354	268	480	676
DEDD2	178	235	122	136	107	101	157	189
DEF6	9	10	7	2	41	33	66	71
DEF8	318	446	258	270	578	559	888	1193
DEGS1	2908	3817	2660	2764	2209	1976	4023	5560
DEK	5732	6249	4476	5051	6757	6823	9248	12424
DELE1	469	548	394	393	419	323	648	942
DENND1A	249	312	190	189	423	354	401	788
DENND1B	67	101	78	80	429	412	669	858
DENND2A	10	12	21	15	28	28	33	53
DENND2C	148	142	112	126	423	359	595	858
DENND3	161	150	140	127	199	150	187	328
DENND4A	629	699	506	527	1501	1320	1944	2954
DENND4B	212	272	224	148	658	492	657	1100
DENND4C	733	802	580	642	2110	1886	2833	4186
DENND5A	175	206	188	166	2535	2303	3834	5479
DENND5B	575	661	450	474	633	572	881	1271
DENND6A	384	479	351	355	1250	1145	1597	2517
DENR	1129	1258	915	1020	1349	1377	2006	2509
DEPDC1	715	751	633	676	2326	2190	3749	5247
DEPDC1B	567	605	432	460	944	1005	1456	2115
DEPDC4	82	66	50	71	49	42	69	72
DEPDC5	77	72	54	61	235	242	326	533
DEPDC7	316	311	231	247	368	316	475	723
DEPP1	10	9	7	13	25	15	48	64
DEPTOR	43	30	33	36	61	52	81	122
DERA	675	655	502	483	406	378	636	885
DERL1	678	903	656	613	464	327	673	1074
DERL2	462	655	464	417	359	267	616	873
DERL3	172	213	153	137	52	39	84	121
DERPC	512	646	343	364	917	670	1279	1962
DESI1	607	760	533	478	442	421	651	936
DESI2	305	353	271	241	575	575	918	1227
DEXI	2	10	1	5	25	30	35	55
DFFA	1365	1474	985	1041	1843	1627	2660	3869
DFFB	221	293	184	189	224	187	280	431
DGAT1	176	231	132	163	216	168	368	488
DGAT2	17	15	7	3	31	21	46	66
DGCR2	379	576	366	365	850	714	1238	1740
DGCR6	15	18	16	2	31	29	41	79
DGCR6L	117	163	82	96	408	416	658	882
DGCR8	258	389	271	286	1697	1731	2262	3136
DGKA	78	65	69	62	79	74	81	129
DGKD	275	285	259	200	862	726	1052	1602
DGKE	300	410	317	317	459	441	586	899
DGKH	380	507	364	372	850	662	860	1352
DGKQ	34	48	38	29	278	210	343	461
DGKZ	61	85	74	70	355	327	502	736
DGLUCY	174	213	155	148	131	135	195	320
DGUOK	611	749	528	553	491	413	875	1198
DHCR24	3249	4977	2816	2636	1957	1671	2760	4122
DHCR7	1434	1929	1177	1170	942	763	1644	2199
DHDDS	367	387	300	291	280	295	408	591
DHFR	4	8	8	4	78	66	66	130
DHFR2	24	29	23	18	68	57	91	121
DHODH	164	189	174	116	250	225	290	471
DHPS	737	873	628	595	509	431	822	1145
DHRS1	170	205	145	132	124	107	138	224
DHRS11	109	130	118	132	129	109	135	227
DHRS12	28	28	24	32	50	47	57	97
DHRS13	120	182	86	90	72	71	108	148
DHRS3	221	290	216	213	240	190	304	419
DHRS4	81	134	80	72	142	131	192	259
DHRS7	648	817	571	545	858	756	1379	1917
DHRS7B	288	379	254	252	508	431	780	1019
DHRSX	176	225	152	182	135	127	189	268
DHTKD1	882	1006	727	762	1307	1060	1674	2612
DHX15	5406	7383	5038	5099	7116	6767	11805	16624
DHX16	1678	2173	1358	1285	1898	1727	2890	4076
DHX29	984	1102	799	859	2383	2293	3592	5058
DHX30	2404	3297	2054	1997	6010	5158	8828	12887
DHX32	510	641	506	456	1040	950	1615	2295
DHX33	1121	1306	952	950	1136	930	1030	1935
DHX34	354	500	290	283	806	711	1122	1728
DHX35	248	252	199	218	527	498	712	1049
DHX36	2060	2458	1671	1826	3056	2866	2989	4963
DHX37	987	1421	879	823	1808	1645	2492	3558
DHX38	942	1218	758	767	2354	2165	3392	4361
DHX40	1152	1363	978	989	1497	1321	2274	3122
DHX57	1011	1191	861	893	2097	1890	2685	4105
DHX8	1830	2204	1574	1599	2699	2474	3553	5377
DHX9	8603	11330	7656	8110	19456	17633	31343	44163
DIABLO	126	151	110	87	35	25	52	81
DIAPH1	1330	1772	1429	1288	2773	2486	2036	4178
DIAPH2	320	372	285	259	1312	1208	1635	2593
DIAPH3	770	930	665	695	1911	1889	2324	3364
DICER1	1292	1412	1117	1085	5096	4778	6840	9772
DIDO1	1161	1363	991	898	3051	2670	3400	5327
DIMT1	591	657	446	517	820	641	1318	1857
DIP2A	345	403	297	302	912	787	937	1594
DIP2B	1144	1389	991	931	1776	1576	2422	3469
DIP2C	325	405	349	316	356	309	385	669
DIPK1A	245	279	219	191	214	194	294	419
DIPK1B	256	419	269	246	747	634	1079	1461
DIPK2A	266	343	200	218	387	352	489	708
DIRAS1	139	159	132	122	36	43	73	79
DIS3	2061	2269	1645	1809	3790	3668	5887	8363
DIS3L	523	679	400	462	1935	1707	2673	3867
DIS3L2	247	265	200	171	578	524	643	1035
DISC1	34	45	45	19	126	120	158	263
DISP1	71	81	58	70	162	132	273	388
DIXDC1	162	188	133	141	233	238	317	417
DKC1	2445	3251	2301	2241	4530	4535	6650	8872
DLAT	1734	2220	1536	1549	2213	1989	3607	5002
DLC1	435	519	330	386	393	258	455	722
DLD	6593	7751	5626	5557	2589	2552	3986	5398
DLEC1	0	0	2	2	45	32	64	96
DLG1	611	669	507	557	1355	1243	1919	2808
DLG3	470	434	379	401	409	348	529	771
DLG4	16	7	15	15	51	43	60	122
DLG5	474	647	445	402	1122	1013	1184	1950
DLGAP4	230	233	133	158	134	93	119	183
DLGAP5	2519	2645	1940	2201	3538	3150	5685	7903
DLK2	30	71	31	37	37	45	53	86
DLL1	68	103	61	65	70	65	63	90
DLL3	217	247	153	149	79	54	76	116
DLST	1503	1679	1173	1234	1013	940	1303	1919
DLX1	109	127	70	73	105	103	133	187
DLX2	869	1258	702	797	264	201	280	487
DMAC1	414	543	353	328	267	283	432	592
DMAC2	427	668	402	382	298	300	446	615
DMAC2L	290	349	255	280	225	197	275	432
DMAP1	662	948	587	606	456	476	591	794
DMBX1	26	24	23	21	20	12	25	32
DMC1	30	19	11	12	238	243	351	453
DMD	296	322	239	279	129	92	192	284
DMKN	1884	2016	1239	1406	783	601	1325	1769
DMPK	26	19	33	19	322	257	290	476
DMTF1	231	250	204	242	1893	1668	2821	3977
DMTN	55	64	26	42	44	43	48	66
DMWD	174	226	164	144	354	228	307	536
DMXL1	1477	1551	1168	1322	2742	2291	3588	5418
DMXL2	858	971	826	813	2053	1830	2861	4139
DNA2	1179	1255	1016	1011	1870	1750	2321	3463
DNAAF2	432	463	263	283	716	653	867	1328
DNAAF3	17	39	24	19	46	36	71	91
DNAAF4	154	154	109	89	83	69	118	129
DNAAF5	1940	2714	1641	1580	889	769	924	1614
DNAH1	31	12	71	24	467	366	443	761
DNAH10	2	4	8	4	61	55	78	99
DNAH11	82	54	99	45	600	537	781	1210
DNAH14	749	809	547	610	2878	2699	3623	5470
DNAH17	9	5	8	14	70	65	76	155
DNAH6	46	29	22	41	247	234	292	451
DNAH7	32	28	25	23	109	99	122	191
DNAJA1	3453	4788	2825	2928	5777	5715	9276	11960
DNAJA2	2256	2835	1787	2006	2256	2225	3480	4774
DNAJA3	1207	1479	992	978	1586	1461	2285	3151
DNAJA4	0	0	0	0	22	14	22	34
DNAJB1	1013	1433	686	650	793	715	1207	1573
DNAJB11	744	937	734	713	593	551	935	1240
DNAJB12	691	801	584	606	439	416	733	979
DNAJB14	172	233	143	129	245	251	372	521
DNAJB2	196	250	120	155	52	50	92	125
DNAJB4	127	128	76	99	182	156	259	363
DNAJB5	58	69	36	43	59	42	68	111
DNAJB6	308	449	267	241	406	413	663	940
DNAJB7	10	9	2	4	43	44	75	121
DNAJB9	156	190	123	168	109	94	222	297
DNAJC1	669	788	664	653	656	582	952	1415
DNAJC10	680	723	628	622	3311	3175	4737	6701
DNAJC11	1209	1700	1048	1078	1964	1847	2293	3509
DNAJC12	470	485	309	379	255	252	388	552
DNAJC13	905	983	738	724	3150	3008	4043	5841
DNAJC14	215	292	183	202	484	475	829	1146
DNAJC16	335	411	274	272	408	350	508	746
DNAJC17	128	156	90	108	251	243	372	455
DNAJC18	462	513	371	396	243	196	305	444
DNAJC19	134	149	83	102	175	195	291	410
DNAJC2	1218	1325	923	1007	2236	2251	3214	4267
DNAJC21	800	945	667	685	1077	1005	1600	2004
DNAJC22	42	45	31	39	35	29	32	60
DNAJC24	110	101	64	67	218	208	338	468
DNAJC25	35	42	43	28	197	234	296	480
DNAJC27	9	8	4	16	62	56	72	86
DNAJC28	62	54	26	37	51	49	68	98
DNAJC3	536	604	484	467	936	910	1285	1760
DNAJC30	123	183	85	107	48	45	71	91
DNAJC4	47	52	35	29	44	39	84	162
DNAJC5	572	677	472	464	394	358	517	803
DNAJC6	721	734	539	583	359	272	526	767
DNAJC7	2543	2959	1974	2050	3002	2837	4492	5898
DNAJC8	939	1055	734	808	2292	2400	3446	4556
DNAJC9	431	560	399	379	683	671	1106	1469
DNAL1	100	156	102	115	182	165	167	288
DNAL4	70	87	51	60	65	67	119	162
DNASE1	7	2	2	1	111	81	121	203
DNASE1L1	59	86	53	71	247	210	352	516
DNASE1L2	4	0	3	2	29	28	49	59
DNASE2	625	740	583	622	222	210	459	550
DND1	1	0	1	8	73	65	85	114
DNHD1	19	14	33	21	616	447	447	847
DNLZ	106	180	96	91	85	91	136	178
DNM1	343	399	286	301	279	214	248	495
DNM1L	2425	2847	2029	2194	2741	2484	4157	6081
DNM2	2662	3498	2199	2339	2591	2237	3588	5231
DNM3	60	54	63	59	198	158	238	331
DNMBP	346	421	314	311	443	357	396	620
DNMT1	5413	7257	4579	4664	6288	5646	7361	11593
DNMT3A	232	321	207	177	265	256	349	483
DNMT3B	265	343	224	258	535	470	736	1185
DNPEP	652	844	554	541	472	389	785	1081
DNPH1	970	1152	791	743	601	518	764	1096
DNTTIP1	1175	1450	914	928	518	501	741	938
DNTTIP2	1424	1410	1075	1366	4303	4087	6663	8888
DOC2A	37	41	22	20	50	32	44	104
DOCK1	688	800	605	534	2576	2323	3148	4803
DOCK11	606	561	517	478	1070	1026	1563	2244
DOCK3	104	126	144	98	780	632	796	1409
DOCK4	865	948	753	715	920	796	1150	1849
DOCK5	386	403	317	296	702	582	689	1226
DOCK6	200	193	175	137	262	198	193	378
DOCK7	1801	1916	1460	1471	3887	3517	5249	7996
DOCK8	116	143	103	111	72	69	76	139
DOCK9	291	304	240	236	835	735	1106	1709
DOHH	225	311	163	179	158	148	260	351
DOK1	24	32	21	13	97	70	107	170
DOK3	4	3	3	3	66	56	73	117
DOK4	51	56	44	46	37	31	74	115
DOLK	382	573	383	366	340	273	616	727
DOLPP1	421	593	348	358	193	158	359	491
DONSON	883	1015	700	726	1131	1032	1627	2453
DOP1A	717	850	687	633	2333	2056	3193	4733
DOP1B	434	568	448	412	461	414	450	802
DOT1L	388	496	325	295	814	701	672	1223
