	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
ECM2	109	120	47	79
ECPAS	6311	5904	4503	5541
ECSIT	552	516	465	539
ECT2	3292	2905	2428	3158
ECT2L	49	39	12	26
EDA	59	38	23	34
EDA2R	51	36	41	34
EDARADD	44	31	27	27
EDC3	861	739	445	697
EDC4	2121	1669	1651	1983
EDDM13	34	34	13	18
EDEM1	777	738	449	606
EDEM2	369	312	315	388
EDEM3	1343	1282	949	1183
EDF1	1566	1362	1126	1556
EDIL3	28	23	24	31
EDNRA	34	28	32	49
EDRF1	2236	1974	1561	1980
EEA1	1358	1178	730	1067
EED	962	883	631	878
EEF1A1	9074	7948	9846	11363
EEF1A2	226	200	174	257
EEF1AKMT1	189	161	121	175
EEF1AKMT2	130	139	69	86
EEF1AKMT3	28	14	13	22
EEF1AKMT4	61	71	50	56
EEF1AKNMT	1374	1243	846	1144
EEF1B2	1839	1677	1291	1645
EEF1D	3913	3707	3050	3769
EEF1E1	539	450	423	586
EEF1G	9804	9174	7983	10128
EEF2	47873	42076	41190	52419
EEF2K	428	391	271	328
EEF2KMT	208	143	171	184
EEFSEC	304	240	197	212
EEPD1	131	130	80	116
EFCAB10	47	48	34	46
EFCAB11	116	136	103	135
EFCAB13	78	61	30	41
EFCAB14	522	469	308	378
EFCAB2	131	105	74	94
EFCAB6	92	76	45	86
EFCAB7	455	392	303	436
EFEMP2	23	18	20	27
EFHC1	404	408	290	394
EFHD1	26	26	13	13
EFHD2	201	184	108	154
EFL1	1226	1102	902	1093
EFNA4	37	31	31	39
EFNA5	125	97	53	64
EFNB1	165	117	96	144
EFNB2	143	106	113	164
EFNB3	19	33	10	11
EFR3A	840	829	594	792
EFR3B	118	95	65	87
EFTUD2	5900	5491	4262	4959
EGFL7	102	77	59	68
EGFL8	70	52	39	44
EGFLAM	16	13	16	18
EGFR	139	128	71	95
EGLN1	697	636	466	534
EGLN2	443	422	315	445
EGLN3	49	44	29	29
EHBP1	1490	1352	846	1017
EHBP1L1	52	41	23	25
EHD1	318	305	212	275
EHD3	149	145	107	142
EHD4	406	423	383	491
EHHADH	176	172	127	180
EHMT1	1354	1248	877	1189
EHMT2	1331	1174	871	1183
EI24	2458	2090	2029	2527
EID1	1268	1239	817	1084
EID2	242	253	158	207
EID2B	40	44	23	24
EID3	102	109	28	56
EIF1	1356	1259	622	748
EIF1AD	285	274	161	206
EIF1AX	390	462	358	488
EIF1B	396	355	227	295
EIF2A	2647	2306	2127	2576
EIF2AK1	2356	2108	1418	1912
EIF2AK2	1101	992	646	887
EIF2AK3	478	410	355	466
EIF2AK4	1947	1704	1299	1677
EIF2B1	1271	1121	968	1177
EIF2B2	771	681	589	710
EIF2B3	1396	1366	1044	1291
EIF2B4	762	769	539	708
EIF2B5	968	921	849	1063
EIF2D	1606	1520	1324	1563
EIF2S1	1890	1793	1434	1751
EIF2S2	1771	1731	1517	1846
EIF2S3	4123	3631	3296	4406
EIF3A	14237	13983	10035	12894
EIF3B	8719	8497	6437	8188
EIF3C	73	67	75	107
EIF3D	7962	7298	6465	7726
EIF3E	7170	6360	6150	7753
EIF3F	1451	1387	1095	1416
EIF3G	2681	2519	2339	2986
EIF3H	2626	2459	1978	2683
EIF3I	6877	6184	6619	7813
EIF3J	746	724	536	740
EIF3K	3584	3476	2801	3527
EIF3L	6687	5567	6131	7667
EIF3M	6981	6865	5046	6246
EIF4A1	17424	16183	13420	16868
EIF4A2	2874	2822	2354	3002
EIF4A3	3496	3164	2659	3617
EIF4B	3520	3365	2796	3616
EIF4E	264	247	190	248
EIF4E2	865	810	744	944
EIF4E3	89	81	51	57
EIF4EBP1	589	615	397	523
EIF4EBP2	157	128	99	172
EIF4ENIF1	810	778	506	670
EIF4G1	16497	14747	9729	14059
EIF4G2	25051	22051	15911	19333
EIF4G3	4573	3991	2749	3623
EIF4H	1109	958	1108	1319
EIF5	5112	4774	3773	4596
EIF5A	2767	2723	1974	2622
EIF5A2	104	104	59	74
EIF5B	3694	3726	1881	2820
EIF6	815	738	710	908
EIPR1	461	431	317	390
ELAC1	79	77	52	72
ELAC2	3152	2847	2479	3208
ELAVL1	1476	1258	952	1367
ELAVL2	164	134	130	175
ELF1	381	291	235	293
ELF2	940	844	676	829
ELF4	272	224	136	134
ELK1	487	374	330	404
ELK3	66	71	62	71
ELK4	290	287	177	189
ELL	157	129	111	134
ELL2	226	223	221	286
ELL3	71	52	48	76
ELMO1	31	29	24	34
ELMO2	556	479	347	436
ELMO3	65	59	45	50
ELMOD1	63	49	50	46
ELMOD2	561	545	422	535
ELMOD3	204	118	159	168
ELMSAN1	394	322	193	202
ELOA	2412	2243	1618	2211
ELOB	1844	1671	1438	1683
ELOC	584	550	547	626
ELOF1	355	361	243	403
ELOVL1	306	252	277	361
ELOVL2	153	133	127	161
ELOVL4	282	306	253	341
ELOVL5	932	699	841	971
ELOVL6	201	151	126	159
ELOVL7	124	120	77	103
ELP1	4862	4428	3524	4376
ELP2	1879	1635	1329	1576
ELP3	688	662	524	703
ELP4	580	453	462	564
ELP5	793	719	701	875
ELP6	750	741	640	730
EMB	317	262	266	370
EMC1	1983	1739	1179	1626
EMC10	965	873	905	1000
EMC2	606	631	452	561
EMC3	991	845	975	1168
EMC4	603	507	472	529
EMC6	103	116	160	200
EMC7	328	309	263	360
EMC8	551	494	425	488
EMC9	186	220	168	190
EMD	856	757	732	889
EME1	596	544	439	490
EME2	162	153	98	105
EMG1	1034	945	746	890
EMID1	37	27	23	25
EMILIN1	29	23	28	28
EMILIN2	665	546	373	448
EMILIN3	201	170	154	172
EML1	532	567	422	525
EML2	155	148	128	140
EML3	220	224	171	191
EML4	2211	2035	1693	2135
EML6	267	219	160	184
EMP2	119	67	106	130
EMP3	72	49	67	73
EMSY	553	446	331	450
EMX1	28	22	17	18
EN2	157	117	83	123
ENAH	2881	2631	2453	3102
ENC1	102	75	65	87
ENDOD1	131	116	112	141
ENDOG	342	324	251	349
ENDOV	117	113	72	89
ENGASE	292	300	208	293
ENHO	16	13	16	24
ENKD1	133	99	82	103
ENO1	41764	38197	36836	43450
ENO2	171	147	91	136
ENO3	26	30	18	27
ENO4	38	40	18	26
ENOPH1	837	841	521	678
ENOSF1	441	405	288	328
ENOX1	212	208	155	184
ENOX2	546	471	377	486
ENPEP	64	68	47	45
ENPP1	636	601	512	573
ENPP4	242	228	218	266
ENPP5	30	30	18	35
ENSA	1034	1008	799	1081
ENTPD1	34	23	12	12
ENTPD4	513	497	374	446
ENTPD5	233	157	135	159
ENTPD6	513	510	389	487
ENTPD7	718	643	526	621
ENTR1	981	959	662	874
ENY2	986	1019	710	959
EOGT	387	285	302	335
EOMES	30	36	29	45
EP300	2917	2235	1130	1535
EP400	1759	1291	496	726
EPAS1	79	57	43	51
EPB41	3238	2913	2127	2677
EPB41L1	252	212	137	162
EPB41L2	2487	2246	1504	2044
EPB41L3	1049	947	718	977
EPB41L4A	114	86	51	68
EPB41L4B	168	162	95	164
EPB41L5	571	492	382	511
EPC1	595	520	397	558
EPC2	1047	987	839	1083
EPDR1	43	47	25	44
EPG5	971	876	548	741
EPHA10	38	27	29	22
EPHA2	159	138	111	134
EPHA3	397	338	297	359
EPHA4	641	535	461	557
EPHA5	58	56	41	58
EPHA6	527	519	299	453
EPHA7	1139	1072	731	1023
EPHA8	65	53	62	58
EPHB1	64	46	39	48
EPHB2	213	183	169	215
EPHB3	20	22	17	24
EPHB4	1068	981	782	971
EPHX1	367	307	175	242
EPHX2	131	102	67	110
EPHX4	65	62	42	53
EPM2A	65	48	46	42
EPN1	686	644	317	408
EPN2	436	342	321	396
EPOP	33	37	11	23
EPOR	51	31	28	43
EPPK1	227	196	102	144
EPRS	15221	14356	11580	14399
EPS15	1645	1416	1065	1343
EPS15L1	533	499	297	443
EPS8	469	395	365	430
EPS8L1	40	39	20	36
ERAL1	595	534	461	596
ERAP1	133	125	90	135
ERBB2	589	543	422	521
ERBB3	36	30	32	34
ERBB4	120	123	68	101
ERBIN	2603	2307	1904	2423
ERC1	1291	1215	588	764
ERC2	382	303	221	324
ERCC1	538	493	419	495
ERCC2	558	470	382	523
ERCC3	1995	1770	1620	1849
ERCC4	637	659	479	557
ERCC6	1006	1013	689	858
ERCC6L	1841	1585	1323	1699
ERCC6L2	1919	1717	1322	1771
ERCC8	475	509	363	449
ERF	213	169	156	177
ERFE	52	34	26	40
ERG28	208	142	143	174
ERGIC1	435	344	489	626
ERGIC2	976	963	771	976
ERGIC3	2421	2170	2000	2519
ERH	1358	1435	1305	1729
ERI1	410	374	242	280
ERI2	689	599	520	655
ERI3	924	808	753	913
ERICH1	257	230	166	215
ERICH5	61	61	42	40
ERLEC1	669	600	523	645
ERLIN1	480	467	293	412
ERLIN2	586	520	434	596
ERMAP	110	105	74	77
ERMARD	322	298	281	319
ERMP1	354	296	214	333
ERN1	139	125	76	108
ERO1A	1444	1347	913	1136
ERO1B	306	299	187	241
ERP29	1032	992	1001	1191
ERP44	808	732	645	753
ERRFI1	273	256	279	336
ERV3-1	94	84	47	76
ERVFRD-1	148	132	56	81
ERVK3-1	411	443	281	393
ESCO1	941	875	688	838
ESCO2	619	536	504	595
ESD	2578	2397	2053	2472
ESF1	1540	1653	1192	1494
ESPL1	2442	1946	1301	1712
ESPNL	94	84	62	85
ESR2	33	37	19	27
ESRP2	254	201	180	184
ESRRA	227	217	179	215
ESRRB	24	30	10	21
ESRRG	36	48	27	25
ESS2	748	768	507	653
ESYT1	2465	2216	1718	2391
ESYT2	1199	1049	906	1139
ETAA1	714	702	577	720
ETF1	3429	3375	2609	3334
ETFA	3370	3184	2692	3268
ETFB	964	946	654	837
ETFBKMT	23	16	18	19
ETFDH	893	789	648	835
ETFRF1	110	136	66	125
ETHE1	89	87	80	105
ETNK1	1097	939	678	889
ETNK2	164	173	127	153
ETNPPL	27	22	19	24
ETS2	371	279	230	268
ETV1	21	22	27	24
ETV3	228	221	219	265
ETV6	39	33	27	38
EVC	508	455	210	286
EVI2B	60	57	24	32
EVI5	1171	1048	747	977
EVI5L	181	156	104	137
EVL	397	328	218	295
EWSR1	6724	6604	5251	7102
EXD2	487	450	305	398
EXD3	33	36	20	21
EXO1	4194	3981	2996	3797
EXO5	64	71	62	70
EXOC1	1070	1039	804	1090
EXOC2	1634	1459	1213	1677
EXOC3	716	673	496	644
EXOC4	1492	1308	1034	1299
EXOC5	1337	1272	924	1229
EXOC6	1116	1038	794	982
EXOC6B	1038	845	582	786
EXOC7	1410	1224	1132	1419
EXOC8	1549	1413	981	1197
EXOG	511	467	265	305
EXOSC1	401	361	334	436
EXOSC10	3386	3034	2560	3277
EXOSC2	1673	1649	1164	1504
EXOSC3	983	895	633	819
EXOSC4	549	455	345	449
EXOSC5	449	467	353	413
EXOSC6	159	196	66	100
EXOSC7	1172	1120	794	959
EXOSC8	1382	1320	951	1225
EXOSC9	2053	2002	1633	1870
EXPH5	693	517	377	473
EXT1	827	696	663	842
EXT2	1575	1486	1277	1551
EXTL2	289	212	185	253
EXTL3	468	430	317	427
EYA1	245	241	182	251
EYA2	67	48	50	59
EYA3	1045	770	671	896
EYA4	460	460	409	579
EYS	111	110	77	102
EZH1	392	352	236	363
EZH2	1811	1677	1243	1596
EZR	2188	2175	1754	2208
F11R	200	202	158	200
F12	41	38	27	35
F2R	157	146	122	163
F2RL1	209	167	150	191
F3	30	30	22	23
F8	124	109	79	103
FAAH	19	33	22	31
FAAH2	30	38	21	34
FAAP100	690	592	497	612
FAAP20	126	133	84	129
FAAP24	73	65	38	63
FABP3	43	26	29	21
FADD	262	212	181	225
FADS1	514	393	432	565
FADS2	443	348	357	488
FADS3	81	69	70	87
FAF1	2532	2292	1798	2288
FAF2	1052	999	916	1178
FAH	463	401	382	405
FAHD1	307	298	244	245
FAHD2A	234	197	146	209
FAHD2B	69	64	62	52
FAIM	933	864	597	782
FAM102A	67	58	40	33
FAM102B	281	259	194	248
FAM104A	138	146	88	125
FAM104B	181	154	143	138
FAM107B	130	127	119	89
FAM110B	55	45	35	17
FAM114A1	57	78	50	61
FAM114A2	501	465	393	468
FAM117A	161	102	72	95
FAM117B	276	249	176	235
FAM118A	256	227	176	213
FAM118B	508	441	386	476
FAM120A	2973	2732	2080	2515
FAM120AOS	129	117	102	117
FAM120B	1390	1174	806	1085
FAM120C	235	182	150	180
FAM122A	170	159	133	213
FAM122B	540	423	251	331
FAM122C	24	15	24	16
FAM124A	20	20	16	20
FAM126A	979	896	771	928
FAM126B	463	416	303	434
FAM129A	44	39	31	34
FAM129B	830	745	584	759
FAM131A	45	36	26	41
FAM133B	126	142	111	127
FAM135A	1348	1218	1057	1215
FAM136A	446	388	318	386
FAM13A	795	777	522	661
FAM13B	1394	1241	867	1079
FAM13C	68	53	44	47
FAM149A	75	58	43	51
FAM149B1	370	339	247	292
FAM151B	88	51	35	51
FAM155B	70	64	59	62
FAM160A1	236	183	147	175
FAM160A2	438	386	306	405
FAM160B1	494	434	315	384
FAM160B2	132	101	62	91
FAM161A	329	336	167	248
FAM161B	87	79	54	82
FAM162A	875	893	612	816
FAM168A	81	60	72	88
FAM168B	323	246	339	404
FAM169A	981	894	650	872
FAM171A1	628	573	393	581
FAM171A2	112	105	75	103
FAM171B	372	335	346	420
FAM172A	293	311	239	248
FAM173A	261	229	189	187
FAM174A	89	64	41	76
FAM174B	23	13	12	10
FAM177A1	285	247	209	263
FAM184A	816	774	479	726
FAM184B	98	63	28	41
FAM185A	107	99	69	98
FAM186B	127	93	41	52
FAM189A1	29	12	12	25
FAM189B	512	422	158	283
FAM192A	489	488	458	553
FAM193A	722	636	316	463
FAM193B	618	464	346	423
FAM199X	1297	1125	974	1329
FAM200A	266	248	173	241
FAM200B	379	362	266	306
FAM204A	887	920	612	778
FAM206A	148	136	107	114
FAM207A	179	203	109	139
FAM20A	24	13	23	18
FAM20B	815	752	545	649
FAM20C	37	47	22	41
FAM210A	244	237	175	243
FAM210B	141	130	77	106
FAM214A	279	214	164	202
FAM216A	592	512	537	666
FAM217B	452	385	326	409
FAM219A	100	97	53	69
FAM219B	245	242	178	196
FAM221A	62	58	29	42
FAM222A	38	20	36	31
FAM222B	80	56	44	45
FAM227A	131	126	75	103
FAM227B	27	28	14	31
FAM228B	22	21	16	12
FAM229B	155	140	119	132
FAM234A	40	42	36	46
FAM234B	479	444	289	350
FAM241A	115	101	57	84
FAM241B	33	24	22	47
FAM32A	376	346	216	278
FAM3A	347	317	239	311
FAM3C	26	44	26	33
FAM45A	87	65	66	56
FAM49B	1158	1108	919	1132
FAM50A	1393	1513	1092	1431
FAM50B	34	31	31	47
FAM53A	21	16	16	18
FAM53B	377	345	282	341
FAM53C	376	346	419	516
FAM57A	232	215	151	171
FAM71E1	47	36	30	30
FAM72A	43	41	18	39
FAM72B	29	41	28	36
FAM76A	342	336	278	343
FAM76B	288	294	242	312
FAM78A	16	11	10	10
FAM81A	88	42	36	51
FAM83B	122	83	81	103
FAM83D	964	836	765	934
FAM83G	334	312	202	272
FAM83H	171	168	110	152
FAM84B	255	226	188	254
FAM86C1	23	12	11	19
FAM89A	124	121	63	93
FAM89B	66	46	47	62
FAM8A1	338	367	261	294
FAM91A1	1209	1136	859	1160
FAM92A	440	425	316	418
FAM95C	61	36	22	39
FAM98A	1283	1213	912	1207
FAM98B	518	334	235	296
FAM98C	81	70	44	79
FAN1	848	768	612	675
FANCA	2337	1822	1242	1580
FANCB	1289	1241	810	984
FANCC	429	362	288	323
FANCD2	4369	3952	2924	3656
FANCE	431	333	262	293
FANCG	720	615	546	631
FANCI	6473	5999	4782	5879
FANCL	911	951	685	899
FANCM	1708	1671	1132	1568
FAR1	2075	1943	1429	1854
FAR2	507	466	439	541
FARP1	560	431	308	465
FARP2	959	792	635	859
FARS2	449	428	329	436
FARSA	2400	2244	1744	2117
FARSB	2129	1735	1599	1981
FAS	83	73	63	60
FASN	12081	8941	4550	5908
FASTK	871	823	713	828
FASTKD1	1118	1041	923	1123
FASTKD2	1681	1505	1223	1419
FASTKD3	426	412	398	485
FASTKD5	1106	803	765	900
FAT1	5776	5032	3897	4948
FAT2	111	83	55	73
FAT3	422	372	304	392
FAT4	662	598	432	571
FAU	3429	3062	2990	3854
FAXC	185	183	108	162
FAXDC2	74	60	27	36
FBF1	404	347	275	353
FBH1	1823	1671	1333	1694
FBL	3498	3494	2560	3244
FBLIM1	47	53	42	44
FBLN1	243	205	138	156
FBLN2	22	16	21	12
FBLN5	42	40	20	28
FBN1	1056	902	622	865
FBN2	3801	3288	2193	2799
FBRS	374	265	168	195
FBRSL1	413	335	186	216
FBXL12	174	147	113	153
FBXL13	94	63	38	44
FBXL14	169	130	152	174
FBXL15	195	166	102	125
FBXL17	179	157	112	130
FBXL18	185	159	107	140
FBXL19	884	715	505	630
FBXL2	218	178	148	164
FBXL20	236	202	161	229
FBXL3	1193	1085	832	1032
FBXL4	603	571	438	519
FBXL5	1293	1145	879	1111
FBXL6	253	230	174	212
FBXL8	53	48	38	47
FBXO10	474	319	273	358
FBXO11	1316	1071	662	767
FBXO16	52	60	37	40
FBXO17	78	54	42	47
FBXO21	1164	1036	896	1018
FBXO22	1398	1283	895	1129
FBXO25	218	191	176	216
FBXO27	14	18	12	25
FBXO28	1233	1051	925	1114
FBXO3	818	753	665	767
FBXO30	1128	944	678	947
FBXO31	240	249	160	205
FBXO32	78	70	48	65
FBXO33	412	478	394	462
FBXO34	724	606	519	717
FBXO36	11	18	18	10
FBXO38	877	758	659	749
FBXO4	178	176	150	178
FBXO41	43	40	25	18
FBXO42	619	575	473	612
FBXO44	106	85	57	72
FBXO45	154	129	126	137
FBXO46	148	140	99	104
FBXO48	23	15	16	23
FBXO5	1754	1647	1292	1683
FBXO7	1955	1560	1439	1749
FBXO8	225	214	149	224
FBXO9	1724	1492	1187	1329
FBXW11	1264	1256	914	1059
FBXW2	937	889	606	797
FBXW4	256	210	176	215
FBXW5	822	708	707	848
FBXW7	630	564	495	598
FBXW8	310	301	181	217
FBXW9	195	207	169	226
FCF1	486	461	309	379
FCGRT	73	81	44	79
FCHO1	35	39	30	36
FCHO2	446	422	333	421
FCHSD1	113	95	67	83
FCHSD2	493	434	274	363
FDFT1	1886	1758	1489	1814
FDPS	2946	2612	2275	2876
FDX1	241	280	150	167
FDX2	105	97	70	89
FDXACB1	93	77	75	108
FDXR	296	298	222	225
FECH	629	523	484	577
FEM1A	813	778	694	904
FEM1B	2104	1826	1629	1895
FEM1C	566	457	313	398
FEN1	2140	2063	1799	1997
FER	596	529	405	529
FER1L5	40	51	26	21
FERMT1	55	46	39	47
FERMT2	1122	1056	911	1155
FEZ1	70	62	58	55
FEZ2	475	492	349	410
FGD1	414	349	178	263
FGD4	108	109	100	108
FGD6	249	202	194	203
FGF2	81	68	44	50
FGF9	14	22	11	10
FGFR1	585	453	377	536
FGFR1OP	1149	1059	692	979
FGFR1OP2	555	523	430	558
FGFR2	603	490	370	489
FGFR3	656	579	468	603
FGFR4	223	174	150	184
FGFRL1	196	173	134	157
FGGY	117	106	58	87
FH	2185	1933	1772	2298
FHAD1	49	42	30	46
FHDC1	24	29	17	23
FHIT	39	37	28	35
FHL1	930	842	657	853
FHL2	141	141	116	142
FHL3	46	38	23	34
FHOD1	635	584	337	495
FHOD3	205	208	139	160
FIBP	784	735	652	755
FICD	76	72	45	71
FIG4	601	590	507	573
FIGN	204	165	90	111
FIGNL1	1829	1630	1443	1821
FILIP1L	529	500	286	317
FIP1L1	600	534	627	738
FIS1	859	805	607	752
FITM2	108	87	58	55
FIZ1	26	29	18	21
FJX1	135	104	77	97
FKBP10	1088	997	878	1102
FKBP11	126	104	61	64
FKBP14	313	287	173	243
FKBP15	1090	902	735	964
FKBP1A	256	192	117	155
FKBP1B	33	28	24	24
FKBP2	18	25	20	23
FKBP3	1740	1757	1280	1632
FKBP4	6825	6278	5302	6343
FKBP5	583	583	335	509
FKBP7	170	140	118	136
FKBP8	1485	1475	980	1218
FKBP9	220	201	140	178
FKBPL	323	254	251	276
FKRP	120	103	79	95
FKTN	526	497	352	478
FLAD1	1218	1094	945	1175
FLCN	744	619	486	624
FLII	5474	4913	4338	5412
FLNA	11448	9609	7246	9804
FLNB	5488	4913	3619	4806
FLNC	1110	911	622	784
FLOT1	568	560	400	505
FLOT2	459	401	243	315
FLRT3	127	94	121	156
FLT1	151	127	111	126
FLT4	505	463	378	481
FLVCR1	607	520	429	512
FLVCR2	52	25	24	31
FLYWCH1	524	502	286	348
FLYWCH2	221	239	174	234
FMC1	131	159	115	123
FMN2	232	226	97	141
FMNL1	19	20	13	17
FMNL2	1055	979	711	865
FMNL3	199	181	110	140
FMO1	19	17	26	16
FMO3	30	34	13	22
FMO4	43	53	31	48
FMO5	23	22	15	23
FMR1	2093	2062	1218	1726
FN1	630	542	358	511
FN3KRP	330	325	269	265
FNBP1	447	381	235	334
FNBP1L	466	447	381	450
FNBP4	2165	1937	1348	1727
FNDC1	53	30	22	23
FNDC3A	2370	2043	1712	2117
FNDC3B	536	485	376	480
FNDC4	37	40	42	38
FNDC8	32	37	24	28
FNIP1	1239	1088	856	1007
FNIP2	816	660	505	568
FNTA	663	674	455	606
FNTB	27	14	14	27
FOCAD	3173	2765	2451	2967
FOPNL	451	452	261	372
FOSL2	10	17	17	17
FOXA1	64	41	41	48
FOXB1	26	24	21	34
FOXC1	672	635	471	638
FOXD1	123	121	86	111
FOXD3	41	42	29	29
FOXF2	86	76	61	85
FOXG1	106	76	81	126
FOXJ2	89	59	52	59
FOXJ3	466	391	309	370
FOXK1	296	217	179	257
FOXK2	1092	912	749	969
FOXM1	1464	1149	925	1189
FOXN2	306	260	222	271
FOXN3	211	201	150	184
FOXN4	25	10	16	13
FOXO1	286	217	136	179
FOXO3	174	165	98	158
FOXO4	82	81	89	83
FOXP1	40	31	22	37
FOXP2	241	180	186	241
FOXP4	158	119	62	59
FOXRED1	553	491	416	496
FOXRED2	1676	1391	813	1075
FP565260.1	108	85	90	131
FPGS	549	498	401	444
FPGT	402	363	373	506
FRA10AC1	491	514	325	433
FRAS1	1264	1042	614	881
FRAT2	55	65	31	37
FREM2	1081	900	710	941
FRG1	276	329	246	265
FRK	33	27	17	28
FRMD3	26	29	20	24
FRMD4A	152	157	109	114
FRMD4B	85	62	66	74
FRMD5	129	133	82	104
FRMD6	306	254	294	330
FRMD8	179	170	97	127
FRMPD1	15	22	13	18
FRMPD3	30	37	14	22
FRRS1	373	294	281	319
FRRS1L	31	18	16	14
FRS2	445	365	318	443
FRS3	29	35	20	30
FRY	167	157	107	156
FRYL	1547	1420	1192	1369
FSBP	183	143	86	142
FSCN1	186	157	109	166
FSD1	287	274	199	256
FSD1L	213	173	93	134
FSD2	14	25	16	13
FSIP1	26	21	25	18
FSIP2	758	754	423	656
FSTL1	580	522	426	553
FTH1	755	742	404	604
FTL	2135	1602	1949	2461
FTO	1077	1007	710	902
FTSJ1	499	454	426	509
FTSJ3	3048	2991	2379	2989
FUBP1	5429	4759	4526	5692
FUBP3	996	920	846	1204
FUCA1	335	363	322	366
FUCA2	1504	1383	1198	1477
FUK	204	174	162	160
FUNDC1	208	239	139	209
FUNDC2	441	425	346	458
FUOM	153	162	96	152
FURIN	429	381	269	315
FUS	2923	2316	1220	1797
FUT10	245	195	185	200
FUT11	152	176	91	138
FUT4	45	23	16	34
FUT8	598	507	397	482
FUZ	389	332	330	385
FXN	182	175	131	159
FXR1	2224	2249	1576	2108
FXR2	1093	1080	886	1112
FXYD5	87	62	99	117
FYCO1	941	784	476	516
FYN	1112	1085	857	1064
FYTTD1	548	470	437	514
FZD1	84	72	60	71
FZD2	63	48	42	51
FZD3	446	406	331	405
FZD4	111	76	77	66
FZD5	77	67	59	82
FZD6	820	707	648	767
FZD7	121	110	81	124
FZD8	89	107	51	103
FZD9	80	66	64	68
FZR1	418	365	279	373
G2E3	1449	1299	956	1230
G3BP1	6907	6450	5271	6336
G3BP2	3322	3426	2536	3192
G6PC3	264	228	196	231
G6PD	586	509	387	497
GAA	748	629	467	610
GAB1	225	191	174	227
GAB2	54	30	37	41
GABARAP	470	417	328	410
GABARAPL1	89	103	58	75
GABARAPL2	612	595	426	544
GABBR1	213	164	74	99
GABBR2	39	39	25	34
GABPA	440	412	343	440
GABPB1	554	452	369	484
GABPB2	250	226	148	219
GABRB3	240	201	191	244
GAD1	201	143	101	141
GADD45A	65	83	56	87
GADD45B	55	47	75	75
GADD45GIP1	778	847	612	783
GAK	1137	1003	814	1098
GAL	256	210	225	319
GALC	69	45	37	50
GALE	248	221	216	236
GALK1	301	295	274	307
GALK2	346	307	202	292
GALM	298	249	184	287
GALNS	151	157	131	138
GALNT1	1130	1030	833	1077
GALNT10	120	129	128	127
GALNT11	736	699	498	689
GALNT12	90	85	70	87
GALNT13	915	872	469	729
GALNT16	90	78	55	71
GALNT18	274	219	231	279
GALNT2	1197	1107	712	906
GALNT3	70	45	23	36
GALNT5	16	16	14	14
GALNT6	82	68	42	47
GALNT7	740	656	489	611
GALT	220	198	172	199
GAMT	166	183	173	193
GAN	631	615	352	431
GANAB	6678	5905	3958	5031
GANC	242	181	157	167
GAPDH	25435	21677	22535	27592
GAPDHS	233	201	144	198
GAPVD1	4049	3627	2864	3499
GAR1	301	317	232	291
GAREM1	138	124	83	127
GAREM2	80	69	55	88
GARNL3	322	296	195	247
GARS	5200	5058	3527	4617
GART	6499	6184	4928	5976
GAS1	103	90	40	80
GAS2L1	27	13	16	19
GAS2L3	333	289	280	329
GAS6	87	80	74	76
GAS7	21	13	17	18
GAS8	311	316	165	225
GASK1A	106	103	75	93
GATA2	117	95	84	103
GATA4	66	62	44	63
GATA6	187	126	110	110
GATAD1	261	232	183	247
GATAD2A	1194	1135	897	1184
GATAD2B	513	447	198	302
GATB	663	573	499	630
GATC	60	50	21	24
GATD1	574	497	346	431
GBA	374	259	290	396
GBA2	1400	1284	1088	1377
GBE1	1012	842	779	889
GBF1	2715	2205	1553	2081
GBX2	32	38	13	21
GCA	245	252	236	239
GCAT	477	362	394	496
GCC1	522	515	395	508
GCC2	1889	1778	950	1456
GCDH	561	485	412	516
GCFC2	1457	1359	1209	1480
GCH1	123	130	105	147
GCHFR	54	45	49	49
GCLC	797	732	619	773
GCLM	643	602	455	556
GCN1	7509	6769	4385	5813
GCNA	88	62	48	64
GCNT1	138	118	69	103
GCNT7	63	38	26	33
GCSAM	30	19	15	20
GDAP1	375	360	252	314
GDAP2	691	588	496	654
GDE1	843	721	663	822
GDF11	82	81	62	94
GDF7	18	18	14	17
GDI1	1120	1029	926	1175
GDI2	4186	3964	3397	4141
GDPD1	146	114	88	115
GDPD3	21	22	18	18
GDPD5	52	22	26	30
GDPGP1	32	34	30	46
GEMIN2	646	587	415	516
GEMIN4	2387	2094	1657	2215
GEMIN5	3689	3349	2443	3152
GEMIN6	657	573	481	610
GEMIN7	214	193	163	179
GEMIN8	103	90	101	93
GEN1	1173	1058	792	966
GET4	411	392	274	328
GFER	141	140	98	126
GFI1	51	49	35	41
GFM1	2437	2284	1847	2344
GFM2	1685	1469	1237	1504
GFOD1	95	128	83	119
GFOD2	220	223	147	195
GFPT1	1188	1157	760	957
GFPT2	217	185	138	207
GFRA1	23	21	16	24
GGA1	654	591	451	635
GGA2	1481	1430	1053	1450
GGA3	517	417	291	393
GGCT	383	338	279	351
GGCX	748	660	519	630
GGH	756	743	562	708
GGNBP2	1192	1047	719	908
GGPS1	494	431	345	444
GGT7	244	227	181	252
GHDC	200	160	137	167
GHITM	3661	3420	2951	3755
GHR	28	22	24	32
GHRL	54	46	26	34
GID4	223	215	122	143
GID8	528	535	422	506
GIGYF1	928	803	501	597
GIGYF2	2890	2658	2097	2671
GIN1	157	123	122	174
GINM1	661	621	415	545
GINS1	498	529	336	459
