	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
A1BG	70	77	77	86
A2M	74	59	57	55
AAAS	1173	1090	1222	909
AACS	351	335	288	294
AADAT	329	325	326	246
AAGAB	1518	1420	1345	953
AAK1	295	245	167	245
AAMDC	255	263	270	198
AAMP	3489	3336	3098	2263
AAR2	549	469	621	430
AARS	4054	3788	3936	3166
AARS2	1275	1114	1092	929
AASDH	893	779	824	641
AASDHPPT	1510	1391	1338	985
AASS	1243	1178	1185	865
AATF	1560	1569	1485	1119
AATK	43	38	34	22
ABAT	37	24	40	23
ABCA1	74	86	43	56
ABCA10	26	22	15	19
ABCA12	49	32	48	41
ABCA2	390	313	311	329
ABCA3	707	555	569	556
ABCA5	565	483	548	450
ABCA7	299	249	240	225
ABCB1	153	159	182	153
ABCB10	1414	1305	1292	1035
ABCB4	28	17	17	17
ABCB6	338	249	279	247
ABCB7	1568	1402	1536	1036
ABCB8	365	286	323	276
ABCB9	154	136	159	112
ABCC1	1114	827	790	930
ABCC10	569	426	440	464
ABCC2	59	63	55	70
ABCC4	1661	1520	1359	1127
ABCC5	996	912	827	782
ABCC6	21	37	26	29
ABCC8	54	45	47	39
ABCD1	46	37	42	46
ABCD2	21	19	19	14
ABCD3	2754	2541	2426	1743
ABCD4	617	580	534	469
ABCE1	3873	3640	3886	2705
ABCF1	2623	2595	2634	2104
ABCF2	97	93	110	117
ABCF3	619	593	507	460
ABCG1	25	19	19	10
ABCG2	65	45	74	43
ABHD1	47	48	49	50
ABHD10	883	834	834	576
ABHD11	199	138	136	118
ABHD12	330	297	327	259
ABHD12B	51	35	36	50
ABHD13	96	101	118	86
ABHD14A	98	46	62	46
ABHD14B	164	125	172	119
ABHD15	54	51	40	27
ABHD16A	333	252	392	233
ABHD16B	47	44	41	32
ABHD17A	34	32	32	27
ABHD17B	410	342	383	260
ABHD17C	86	81	70	59
ABHD18	368	310	315	250
ABHD2	423	433	402	393
ABHD3	287	237	330	205
ABHD4	56	57	31	35
ABHD5	501	416	484	365
ABHD6	155	116	109	72
ABHD8	127	101	88	101
ABI1	551	486	607	410
ABI2	634	553	664	503
ABI3BP	38	40	31	23
ABL1	1011	945	779	817
ABL2	1162	1002	927	970
ABLIM1	527	508	566	425
ABLIM2	19	16	19	14
ABR	454	416	392	320
ABRACL	406	409	379	255
ABRAXAS1	222	211	224	194
ABRAXAS2	527	454	499	344
ABT1	1036	989	1092	737
ABTB1	16	22	14	25
ABTB2	123	102	94	92
AC003665.1	28	21	36	22
AC004080.3	55	52	45	31
AC004475.1	538	481	509	420
AC004832.3	109	68	109	64
AC005324.3	18	20	14	15
AC005520.1	28	35	33	13
AC006213.1	105	80	71	58
AC007950.1	488	396	399	319
AC008403.1	40	49	32	30
AC008581.2	11	19	12	10
AC008755.1	982	939	621	735
AC008878.3	13	18	18	19
AC009133.6	28	30	25	19
AC010618.1	425	351	317	270
AC010761.1	66	53	59	50
AC011462.1	70	52	39	54
AC011481.1	1387	1321	1369	1052
AC011529.1	78	65	62	82
AC017083.3	44	44	34	33
AC018523.2	35	33	36	19
AC018630.2	52	39	44	27
AC022826.2	34	33	27	26
AC023055.1	55	38	48	35
AC025287.4	35	20	17	19
AC026464.4	51	46	44	30
AC026470.1	707	687	665	533
AC026786.1	38	28	28	23
AC026954.2	21	17	22	18
AC048338.1	33	34	36	24
AC068580.4	60	56	46	42
AC068790.8	146	121	156	113
AC073610.2	55	55	55	41
AC073896.1	210	170	231	147
AC074143.1	24	26	12	25
AC079447.1	84	66	72	22
AC080038.1	125	107	122	97
AC087289.1	54	55	43	28
AC090004.1	120	79	121	98
AC091551.1	18	11	25	13
AC092073.1	134	118	90	117
AC092338.1	501	445	443	368
AC092647.5	37	40	34	12
AC092835.1	81	72	53	47
AC093323.1	40	55	28	19
AC093512.2	82	70	68	39
AC099489.1	130	104	108	118
AC104109.3	81	50	69	22
AC108488.2	22	13	18	15
AC117378.1	339	359	339	157
AC118549.1	4005	3671	3872	2916
AC118553.2	18	29	16	11
AC118754.1	56	37	41	50
AC124319.1	2288	1880	1703	1828
AC129492.1	322	220	262	309
AC138811.2	106	76	92	33
AC139768.1	45	37	34	27
AC245033.1	3943	2641	6286	3302
ACAA1	546	488	489	386
ACAA2	567	556	484	344
ACACA	4353	3895	3537	3250
ACACB	484	414	395	420
ACAD10	339	299	281	246
ACAD11	1535	1320	1289	941
ACAD8	424	415	397	305
ACAD9	1103	982	963	847
ACADL	84	74	53	29
ACADM	1953	1987	1846	1240
ACADS	163	145	169	108
ACADSB	400	375	389	310
ACADVL	1201	1037	1183	949
ACAP2	882	812	824	606
ACAP3	420	369	388	355
ACAT1	2467	2294	2209	1494
ACAT2	2710	2475	2503	1816
ACBD3	1510	1482	1550	1010
ACBD4	44	42	40	32
ACBD5	346	326	304	232
ACBD6	1167	1086	1143	864
ACBD7	30	34	29	20
ACCS	65	62	56	39
ACD	230	223	293	224
ACER2	30	19	20	24
ACER3	144	127	154	105
ACIN1	4623	4390	4517	3760
ACLY	9217	8141	9254	7874
ACMSD	25	15	15	22
ACO1	1151	1093	1075	796
ACO2	1661	1442	1644	1373
ACOT1	26	18	19	11
ACOT11	25	18	12	26
ACOT13	384	350	323	210
ACOT2	140	128	119	60
ACOT7	546	541	482	400
ACOT8	236	179	218	170
ACOT9	583	517	508	414
ACOX1	968	939	887	715
ACOX3	285	260	233	239
ACP1	1107	976	959	612
ACP2	252	237	281	214
ACP4	27	25	49	46
ACP6	471	409	413	336
ACRV1	37	31	24	32
ACSBG2	12	15	12	20
ACSF2	149	123	130	110
ACSF3	460	416	447	403
ACSL1	487	471	472	400
ACSL3	2675	2485	2404	1752
ACSL4	1299	1240	1165	908
ACSM3	173	151	118	100
ACSS1	233	232	203	195
ACSS2	285	244	273	233
ACSS3	59	62	45	45
ACTA2	77	63	77	60
ACTB	17010	15507	17772	15271
ACTG1	18963	16603	23790	17390
ACTL6A	1072	1032	1170	766
ACTN1	1429	1219	1276	1290
ACTN2	194	180	131	141
ACTN4	2388	2095	2156	2152
ACTR10	806	792	831	580
ACTR1A	1795	1597	1751	1305
ACTR1B	523	460	472	361
ACTR2	2393	2286	2053	1780
ACTR3	2590	2446	2603	1740
ACTR3B	247	178	160	158
ACTR3C	22	20	15	12
ACTR5	413	354	316	278
ACTR6	1029	1079	950	676
ACTR8	1761	1621	1676	1233
ACTRT3	59	75	54	43
ACVR1	130	75	86	105
ACVR1B	322	329	322	242
ACVR1C	32	36	33	33
ACVR2A	304	285	297	212
ACVR2B	496	437	426	382
ACYP1	155	158	155	96
ACYP2	37	37	45	36
AD000864.1	57	51	38	44
ADA	200	179	174	106
ADAL	184	168	199	157
ADAM10	940	875	834	717
ADAM11	131	121	133	117
ADAM15	1004	828	1036	748
ADAM17	899	862	776	606
ADAM19	51	68	58	43
ADAM22	406	346	389	308
ADAM23	292	283	270	238
ADAM32	21	33	20	21
ADAM8	36	31	28	28
ADAM9	1994	1943	1882	1347
ADAMTS1	845	758	786	620
ADAMTS10	11	12	16	15
ADAMTS13	161	111	107	128
ADAMTS15	47	22	35	14
ADAMTS17	259	241	190	219
ADAMTS19	210	196	174	173
ADAMTS2	47	27	25	34
ADAMTS20	307	252	257	194
ADAMTS3	259	275	264	200
ADAMTS6	68	68	68	58
ADAMTS7	50	43	44	49
ADAMTS9	298	280	236	232
ADAMTSL3	42	38	41	22
ADAMTSL4	40	40	48	62
ADAP1	59	60	75	59
ADAP2	83	77	63	49
ADAR	5993	5227	5372	4535
ADARB1	354	284	318	320
ADAT1	550	455	409	417
ADAT2	340	331	245	211
ADAT3	58	59	45	31
ADCK1	184	185	165	157
ADCK2	593	555	534	425
ADCK5	66	62	66	45
ADCY1	392	341	346	292
ADCY3	1217	1055	1180	1027
ADCY6	386	323	330	275
ADCY7	103	83	95	82
ADCY9	615	562	459	446
ADCYAP1R1	25	25	34	27
ADD1	1370	1395	1316	1162
ADD2	479	455	407	428
ADD3	1347	1188	1403	993
ADGRA2	92	65	74	63
ADGRA3	1075	942	955	761
ADGRB2	279	240	241	222
ADGRB3	363	327	326	265
ADGRE5	93	57	51	48
ADGRG2	53	34	19	27
ADGRG6	105	107	95	80
ADGRL1	834	640	609	730
ADGRL2	2653	2299	2672	1966
ADGRL3	515	435	481	358
ADGRV1	3356	3098	3109	2534
ADH5	1513	1451	1578	1063
ADI1	1237	1233	1082	831
ADIPOR1	1565	1435	1601	1174
ADIPOR2	643	627	740	572
ADK	862	838	800	605
ADM	38	42	57	40
ADNP	3299	2794	2310	2685
ADNP2	1432	1246	1286	1027
ADO	161	182	151	110
ADORA2A	39	25	39	31
ADORA2B	157	127	171	110
ADPGK	969	816	925	687
ADPRHL1	55	47	38	29
ADPRHL2	524	496	487	371
ADPRM	102	88	107	79
ADRA2C	44	54	67	30
ADRM1	1490	1396	1464	1173
ADSL	4094	3778	4108	2916
ADSS	2699	2808	2453	1761
ADSSL1	13	10	13	10
AEBP2	525	423	367	370
AEN	655	598	737	478
AES	223	190	245	194
AFAP1	258	281	213	209
AFAP1L1	100	87	102	82
AFDN	4857	4431	4019	3435
AFF1	536	436	384	488
AFF3	141	113	121	142
AFF4	2177	1794	1900	1799
AFG1L	183	184	179	133
AFG3L2	2560	2396	2213	1778
AFMID	252	233	187	166
AFTPH	783	653	718	552
AGA	261	246	233	154
AGAP1	565	567	517	519
AGAP2	83	86	91	69
AGAP3	1016	801	878	767
AGAP5	35	24	24	35
AGAP6	121	84	127	128
AGAP9	152	140	124	122
AGBL3	72	77	60	54
AGBL5	1387	1099	1330	988
AGER	68	62	39	38
AGFG1	1237	973	1254	907
AGFG2	102	75	93	67
AGGF1	219	218	240	144
AGK	1127	967	988	758
AGL	2885	2468	2549	2065
AGMAT	58	47	42	36
AGO1	1139	982	929	895
AGO2	1084	864	950	896
AGO3	808	730	748	664
AGO4	306	272	273	223
AGPAT1	280	251	263	297
AGPAT2	141	128	153	135
AGPAT3	502	432	385	426
AGPAT4	337	327	296	230
AGPAT5	525	574	462	374
AGPS	2017	2150	1983	1469
AGRN	702	571	494	540
AGTPBP1	2811	2706	2565	1955
AGTRAP	169	133	161	129
AHCTF1	1776	1630	1613	1412
AHCY	3649	3158	4253	2865
AHCYL1	1341	1192	1289	1116
AHCYL2	291	286	236	199
AHDC1	107	55	44	84
AHI1	1214	1103	1145	933
AHNAK	1967	2066	1520	1431
AHNAK2	282	223	265	225
AHR	28	13	37	15
AHSA1	3620	3401	3456	2433
AIF1L	151	131	101	92
AIFM1	2408	2329	2424	1908
AIFM2	84	95	74	56
AIG1	510	418	412	303
AIMP1	1217	1202	1167	888
AIMP2	1482	1373	1432	967
AIP	594	562	628	396
AJUBA	139	137	94	86
AK1	375	358	324	281
AK2	1885	1982	1786	1331
AK3	293	266	259	191
AK4	73	87	32	23
AK5	21	22	12	12
AK6	778	725	679	484
AK7	38	37	38	24
AK8	26	29	24	18
AK9	89	96	81	61
AKAP1	2226	2028	2092	1745
AKAP10	961	797	853	669
AKAP11	3358	3155	2727	2459
AKAP12	3951	3786	3443	2766
AKAP13	2881	2493	2373	2199
AKAP17A	470	456	441	352
AKAP5	133	119	121	80
AKAP6	167	134	126	138
AKAP7	159	180	125	119
AKAP8	941	920	887	724
AKAP8L	1268	1192	1250	1054
AKAP9	5034	4878	4973	3862
AKIP1	242	163	178	128
AKIRIN1	400	348	376	230
AKIRIN2	196	166	175	184
AKNA	46	44	42	42
AKR1A1	777	648	660	550
AKR1B1	1308	1194	1339	1069
AKR7A2	603	545	612	450
AKR7A3	36	21	27	21
AKT1	1290	1120	1286	936
AKT1S1	153	140	147	128
AKT2	957	850	965	831
AKT3	1203	1065	970	778
AKTIP	146	158	141	96
AL022238.4	17	24	18	13
AL022312.1	178	161	137	111
AL031777.3	50	69	88	32
AL034430.1	136	135	144	98
AL034430.2	213	196	207	120
AL049629.2	57	35	51	35
AL109811.3	67	60	81	72
AL109827.1	149	118	151	100
AL121753.1	111	104	118	99
AL121768.1	1124	1106	913	776
AL135905.2	30	38	45	28
AL136295.1	31	37	33	34
AL139011.2	78	70	81	55
AL139260.3	72	60	52	23
AL139300.1	25	19	17	23
AL157935.2	44	37	40	39
AL162171.1	201	175	148	128
AL162231.1	28	23	29	17
AL358472.7	156	147	153	85
ALAD	166	134	120	108
ALAS1	1120	1061	1190	873
ALCAM	1183	1035	1190	744
ALDH16A1	633	576	505	426
ALDH18A1	4826	4327	4375	3202
ALDH1A2	1130	1083	997	726
ALDH1A3	30	37	27	24
ALDH1B1	1148	1080	1040	761
ALDH1L2	680	645	532	497
ALDH2	229	228	265	170
ALDH3A1	21	14	21	11
ALDH3A2	1934	1706	1646	1258
ALDH4A1	150	120	158	140
ALDH5A1	399	469	390	288
ALDH6A1	456	395	393	324
ALDH7A1	980	855	780	699
ALDH8A1	32	27	22	41
ALDH9A1	1886	1736	1888	1233
ALDOA	804	711	1037	556
ALDOC	53	43	52	50
ALG1	412	314	394	279
ALG10	205	163	268	165
ALG10B	99	73	116	85
ALG11	443	431	422	321
ALG12	400	312	348	266
ALG13	1970	1746	1502	1522
ALG14	300	296	264	176
ALG1L	49	40	56	39
ALG2	377	362	387	305
ALG3	271	230	268	230
ALG5	802	747	748	509
ALG6	1251	1223	1305	907
ALG8	1487	1289	1616	1091
ALG9	15	16	32	10
ALKAL1	26	15	23	23
ALKBH1	302	219	288	217
ALKBH2	460	447	453	342
ALKBH3	464	390	416	326
ALKBH4	215	221	196	130
ALKBH5	2628	2428	2670	2184
ALKBH6	117	105	123	95
ALKBH7	167	145	124	97
ALKBH8	812	722	756	526
ALMS1	5481	4522	4813	4059
ALOX12	85	48	69	68
ALPK1	173	133	150	124
ALPL	21	19	30	27
ALS2	1137	941	1032	844
ALX1	158	136	114	99
ALX3	74	62	44	57
ALX4	57	58	46	33
ALYREF	3068	3053	2684	1904
AMACR	158	149	187	124
AMBRA1	1065	914	1011	901
AMD1	3164	2935	2899	2171
AMDHD2	115	104	115	103
AMER1	513	446	464	384
AMFR	1513	1299	1403	1030
AMH	163	156	106	133
AMIGO1	57	44	58	39
AMIGO3	133	108	161	126
AMMECR1	318	279	340	223
AMMECR1L	249	225	257	223
AMN1	104	87	92	55
AMOT	6733	5395	6246	5829
AMOTL1	856	828	870	713
AMOTL2	124	109	141	118
AMPD2	741	655	748	546
AMPH	106	100	111	81
AMZ2	1085	943	1054	744
ANAPC1	1836	1638	1849	1400
ANAPC10	154	135	167	120
ANAPC11	496	493	401	270
ANAPC13	303	301	256	180
ANAPC15	302	305	320	227
ANAPC16	448	420	420	310
ANAPC2	595	555	564	499
ANAPC4	1075	994	977	706
ANAPC5	5396	4810	5129	3728
ANAPC7	2172	1867	2052	1553
ANGEL1	723	580	585	498
ANGEL2	988	930	959	712
ANGPT2	51	47	41	58
ANGPTL1	38	18	30	25
ANGPTL3	75	62	63	42
ANGPTL4	29	21	14	22
ANGPTL7	61	38	36	35
ANK1	257	221	216	211
ANK2	837	749	771	638
ANK3	744	711	621	575
ANKAR	233	244	235	220
ANKEF1	270	241	229	154
ANKFY1	1650	1418	1312	1228
ANKH	293	231	262	233
ANKHD1	122	131	95	98
ANKIB1	990	932	953	822
ANKLE1	39	19	19	23
ANKLE2	2472	2260	2144	1802
ANKMY1	203	159	184	197
ANKMY2	345	361	349	239
ANKRA2	134	118	128	87
ANKRD10	672	627	687	478
ANKRD11	2845	2444	1995	2270
ANKRD12	759	771	722	659
ANKRD13A	711	671	736	544
ANKRD13B	155	127	117	112
ANKRD13C	1426	1307	1328	1025
ANKRD13D	217	184	208	126
ANKRD16	123	122	127	128
ANKRD17	6724	5823	5828	5290
ANKRD18A	665	573	362	486
ANKRD18B	832	778	509	633
ANKRD20A4	18	17	13	10
ANKRD23	68	60	40	39
ANKRD24	24	21	16	18
ANKRD26	1585	1429	1318	1088
ANKRD27	987	996	912	801
ANKRD28	1687	1447	1330	1120
ANKRD31	66	59	57	47
ANKRD34B	20	18	14	29
ANKRD36	1649	1587	1279	1044
ANKRD36B	516	539	413	342
ANKRD36C	1388	1318	1076	925
ANKRD37	30	16	17	20
ANKRD39	110	112	81	79
ANKRD40	815	742	799	604
ANKRD42	89	83	101	84
ANKRD44	132	118	133	102
ANKRD46	367	319	379	209
ANKRD49	233	221	230	172
ANKRD50	1255	1118	1066	945
ANKRD52	1871	1478	1062	1390
ANKRD54	222	201	212	146
ANKRD6	216	172	167	140
ANKRD61	167	133	94	93
ANKRD7	31	32	25	21
ANKRD9	45	49	27	22
ANKS1A	618	483	501	430
ANKS1B	42	34	30	32
ANKS3	279	270	224	211
ANKS6	629	566	478	396
ANKZF1	534	451	456	362
ANLN	3844	3396	4000	3164
ANO10	735	656	603	535
ANO4	36	35	27	26
ANO5	599	559	533	420
ANO6	709	642	746	504
ANO8	122	112	107	88
ANP32A	2616	2662	2763	1779
ANP32B	1659	1675	974	1189
ANP32E	1741	2022	1784	1017
ANTXR1	436	365	290	362
ANTXR2	103	105	98	61
ANXA1	65	70	76	55
ANXA11	867	774	914	744
ANXA2	556	546	560	360
ANXA3	19	17	17	16
ANXA4	171	147	179	107
ANXA5	3225	3096	3090	2233
ANXA6	2094	1832	2058	1398
ANXA7	1787	1467	1684	1205
ANXA9	26	29	34	16
AOC2	120	90	90	108
AP001781.2	34	31	20	14
AP002495.2	55	63	54	59
AP002748.4	58	48	43	40
AP002956.1	174	142	144	130
AP1AR	584	603	589	386
AP1B1	2378	2103	2319	1909
AP1G1	2314	2009	1863	1627
AP1G2	608	537	578	514
AP1M1	770	588	802	651
AP1S1	364	357	290	221
AP1S2	108	103	109	78
AP1S3	113	98	101	76
AP2A1	1135	888	923	916
AP2A2	1060	865	896	824
AP2B1	2172	1854	1558	1727
AP2M1	3327	3182	3503	2556
AP2S1	1217	1175	1241	739
AP3B1	2176	2160	1997	1565
AP3B2	54	54	40	42
AP3D1	2697	2361	2467	2323
AP3M1	1016	901	956	773
AP3M2	595	546	508	397
AP3S1	617	586	549	416
AP3S2	95	71	68	62
AP4B1	662	620	547	454
AP4E1	691	620	572	508
AP4M1	133	124	100	102
AP4S1	59	70	55	71
AP5B1	354	315	307	259
AP5M1	713	638	714	556
AP5S1	145	97	96	93
AP5Z1	311	255	290	243
APAF1	839	821	708	609
APBA2	503	434	438	392
APBA3	169	163	159	131
APBB1	851	755	755	630
APBB2	190	171	172	162
APBB3	121	106	113	94
APC	3064	2576	2749	2297
APC2	88	76	68	55
APCDD1	23	15	22	16
APEH	2133	1891	2036	1464
APEX1	2005	2060	2163	1629
APEX2	571	502	533	443
APH1A	1098	901	1249	806
APH1B	31	28	47	21
API5	2658	2651	2520	1886
APIP	589	580	560	348
APLF	92	84	91	63
APLP1	68	60	52	52
APLP2	5747	5530	5756	4292
APMAP	1152	994	1053	780
APOBEC3C	45	37	47	59
APOC1	73	84	84	66
APOL2	208	169	164	117
APOLD1	18	30	20	16
APOM	29	30	31	29
APOO	259	188	252	167
APOOL	295	272	245	228
APOPT1	80	64	79	53
APP	4651	4862	4057	3548
APPBP2	968	860	878	630
APPL1	2012	1709	1991	1426
APPL2	565	490	458	409
APRT	1969	1637	1925	1403
APTX	780	796	695	504
AQP11	42	38	41	43
AQR	2125	1882	2120	1565
ARAF	598	521	618	522
ARAP1	843	744	644	668
ARAP2	423	420	372	244
ARAP3	47	41	39	22
ARCN1	3159	3021	2869	2256
AREL1	722	652	825	623
ARF1	2885	2627	3700	2637
ARF3	37	40	39	27
ARF4	1223	1062	1186	936
ARF5	916	877	854	584
ARF6	423	379	469	309
ARFGAP1	829	700	728	550
ARFGAP2	1028	956	924	749
ARFGAP3	469	423	455	367
ARFGEF1	1981	1754	1800	1483
ARFGEF2	2474	1995	2071	1764
ARFGEF3	460	400	385	410
ARFIP1	480	440	485	325
ARFIP2	1194	1083	1139	887
ARFRP1	215	217	176	117
ARG1	36	31	22	22
ARG2	461	407	476	331
ARGLU1	885	1007	898	613
ARHGAP1	291	219	194	223
ARHGAP10	578	534	491	404
ARHGAP11A	2070	1874	1835	1545
ARHGAP12	615	522	557	406
ARHGAP17	802	611	494	618
ARHGAP18	312	291	244	203
ARHGAP19-SLIT1	61	56	47	47
ARHGAP20	80	73	64	62
ARHGAP21	1520	1290	1390	1154
ARHGAP22	249	224	207	160
ARHGAP24	56	59	53	46
ARHGAP26	243	205	181	179
ARHGAP27	47	55	45	36
ARHGAP28	64	50	64	42
ARHGAP29	496	397	451	394
ARHGAP30	18	18	15	14
ARHGAP31	128	110	109	115
ARHGAP32	500	390	388	444
ARHGAP33	59	55	38	60
ARHGAP35	2174	1868	1760	1674
ARHGAP39	198	167	168	148
ARHGAP4	20	17	20	25
ARHGAP42	167	118	137	100
ARHGAP44	171	155	157	132
ARHGAP45	73	50	61	52
ARHGAP5	4094	3653	3591	2876
ARHGDIA	1176	1098	749	983
ARHGDIG	86	92	70	50
ARHGEF1	447	383	432	335
ARHGEF10	539	483	446	389
ARHGEF10L	91	63	84	63
ARHGEF11	1167	975	1024	1022
ARHGEF12	4432	3725	4006	3149
ARHGEF16	61	41	73	59
ARHGEF17	117	104	79	94
ARHGEF18	16	18	19	19
ARHGEF19	22	29	23	24
ARHGEF2	502	475	419	384
ARHGEF25	338	311	330	258
ARHGEF26	732	659	613	574
ARHGEF28	60	41	58	46
ARHGEF3	211	157	192	149
ARHGEF39	251	218	208	159
ARHGEF4	303	249	263	284
ARHGEF40	132	137	120	88
ARHGEF6	206	199	223	205
ARHGEF7	587	549	489	426
ARHGEF9	301	242	291	215
ARID1A	1418	1096	804	1352
ARID1B	1589	1367	1307	1424
ARID2	1828	1581	1689	1398
ARID3A	93	80	90	56
ARID3B	136	97	115	137
ARID4A	577	551	545	445
ARID4B	2638	2454	2491	1987
ARID5A	72	85	73	82
ARID5B	348	258	316	250
ARIH1	1554	1478	1323	1129
ARIH2	2425	2218	2356	1736
ARIH2OS	29	33	42	22
ARL1	621	578	631	441
ARL10	247	286	140	147
ARL13B	541	492	526	368
ARL14EP	458	407	373	319
ARL15	193	161	185	113
ARL16	307	246	276	215
ARL2	163	146	189	128
ARL2BP	531	455	522	422
ARL3	211	183	216	160
ARL4A	109	80	70	57
ARL4C	71	70	69	54
ARL4D	67	50	46	37
ARL5A	515	462	454	292
ARL5B	405	361	380	248
ARL6	234	236	223	163
ARL6IP1	266	268	311	183
ARL6IP4	1813	1765	1545	1130
ARL6IP5	954	924	784	617
ARL6IP6	355	251	300	227
ARL8A	205	211	219	143
ARL8B	558	469	476	352
ARMC1	666	649	648	488
ARMC10	311	260	246	191
ARMC2	64	57	73	47
ARMC4	236	223	194	154
ARMC5	219	244	211	183
ARMC6	1199	986	1113	909
ARMC7	46	35	50	35
ARMC8	981	954	985	723
ARMC9	542	506	417	409
ARMCX2	37	24	42	29
ARMCX3	370	381	342	231
ARMCX4	138	99	75	93
ARMCX5	645	570	589	408
ARMCX6	61	75	61	46
ARMH3	580	522	511	435
ARMH4	132	92	113	97
ARMT1	1310	1149	1121	758
ARNT	711	665	708	600
ARNT2	347	286	255	245
ARNTL	116	108	127	72
ARNTL2	847	721	744	623
ARPC1A	188	164	231	166
ARPC1B	62	56	51	47
ARPC2	2151	1846	2230	1654
ARPC3	1467	1472	1365	824
ARPC4-TTLL3	79	73	79	61
ARPC5	790	869	729	495
ARPC5L	233	254	225	153
ARPIN-AP3S2	30	41	45	24
ARPP19	582	554	513	411
ARRB1	137	119	125	98
ARRB2	430	368	463	401
ARRDC1	275	213	318	257
ARRDC2	43	35	49	29
ARRDC3	145	127	113	80
ARRDC4	215	214	166	113
ARSA	104	83	94	85
ARSB	246	218	217	191
ARSG	91	51	71	66
ARSK	205	166	182	130
ART5	39	37	38	21
ARV1	688	612	659	449
ARVCF	186	157	163	112
AS3MT	259	272	264	181
ASAH1	461	473	415	291
ASAP1	753	641	511	656
ASAP2	392	333	293	296
ASAP3	208	187	162	130
ASB1	192	222	186	152
ASB13	247	221	222	130
ASB14	77	69	42	61
ASB16	36	30	33	41
ASB6	519	438	525	395
ASB7	267	250	254	190
ASB8	295	281	230	198
ASCC1	511	453	444	361
ASCC2	1015	913	981	882
ASCC3	5997	5439	5557	4141
ASDURF	240	221	170	139
ASF1A	639	618	645	418
ASF1B	686	577	713	513
ASH1L	5176	4578	3877	4011
ASH2L	527	501	441	411
ASIC1	155	135	98	118
ASIC3	22	30	29	30
ASL	181	132	134	129
ASMTL	257	241	212	213
ASNA1	870	786	978	608
ASNS	2780	2580	2726	2168
ASNSD1	2237	2137	2139	1520
ASPH	1807	1644	1560	1166
ASPHD2	72	51	49	54
ASPM	13313	12225	13132	9528
ASPN	114	88	61	119
ASPRV1	21	24	26	31
ASPSCR1	397	353	379	299
ASRGL1	373	346	315	252
ASS1	397	358	385	273
ASTE1	410	307	360	279
ASTN2	54	56	55	52
ASXL1	2627	2220	2103	2109
ASXL2	1104	935	810	945
ASXL3	85	83	57	71
ATAD1	991	909	850	700
ATAD2	3575	3486	3341	2549
ATAD2B	1283	1087	1183	824
ATAD3A	882	792	806	561
ATAD3B	885	885	841	685
ATAD5	2481	2358	1970	1888
ATAT1	96	86	79	84
ATE1	851	767	718	595
ATF1	379	380	445	324
ATF2	841	777	873	621
ATF3	55	62	67	52
ATF4	7363	7197	7715	5373
ATF5	48	37	51	53
ATF6	1247	1144	1324	966
ATF6B	426	348	457	346
ATF7IP	1358	1270	1075	1133
ATF7IP2	121	104	85	80
ATG10	79	59	66	49
ATG101	303	337	294	189
ATG12	136	108	143	101
ATG13	587	498	586	479
ATG14	303	325	317	261
ATG16L1	945	819	779	644
ATG16L2	117	93	97	84
ATG2A	762	701	615	639
ATG2B	1942	1699	1725	1413
ATG3	1441	1377	1543	984
ATG4A	356	295	337	252
ATG4B	717	648	714	568
ATG4C	761	780	815	567
ATG4D	358	306	358	267
ATG5	690	627	610	452
ATG7	1001	924	885	756
ATG9A	570	463	560	457
ATIC	2187	2045	1384	2053
ATL1	102	94	99	64
ATL2	1838	1829	1565	1281
ATL3	547	461	493	357
ATM	4687	4275	4070	3350
ATMIN	1114	955	1087	761
ATN1	406	315	220	357
ATOX1	186	202	241	135
ATP10D	254	247	275	208
ATP11A	490	449	309	405
ATP11B	1114	1078	1133	811
ATP11C	2275	2070	2022	1604
ATP13A1	1049	899	853	929
ATP13A2	855	741	746	711
ATP13A3	2586	2416	2478	1929
ATP1A1	11332	10489	10752	9674
ATP1B1	360	354	265	262
ATP1B3	1402	1298	1368	1038
ATP23	106	92	105	84
ATP2A1	92	59	58	65
ATP2A2	5663	5181	3611	4770
ATP2A3	18	33	13	10
ATP2B1	2565	2490	2389	1736
ATP2B4	1023	924	746	831
ATP2C1	1942	1898	1655	1393
ATP5F1A	11573	10642	11434	7368
ATP5F1B	16570	14734	16837	11165
ATP5F1C	3057	2790	3050	1956
ATP5F1D	237	191	208	139
ATP5F1E	930	735	1051	509
ATP5IF1	1583	1595	1386	952
ATP5MC1	995	780	1070	678
ATP5MC2	1606	1265	1781	1060
ATP5MC3	4384	3927	4543	2795
ATP5MD	646	722	721	399
ATP5ME	1827	1973	1633	1070
ATP5MF	744	493	1083	587
ATP5MF-PTCD1	35	24	36	22
ATP5MG	790	771	784	522
ATP5MPL	744	749	662	340
ATP5PB	3597	3212	3504	2231
ATP5PD	1947	1884	1939	1268
ATP5PF	869	679	1023	667
ATP5PO	1999	1795	2243	1474
ATP6AP1	1135	1030	1264	981
ATP6AP2	966	781	1021	728
ATP6V0A1	1455	1245	1054	1142
ATP6V0A2	1140	1014	1072	860
ATP6V0B	1101	795	1307	838
ATP6V0C	163	137	125	130
ATP6V0D1	978	869	1008	777
ATP6V0E1	324	267	281	169
ATP6V0E2	295	281	284	185
ATP6V1A	3468	3198	3512	2507
ATP6V1B1	31	31	34	33
