	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
HOXA2	60	63	43	53
HOXA3	90	69	51	66
HOXA4	64	44	45	39
HOXA5	547	462	551	417
HOXA6	275	207	233	246
HOXA7	30	25	20	20
HOXA9	202	182	149	135
HOXB13	111	86	86	71
HOXB2	57	48	45	31
HOXB3	219	176	174	158
HOXB4	67	55	47	56
HOXB5	68	42	55	51
HOXB6	347	299	305	277
HOXB7	87	62	106	68
HOXB8	130	103	109	112
HOXB9	616	545	468	425
HOXC10	119	112	107	114
HOXC11	54	57	45	35
HOXC13	33	26	18	26
HOXC4	129	95	134	98
HOXC6	93	77	69	75
HOXC8	50	53	36	40
HOXC9	231	224	161	124
HOXD10	966	808	832	857
HOXD11	418	345	362	287
HOXD13	430	361	448	311
HOXD3	38	29	29	27
HOXD4	39	34	41	34
HOXD8	62	88	39	42
HOXD9	173	184	171	152
HP1BP3	2623	2408	2174	1958
HPCAL1	91	74	77	77
HPF1	678	685	629	460
HPGD	41	36	31	27
HPRT1	1450	1608	905	1007
HPS1	479	462	435	386
HPS3	968	799	753	614
HPS4	692	628	733	548
HPS5	1023	900	852	712
HPS6	369	336	335	225
HPSE	73	60	44	36
HRAS	466	499	447	317
HRASLS	61	51	42	26
HS1BP3	260	230	211	172
HS2ST1	241	226	176	158
HS3ST3A1	63	83	54	48
HS3ST3B1	44	31	31	20
HS6ST1	41	57	62	38
HS6ST2	801	804	709	601
HS6ST3	40	31	31	33
HSBP1	963	851	1106	621
HSBP1L1	19	16	16	12
HSCB	232	213	255	156
HSD11B1L	32	32	24	23
HSD17B1	96	115	86	69
HSD17B10	1871	1788	1723	1297
HSD17B11	487	393	483	293
HSD17B12	1028	912	1003	638
HSD17B4	2958	3022	2961	2088
HSD17B6	69	55	55	42
HSD17B7	146	87	119	93
HSD17B8	68	49	63	37
HSD3B7	26	19	26	19
HSDL1	575	538	442	313
HSDL2	964	918	930	695
HSF1	591	432	567	488
HSF2	1320	1187	1220	877
HSF2BP	27	30	27	30
HSF4	81	56	43	55
HSP90AA1	35931	35517	28415	27968
HSP90AB1	24464	23284	25679	18715
HSP90B1	14951	14952	14075	10693
HSPA12A	267	216	211	201
HSPA13	1205	1109	1126	856
HSPA14	2091	1808	1959	1397
HSPA1B	539	463	764	614
HSPA2	15	10	14	15
HSPA4	11156	10580	10648	7462
HSPA4L	2367	2204	2102	1719
HSPA5	5363	5132	4216	4345
HSPA8	31890	28676	37008	25702
HSPA9	10609	9846	10865	7257
HSPB1	93	74	77	41
HSPB11	583	563	507	318
HSPBAP1	267	233	208	187
HSPBP1	407	358	391	342
HSPD1	20676	20959	19546	13604
HSPE1	712	724	757	501
HSPG2	249	165	125	183
HSPH1	6965	6924	6172	5186
HTATIP2	324	338	272	221
HTATSF1	5805	6350	5220	3719
HTD2	484	382	472	374
HTR2B	166	119	90	131
HTRA1	135	125	122	87
HTRA2	559	508	513	355
HTRA3	24	25	18	17
HTT	5415	4586	4237	4468
HUNK	76	59	62	58
HUS1	478	429	473	379
