	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
ACTR8	729	813	550	567
ACTRT3	44	32	34	35
ACVR1	162	165	162	140
ACVR1B	347	519	381	360
ACVR1C	23	29	15	23
ACVR2A	224	291	217	211
ACVR2B	93	129	89	72
ACYP1	210	202	123	129
ACYP2	60	78	42	38
AD000864.1	59	52	33	31
ADA	296	294	195	202
ADAL	123	108	97	80
ADAM10	846	916	942	845
ADAM11	102	130	112	108
ADAM15	521	675	497	466
ADAM17	263	363	283	277
ADAM19	42	50	37	37
ADAM22	107	103	100	110
ADAM23	180	221	201	175
ADAM32	0	0	1	0
ADAM8	3	2	5	4
ADAM9	804	885	859	755
ADAMTS1	4873	6376	4235	4362
ADAMTS10	15	10	22	9
ADAMTS13	21	8	34	14
ADAMTS15	61	76	56	51
ADAMTS17	34	60	43	27
ADAMTS19	138	183	154	135
ADAMTS2	75	86	76	57
ADAMTS20	52	49	59	59
ADAMTS3	135	164	132	153
ADAMTS6	9	5	8	6
ADAMTS7	12	19	26	18
ADAMTS9	32	35	30	27
ADAMTSL3	13	11	26	14
ADAMTSL4	9	6	5	10
ADAP1	14	24	19	15
ADAP2	49	48	46	32
ADAR	4166	4835	3166	3434
ADARB1	107	199	104	109
ADAT1	140	128	112	106
ADAT2	113	110	88	66
ADAT3	53	100	44	58
ADCK1	114	150	82	86
ADCK2	524	627	465	380
ADCK5	18	29	28	17
ADCY1	37	22	25	30
ADCY3	517	629	510	435
ADCY6	419	573	396	334
ADCY7	73	63	50	55
ADCY9	298	364	309	267
ADCYAP1R1	12	20	9	18
ADD1	1651	2058	1463	1422
ADD2	336	443	237	243
ADD3	1747	1975	1450	1472
ADGRA2	28	38	38	21
ADGRA3	172	199	133	161
ADGRB2	54	48	67	44
ADGRB3	14	11	25	18
ADGRE5	1085	1296	1036	976
ADGRG2	48	47	57	65
ADGRG6	395	394	398	397
ADGRL1	276	287	306	235
ADGRL2	860	982	764	815
ADGRL3	80	98	103	87
ADGRV1	546	609	880	620
ADH5	777	1104	782	687
ADI1	781	1157	621	601
ADIPOR1	539	711	440	496
ADIPOR2	760	973	633	631
ADK	1289	1354	985	999
ADM	89	154	97	96
ADNP	2300	2631	2003	2065
ADNP2	674	761	565	606
ADO	228	323	166	150
ADORA2A	19	7	11	8
ADORA2B	101	91	86	68
ADPGK	548	699	462	455
ADPRHL1	32	31	33	29
ADPRHL2	524	671	477	464
ADPRM	50	62	34	50
ADRA2C	9	9	13	17
ADRM1	2823	4391	2277	2330
ADSL	2915	3184	2442	2280
ADSS	1179	1589	1081	1089
ADSSL1	13	11	15	5
AEBP2	617	799	508	509
AEN	653	1044	591	692
AES	1393	1756	1084	1151
AFAP1	146	193	149	137
AFAP1L1	114	105	90	76
AFDN	1798	2196	1633	1578
AFF1	629	692	501	529
AFF3	206	239	203	204
AFF4	2218	2324	1698	1913
AFG1L	165	204	149	107
AFG3L2	1204	1445	1115	1021
AFMID	207	300	173	229
AFTPH	320	405	266	246
AGA	306	361	238	272
AGAP1	182	266	198	202
AGAP2	57	58	35	39
AGAP3	547	736	415	419
AGAP5	1	1	2	0
AGAP6	1	3	4	3
AGAP9	2	3	7	0
AGBL3	21	20	13	7
AGBL5	271	322	219	235
AGER	5	3	3	2
AGFG1	1637	1837	1255	1259
AGFG2	121	172	93	94
AGGF1	203	154	156	183
AGK	800	1129	733	756
AGL	1825	1894	1443	1473
AGMAT	2	2	0	1
AGO1	592	737	498	477
AGO2	752	904	613	634
AGO3	298	298	218	235
AGO4	116	113	117	108
AGPAT1	611	760	490	448
AGPAT2	536	694	481	448
AGPAT3	423	537	350	313
AGPAT4	210	257	181	160
AGPAT5	438	508	353	319
AGPS	1989	2308	1612	1691
AGRN	1040	1668	1176	1032
AGTPBP1	893	1031	798	741
AGTRAP	390	579	323	301
AHCTF1	251	333	241	232
AHCY	3334	4735	3038	3003
AHCYL1	1690	1831	1382	1300
AHCYL2	304	383	266	260
AHDC1	179	241	122	120
AHI1	327	344	299	268
AHNAK	832	903	831	792
AHNAK2	69	108	79	67
AHR	84	69	51	65
AHSA1	2562	3164	2146	2011
AIF1L	628	699	517	500
AIFM1	2245	2685	1887	1856
AIFM2	558	730	396	435
AIG1	590	746	463	516
AIMP1	1055	1301	902	890
AIMP2	1571	2052	1273	1305
AIP	888	1151	756	749
AJUBA	62	96	58	52
AK1	447	687	377	348
AK2	934	1059	719	687
AK3	478	461	326	351
AK4	117	146	114	84
AK5	38	34	24	26
AK6	526	578	420	454
AK7	20	16	19	14
AK8	29	37	24	32
AK9	80	87	64	58
AKAP1	556	768	565	519
AKAP10	264	262	196	194
AKAP11	1432	1811	1276	1450
AKAP12	2308	2397	1852	1633
AKAP13	696	868	696	657
AKAP17A	246	374	219	222
AKAP5	58	67	30	42
AKAP6	24	38	27	34
AKAP7	102	106	95	67
AKAP8	613	803	547	577
AKAP8L	973	1312	654	825
AKAP9	1296	1402	1090	1180
AKIP1	234	252	150	177
AKIRIN1	942	1154	732	794
AKIRIN2	886	1120	731	773
AKNA	54	43	31	31
AKR1A1	740	1199	762	698
AKR1B1	2544	2933	1985	2100
AKR7A2	870	1218	667	708
AKR7A3	0	0	2	5
