	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
ACVR1B	347	519	219	103
ACVR1C	23	29	14	14
ACVR2A	224	291	137	85
ACVR2B	93	129	62	20
ACYP1	210	202	79	59
ACYP2	60	78	27	22
AD000864.1	59	52	31	15
ADA	296	294	112	64
ADAL	123	108	43	27
ADAM10	846	916	435	241
ADAM11	102	130	38	34
ADAM15	521	675	264	135
ADAM17	263	363	146	91
ADAM19	42	50	10	5
ADAM22	107	103	41	20
ADAM23	180	221	84	32
ADAM32	0	0	0	1
ADAM8	3	2	1	1
ADAM9	804	885	406	186
ADAMTS1	4873	6376	2589	1451
ADAMTS10	15	10	6	2
ADAMTS13	21	8	4	8
ADAMTS15	61	76	27	17
ADAMTS17	34	60	29	11
ADAMTS19	138	183	66	44
ADAMTS2	75	86	44	18
ADAMTS20	52	49	32	21
ADAMTS3	135	164	73	36
ADAMTS6	9	5	7	4
ADAMTS7	12	19	7	5
ADAMTS9	32	35	12	9
ADAMTSL3	13	11	1	8
ADAMTSL4	9	6	5	1
ADAP1	14	24	5	2
ADAP2	49	48	17	20
ADAR	4166	4835	2453	1511
ADARB1	107	199	46	32
ADAT1	140	128	74	40
ADAT2	113	110	50	30
ADAT3	53	100	47	17
ADCK1	114	150	69	35
ADCK2	524	627	245	134
ADCK5	18	29	15	5
ADCY1	37	22	19	6
ADCY3	517	629	224	134
ADCY6	419	573	219	112
ADCY7	73	63	32	18
ADCY9	298	364	136	70
ADCYAP1R1	12	20	4	3
ADD1	1651	2058	872	531
ADD2	336	443	144	94
ADD3	1747	1975	771	559
ADGRA2	28	38	18	4
ADGRA3	172	199	122	47
ADGRB2	54	48	29	13
ADGRB3	14	11	9	7
ADGRE5	1085	1296	567	263
ADGRG2	48	47	22	16
ADGRG6	395	394	192	140
ADGRL1	276	287	106	52
ADGRL2	860	982	449	276
ADGRL3	80	98	48	26
ADGRV1	546	609	400	216
ADH5	777	1104	520	267
ADI1	781	1157	535	326
ADIPOR1	539	711	306	175
ADIPOR2	760	973	426	261
ADK	1289	1354	591	406
ADM	89	154	82	48
