	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
DYRK4	289	313	133	178
DZANK1	56	65	36	29
DZIP1	211	163	76	76
DZIP1L	39	50	9	23
DZIP3	662	678	319	362
E2F1	197	178	79	122
E2F2	484	513	230	279
E2F3	516	629	276	306
E2F4	447	518	174	268
E2F5	280	348	139	169
E2F6	93	95	50	68
E2F7	597	780	295	382
E2F8	245	234	105	119
E4F1	341	436	170	220
EAF1	579	684	305	349
EAF2	80	71	39	32
EAPP	495	582	263	335
EARS2	661	810	270	414
EBAG9	150	169	75	98
EBF3	376	467	206	239
EBLN2	0	0	0	0
EBNA1BP2	2733	3653	1345	1789
EBP	566	797	295	407
EBPL	601	710	293	394
ECD	2024	2393	987	1273
ECE1	931	1190	481	637
ECEL1	45	74	26	34
ECH1	1737	1746	665	921
ECHDC1	1467	1678	692	939
ECHDC2	1	0	0	0
ECHS1	3063	3732	1429	1898
ECI1	746	912	340	449
ECI2	1857	1946	771	899
ECM2	0	1	0	1
ECPAS	2498	2820	1270	1646
ECSIT	391	527	181	238
ECT2	2131	2217	1055	1237
EDA2R	68	115	35	53
EDARADD	47	77	39	22
EDC3	1074	1263	482	705
EDC4	1880	2807	1063	1445
EDEM1	142	144	52	91
EDEM2	97	125	41	59
EDEM3	335	396	169	196
EDF1	1822	2848	998	1369
EDRF1	1151	1438	507	639
EEA1	1446	1697	858	988
EED	541	742	235	348
EEF1A1	1452	3272	1558	2405
EEF1A2	2280	2551	960	1322
EEF1AKMT1	205	216	118	120
EEF1AKMT2	74	80	29	53
EEF1AKMT4	44	52	14	30
EEF1AKNMT	853	1118	398	514
EEF1B2	403	602	217	376
EEF1D	960	1599	629	897
EEF1E1	647	590	273	345
EEF1G	2041	2481	1020	1464
EEF2	35482	51003	20425	28310
EEF2K	221	271	115	121
EEF2KMT	52	91	29	45
EEFSEC	384	530	210	309
EEPD1	92	101	30	56
EFCAB10	19	30	8	10
EFCAB11	139	143	53	61
EFCAB13	4	6	2	3
EFCAB14	275	260	125	140
EFCAB2	24	47	18	23
EFCAB6	29	25	7	11
EFCAB7	308	307	135	172
EFHC1	201	229	112	127
EFHD2	406	545	181	230
EFL1	350	446	188	213
EFNA4	20	27	15	20
EFNA5	418	555	244	298
EFNB1	224	378	122	177
EFNB2	606	700	278	380
EFR3A	213	214	107	135
EFR3B	244	273	127	127
EFTUD2	5204	7188	2578	3486
EGFL7	314	426	185	257
EGFL8	9	13	6	4
EGFR	260	265	118	170
EGLN1	291	405	171	221
EGLN2	220	288	103	146
EGLN3	155	183	66	115
EHBP1	388	371	200	223
EHD1	373	391	156	212
EHD3	80	99	33	55
EHD4	524	657	264	328
EHHADH	300	281	138	179
EHMT1	821	1039	385	547
EHMT2	1000	1348	496	714
EI24	494	579	231	292
EID1	2023	2687	952	1349
EID2	972	1134	431	529
EID3	1	5	2	0
EIF1	1430	1687	800	982
EIF1AD	219	210	87	115
EIF1AX	329	387	157	228
EIF1B	490	604	279	317
EIF2A	1415	1566	782	927
EIF2AK1	1313	1325	562	730
EIF2AK2	1502	1640	752	958
EIF2AK3	115	125	48	45
EIF2AK4	791	844	357	422
EIF2B1	1553	1900	767	1009
EIF2B2	751	877	334	445
EIF2B3	1508	1662	651	792
EIF2B4	660	839	349	388
EIF2B5	659	978	395	478
EIF2D	480	519	221	288
EIF2S1	3011	3597	1510	1856
EIF2S2	609	675	283	377
EIF2S3	5031	5078	2376	2937
EIF3A	8202	11109	4688	6042
EIF3B	6797	8221	3221	4333
EIF3C	13	41	11	21
EIF3D	7931	9324	3767	5245
EIF3E	5121	5746	2664	3228
EIF3F	752	932	446	524
EIF3G	4065	5196	2008	2668
EIF3H	3180	3871	1725	2176
EIF3I	8669	9502	3739	5208
EIF3J	959	1258	481	644
EIF3K	7716	8527	3667	5002
EIF3L	3137	4226	1701	2234
EIF3M	5333	6396	2684	3424
EIF4A1	6305	8068	3127	4447
EIF4A2	1232	1442	576	739
EIF4A3	2954	3622	1440	1952
EIF4B	452	690	302	410
EIF4E	108	171	66	84
EIF4E2	697	1088	437	517
EIF4E3	78	78	35	51
EIF4EBP1	862	998	351	595
EIF4EBP2	237	354	148	189
EIF4ENIF1	512	646	217	305
EIF4G1	13168	16625	6559	8907
EIF4G2	5423	6061	2720	3448
EIF4G3	3811	4614	1920	2466
EIF4H	772	964	397	499
EIF5	2176	2292	1000	1299
EIF5A	5710	7855	2889	3711
EIF5A2	101	113	49	69
EIF5B	3269	3987	1747	2100
EIF6	1572	2150	798	1127
EIPR1	274	314	165	191
ELAC1	48	80	40	58
ELAC2	1649	1987	765	1091
ELAVL1	3607	4172	1620	2201
ELAVL2	282	328	138	131
ELF1	700	807	375	465
ELF2	338	421	181	219
ELF4	403	445	162	223
ELK1	171	214	71	116
ELK3	121	86	44	50
ELK4	104	112	48	77
ELL	243	325	120	162
ELL2	171	166	79	110
ELL3	292	248	103	130
ELMO2	411	538	244	291
ELMO3	6	2	1	0
ELMOD1	19	20	13	13
ELMOD2	577	708	311	360
ELMOD3	18	25	12	11
ELMSAN1	267	321	112	144
ELOA	1515	1762	700	1014
ELOB	2578	3060	1173	1761
ELOC	648	1001	392	496
ELOF1	624	1004	312	477
ELOVL1	886	1139	349	484
ELOVL2	273	342	141	177
ELOVL4	839	964	397	543
ELOVL5	2295	2806	1222	1579
ELOVL6	389	548	196	285
ELOVL7	234	249	116	133
ELP1	2072	2393	1016	1292
ELP2	1434	1660	686	842
ELP3	1195	1453	625	732
ELP4	404	424	189	242
ELP5	811	984	374	428
ELP6	447	572	216	313
EMB	227	230	108	149
EMC1	2261	2819	1054	1439
EMC10	634	1107	375	549
EMC2	774	717	366	416
EMC3	1180	1385	598	740
EMC4	1008	1300	517	643
EMC6	254	339	126	164
EMC7	779	984	381	473
EMC8	482	687	273	341
EMC9	111	127	44	83
EMD	1340	1713	652	863
EME1	254	318	131	129
EME2	26	30	19	18
EMG1	891	1192	452	634
EMILIN2	165	144	54	86
EMILIN3	349	437	164	267
EML1	622	680	288	385
EML2	257	280	104	157
EML3	147	150	64	82
EML4	1335	1630	692	847
EML5	130	126	51	64
EML6	22	15	15	9
EMP2	195	226	88	115
EMP3	300	313	109	163
EMSY	271	307	137	147
EN2	177	219	74	100
ENAH	1917	2151	848	1162
ENC1	406	538	227	305
ENDOD1	184	227	91	130
ENDOG	479	691	204	349
ENDOV	57	65	23	31
ENGASE	98	157	56	59
ENKD1	62	74	21	31
ENO1	46917	59361	23451	32458
ENO2	737	948	386	491
ENOPH1	602	813	315	381
ENOSF1	247	300	124	152
ENOX1	69	74	29	53
ENOX2	152	159	55	93
ENPEP	365	353	190	222
ENPP1	450	530	208	283
ENPP4	482	507	196	287
ENSA	427	689	254	341
ENTPD4	126	193	82	104
ENTPD5	31	30	12	19
ENTPD6	325	420	151	213
ENTPD7	286	313	121	157
ENTR1	264	341	142	204
ENY2	749	1017	407	532
EOGT	173	199	87	105
EP300	2132	2526	1092	1381
EP400	1237	1535	647	835
EPAS1	108	103	32	58
EPB41	1736	1970	817	1054
EPB41L1	131	147	62	79
EPB41L2	2482	2831	1280	1635
EPB41L3	1577	2070	829	1050
EPB41L4A	57	50	21	33
EPB41L4B	110	110	66	68
EPB41L5	505	518	236	290
EPC1	207	252	155	160
EPC2	247	261	118	172
EPG5	433	475	195	263
EPHA2	769	973	329	487
EPHA3	244	279	107	142
EPHA4	439	620	229	314
EPHA5	174	245	79	128
EPHA6	146	184	61	77
EPHA7	1442	1992	810	1077
EPHA8	60	58	30	30
EPHB1	51	56	20	28
EPHB2	254	301	102	157
EPHB4	383	561	179	297
EPHX1	663	769	295	347
EPHX2	191	226	92	121
EPHX4	158	185	60	111
EPM2A	45	57	27	19
EPN1	837	1032	345	525
EPN2	178	232	88	120
EPOR	60	68	24	31
EPPK1	657	850	334	407
EPRS	5489	5957	2562	3116
EPS15	1049	1188	479	537
EPS15L1	1025	1243	570	668
EPS8	895	1017	397	534
ERAL1	1081	1363	547	713
ERAP1	264	293	122	156
ERBB2	244	242	99	156
ERBB4	336	327	127	204
ERBIN	1045	1161	483	657
ERC1	809	922	420	509
ERC2	30	37	12	19
ERCC1	421	631	203	321
ERCC2	745	818	320	422
ERCC3	896	1060	399	532
ERCC4	419	500	181	254
ERCC6	507	627	249	315
ERCC6L	607	762	360	405
ERCC6L2	229	230	117	127
ERCC8	128	113	55	50
ERF	331	417	138	205
ERFE	120	177	51	102
ERG28	306	444	172	239
ERGIC1	556	700	298	422
ERGIC2	611	596	290	359
ERGIC3	1870	2441	1004	1397
ERH	2561	2789	1328	1689
ERI1	535	505	247	276
ERI2	269	250	113	146
ERI3	1454	1638	658	885
ERICH1	315	324	127	156
ERICH5	101	153	47	76
ERLEC1	391	399	153	222
ERLIN1	387	427	166	212
ERLIN2	954	1177	462	657
ERMAP	25	22	10	11
ERMARD	234	222	106	127
ERMP1	717	760	301	382
ERN1	54	92	35	40
ERO1A	1100	1061	475	566
ERO1B	166	212	91	100
ERP29	974	1306	463	611
ERP44	1321	1632	712	853
ERRFI1	275	330	142	201
ERV3-1	2	8	2	5
ERVFRD-1	0	0	0	0
ERVK3-1	297	457	174	239
ESCO1	147	142	43	63
ESCO2	1161	1337	540	660
ESD	3797	4293	1950	2339
ESF1	796	905	397	482
ESPL1	1779	2379	962	1234
ESPNL	0	0	0	2
ESRP2	404	457	207	254
ESRRA	108	171	54	67
ESRRG	1	1	0	0
ESS2	429	597	199	283
ESYT1	2364	2860	1119	1565
ESYT2	875	1098	389	569
ETAA1	155	150	65	92
ETF1	2715	2846	1326	1704
ETFA	3714	3957	1693	2029
ETFB	1167	1355	503	669
ETFDH	411	575	218	277
ETFRF1	175	154	71	105
ETHE1	154	164	63	99
ETNK1	1004	1366	506	656
ETNK2	62	80	24	33
ETS2	464	581	258	286
ETV3	348	493	195	243
ETV6	81	111	30	44
EVC	57	72	21	26
EVI5	395	450	205	257
EVI5L	131	147	54	86
EVL	130	168	35	65
EWSR1	3822	5187	2064	2874
EXD2	258	336	122	179
EXO1	801	849	412	479
EXO5	136	180	84	115
EXOC1	719	727	285	363
EXOC2	1263	1442	613	759
EXOC3	654	766	329	435
EXOC4	1502	1615	700	840
EXOC5	423	461	190	209
EXOC6	1240	1253	582	808
EXOC6B	535	601	254	315
EXOC7	1128	1437	502	735
EXOC8	722	955	407	548
EXOG	165	252	81	96
EXOSC1	731	1000	374	506
EXOSC10	2639	3431	1286	1763
EXOSC2	1434	1777	721	989
EXOSC3	626	811	288	387
EXOSC4	613	840	282	398
EXOSC5	942	1201	407	582
EXOSC6	471	651	240	372
EXOSC7	564	702	266	321
EXOSC8	1770	1943	834	1007
EXOSC9	1062	1352	587	675
EXPH5	184	219	101	120
EXT1	256	292	114	179
EXT2	901	1087	451	600
EXTL2	272	235	104	123
EXTL3	299	363	137	184
EYA1	72	71	37	38
EYA2	204	251	92	150
EYA3	623	692	319	385
EYA4	519	595	227	276
EYS	0	3	0	1
EZH1	172	137	56	83
EZH2	1065	1398	603	723
EZR	3260	4523	1833	2314
F11R	429	554	200	272
F12	74	94	29	41
F2R	370	442	140	204
F2RL1	413	468	168	205
F8	60	55	24	25
FAAP100	139	201	69	99
FAAP20	294	434	133	196
FAAP24	160	217	90	92
FADD	382	471	145	208
FADS1	340	396	168	201
FADS2	1536	1840	694	954
FADS3	111	137	61	64
FAF1	1446	1626	734	923
FAF2	1195	1433	588	720
FAH	336	411	130	183
FAHD1	435	547	192	300
FAHD2A	88	91	37	51
FAHD2B	35	23	16	19
FAIM	658	936	323	452
FAM102A	16	27	5	10
FAM102B	200	200	82	108
FAM104A	234	339	115	165
FAM104B	175	187	93	127
FAM107B	324	287	158	201
FAM114A1	89	87	28	41
FAM114A2	434	540	229	252
FAM117A	142	202	66	115
FAM117B	383	431	181	242
FAM118A	222	255	94	144
FAM118B	248	277	125	142
FAM120A	1109	1450	576	786
FAM120AOS	84	79	31	51
FAM120B	818	990	439	572
FAM120C	272	385	139	209
FAM122B	315	363	134	174
FAM126A	525	610	264	300
FAM126B	142	171	72	86
FAM133B	14	12	6	11
FAM135A	352	333	155	170
FAM136A	522	673	254	390
FAM13A	254	291	124	163
FAM13B	82	98	63	72
FAM13C	54	64	18	32
FAM149A	51	71	23	38
FAM149B1	61	57	23	30
FAM151B	33	45	18	8
FAM155B	25	29	3	8
FAM160A1	64	87	28	43
FAM160A2	130	186	54	75
FAM160B1	364	459	214	292
FAM160B2	211	258	88	126
FAM161A	236	221	111	102
FAM161B	72	72	33	26
FAM162A	931	1011	374	528
FAM168A	367	406	160	226
